workload,launch_order,call_id,matrix_size,process,op_index,op_type,family,kernel_name,grid,block,ncu_status,ncu_replay_us,nsys_gpu_us,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,dram_read_bytes,dram_write_bytes,l2_throughput_pct,l2_hit_rate_pct,l1_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,waves_per_sm,registers_per_thread,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
react_tool,2,plan,768,weight_init,,,rng_init,"void at::<unnamed>::distribution_elementwise_grid_stride_kernel<float, 4, void templates::normal_and","(768, 1, 1)","(256, 1, 1)",profiled,4.128,3.55,44.165358,0.0,1.115619,0.0,9984.0,35072.0,12.830718,100.283472,9.473764,67.731735,100.0,1.0,40.0,,not_selected=3.68; math_pipe_throttle=2.64; dispatch_stall=1.78,"underutilised: SM 44 %, DRAM 1 %, L2 13 %, occ 68 %"
react_tool,3,plan,768,weight_init,,,elementwise_binary,"void at::vectorized_elementwise_kernel<8, at::BUnaryFunctor<c10::Half, c10::Half, c10::Half, binary_","(576, 1, 1)","(128, 1, 1)",profiled,3.04,1.47,2.338509,0.0,40.177951,0.0,1184896.0,0.0,18.971057,52.690098,8.456653,25.479216,100.0,0.38,20.0,,long_scoreboard=54.93; imc_miss=11.93; wait=1.64,"underutilised: SM 2 %, DRAM 40 %, L2 19 %, occ 25 %"
react_tool,4,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(576, 1, 1)","(128, 1, 1)",profiled,5.376,3.58,12.379322,0.0,23.600565,0.0,1241216.0,0.0,22.894126,71.489978,10.389793,35.173852,100.0,0.38,38.0,,long_scoreboard=13.80; wait=4.51; imc_miss=3.02,"latency/launch-bound: 0.38 waves per SM, no unit above 30 % of peak"
react_tool,5,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(576, 1, 1)","(128, 1, 1)",profiled,4.448,2.11,1.614753,0.0,54.55163,0.0,2364032.0,0.0,25.036855,51.656226,11.662102,25.368964,100.0,0.38,20.0,,long_scoreboard=148.14; imc_miss=16.47; wait=2.34,"underutilised: SM 2 %, DRAM 55 %, L2 25 %, occ 25 %"
react_tool,6,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(48, 1, 1)","(32, 16, 1)",profiled,5.664,3.13,2.663913,0.0,43.581019,0.0,2409856.0,0.0,17.125802,20.182608,14.587183,33.229226,100.0,0.12,26.0,,long_scoreboard=23.23; imc_miss=9.14; barrier=2.90,"underutilised: SM 3 %, DRAM 44 %, L2 17 %, occ 33 %"
react_tool,7,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.888,1.18,0.017453,0.0,0.429336,0.0,7808.0,0.0,0.780734,89.916336,71.375465,8.290737,100.0,0.0,20.0,,imc_miss=8.64; long_scoreboard=5.18; wait=2.94,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,8,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,1.952,1.22,0.024985,0.0,0.486568,0.0,9088.0,0.0,0.921345,97.999272,66.898955,8.311556,100.0,0.0,26.0,,imc_miss=5.69; long_scoreboard=3.64; wait=1.97,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,9,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(2304, 1, 1)","(128, 1, 1)",profiled,4.736,2.94,13.037262,0.0,51.459813,0.0,2373376.0,0.0,26.065652,54.866044,12.110881,68.701816,100.0,1.5,16.0,,long_scoreboard=32.02; imc_miss=4.47; wait=2.33,"underutilised: SM 13 %, DRAM 51 %, L2 26 %, occ 69 %"
react_tool,10,plan,768,mir_operator:RMSNormOp,6,RMSNormOp,copy,"void at::vectorized_elementwise_kernel<8, at::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[l","(576, 1, 1)","(128, 1, 1)",profiled,4.48,1.73,1.294986,0.0,54.064256,0.0,2364032.0,1024.0,21.329788,35.827887,7.757527,23.998928,100.0,0.38,22.0,,long_scoreboard=161.01; imc_miss=20.13; wait=3.04,"underutilised: SM 1 %, DRAM 54 %, L2 21 %, occ 24 %"
react_tool,11,plan,768,mir_operator:AddOp,7,AddOp,elementwise_binary,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2","(576, 1, 1)","(128, 1, 1)",profiled,3.232,1.44,2.39437,0.0,37.666829,0.0,1184896.0,0.0,17.697178,52.204451,8.411275,24.829017,100.0,0.38,22.0,,long_scoreboard=52.83; imc_miss=12.18; wait=1.93,"underutilised: SM 2 %, DRAM 38 %, L2 18 %, occ 25 %"
