workload,launch_order,call_id,matrix_size,process,op_index,op_type,family,kernel_name,grid,block,ncu_status,ncu_replay_us,nsys_gpu_us,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,dram_read_bytes,dram_write_bytes,l2_throughput_pct,l2_hit_rate_pct,l1_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,waves_per_sm,registers_per_thread,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
react_tool_L_it1,2,plan,3072,weight_init,,,rng_init,"void at::<unnamed>::distribution_elementwise_grid_stride_kernel<float, 4, void templates::normal_and","(768, 1, 1)","(256, 1, 1)",profiled,20.928,20.54,68.587451,0.0,35.215771,0.0,10112.0,7222272.0,37.293146,100.151577,18.043268,67.70067,100.0,1.0,40.0,,not_selected=3.78; math_pipe_throttle=2.17; wait=1.65,SM-issue-bound
react_tool_L_it1,3,plan,3072,weight_init,,,elementwise_binary,"void at::vectorized_elementwise_kernel<8, at::BUnaryFunctor<c10::Half, c10::Half, c10::Half, binary_","(9216, 1, 1)","(128, 1, 1)",profiled,26.496,11.36,5.015253,0.0,88.531486,0.0,18879616.0,4125312.0,33.295437,50.275125,19.32607,84.672942,100.0,6.0,20.0,,long_scoreboard=170.44; drain=18.31; short_scoreboard=2.94,DRAM-bandwidth-bound
react_tool_L_it1,4,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(9216, 1, 1)","(128, 1, 1)",profiled,39.424,53.92,23.15296,0.0,79.933097,0.0,18938880.0,12014080.0,45.794485,67.069709,19.781918,92.016412,100.0,6.0,38.0,,long_scoreboard=20.83; wait=4.58; selected=1.00,DRAM-bandwidth-bound
react_tool_L_it1,5,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(9216, 1, 1)","(128, 1, 1)",profiled,57.888,36.96,1.994187,0.0,92.936789,0.0,37754496.0,15097600.0,30.533758,50.139028,14.706005,76.166587,100.0,6.0,20.0,,long_scoreboard=313.59; drain=82.26; mio_throttle=42.29,DRAM-bandwidth-bound
react_tool_L_it1,6,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(192, 1, 1)","(32, 16, 1)",profiled,44.8,11.58,2.365024,0.0,87.44185,0.0,37799424.0,695808.0,33.719303,1.707723,8.840437,49.889181,100.0,0.5,26.0,,long_scoreboard=215.55; barrier=15.63; imc_miss=4.71,DRAM-bandwidth-bound
react_tool_L_it1,7,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(3, 1, 1)","(128, 1, 1)",profiled,1.824,1.73,0.020738,0.0,0.971086,0.0,17024.0,0.0,1.017058,91.557753,27.695636,8.248437,100.0,0.0,20.0,,imc_miss=25.87; long_scoreboard=21.05; no_instruction=2.94,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool_L_it1,8,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(3, 1, 1)","(128, 1, 1)",profiled,1.888,1.12,0.031452,0.0,1.020263,0.0,18304.0,0.0,1.148357,83.267657,24.276908,8.032704,100.0,0.0,26.0,,imc_miss=16.65; long_scoreboard=12.31; wait=1.96,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool_L_it1,9,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(36864, 1, 1)","(128, 1, 1)",profiled,66.88,24.64,17.189946,0.0,92.736966,0.0,37772160.0,23171072.0,28.01301,50.578308,15.231066,85.842333,100.0,24.0,16.0,,long_scoreboard=52.00; wait=2.38; selected=1.00,DRAM-bandwidth-bound
react_tool_L_it1,10,plan,3072,mir_operator:RMSNormOp,6,RMSNormOp,copy,"void at::vectorized_elementwise_kernel<8, at::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[l","(9216, 1, 1)","(128, 1, 1)",profiled,44.0,13.5,2.093281,0.0,92.126493,0.0,37753472.0,2064512.0000000002,34.328238,33.591175,10.885327,82.945819,100.0,6.0,22.0,,long_scoreboard=469.98; drain=102.84; short_scoreboard=46.14,DRAM-bandwidth-bound
react_tool_L_it1,11,plan,3072,mir_operator:AddOp,7,AddOp,elementwise_binary,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2","(9216, 1, 1)","(128, 1, 1)",profiled,26.24,11.42,5.214286,0.0,89.22064,0.0,18879616.0,4085120.0,33.634652,50.282596,19.076416,85.081722,100.0,6.0,22.0,,long_scoreboard=166.15; drain=17.68; short_scoreboard=3.05,DRAM-bandwidth-bound
