call_kind,matrix_size,process,op_type,instances_per_iter,covered,source,template_source_workload
dag,,dag_schedule_gap,,11,True,template_scaled,planner_debate+react_tool
llm,768,adapter_dispatch,,1,True,template_scaled,react_tool
llm,768,token_preprocess_cpu,,1,True,template_scaled,react_tool
llm,768,host_input_generate,,1,True,template_scaled,react_tool
llm,768,h2d_stage,,1,True,template_scaled,react_tool
llm,768,weight_init,,1,True,template_scaled,react_tool
llm,768,mir_operator:RMSNormOp,RMSNormOp,2,True,template_scaled,react_tool
llm,768,inter_operator_dispatch,,7,True,template_scaled,react_tool
llm,768,mir_operator:AddOp,AddOp,1,True,template_scaled,react_tool
llm,768,mir_operator:LinearOp,LinearOp,3,True,template_scaled,react_tool
llm,768,mir_operator:ViewOp,ViewOp,1,True,template_scaled,react_tool
llm,768,mir_operator:TransposeOp,TransposeOp,1,True,template_scaled,react_tool
llm,768,pre_d2h_alloc,,1,True,template_scaled,react_tool
llm,768,d2h_stage,,1,True,template_scaled,react_tool
llm,768,checksum_complete,,1,True,template_scaled,react_tool
llm,1024,adapter_dispatch,,8,True,template_scaled,planner_debate
llm,1024,token_preprocess_cpu,,8,True,template_scaled,planner_debate
llm,1024,host_input_generate,,8,True,template_scaled,planner_debate
llm,1024,h2d_stage,,8,True,template_scaled,planner_debate
llm,1024,weight_init,,8,True,template_scaled,planner_debate
llm,1024,mir_operator:RMSNormOp,RMSNormOp,16,True,template_scaled,planner_debate
llm,1024,inter_operator_dispatch,,56,True,template_scaled,planner_debate
llm,1024,mir_operator:AddOp,AddOp,8,True,template_scaled,planner_debate
llm,1024,mir_operator:LinearOp,LinearOp,24,True,template_scaled,planner_debate
llm,1024,mir_operator:ViewOp,ViewOp,8,True,template_scaled,planner_debate
llm,1024,mir_operator:TransposeOp,TransposeOp,8,True,template_scaled,planner_debate
llm,1024,pre_d2h_alloc,,8,True,template_scaled,planner_debate
llm,1024,d2h_stage,,8,True,template_scaled,planner_debate
llm,1024,checksum_complete,,8,True,template_scaled,planner_debate
tool,256,agent_tool_execute_cpu,,1,True,template_scaled,planner_debate+react_tool
llm,896,adapter_dispatch,,1,True,template_scaled,planner_debate
llm,896,token_preprocess_cpu,,1,True,template_scaled,planner_debate
llm,896,host_input_generate,,1,True,template_scaled,planner_debate
llm,896,h2d_stage,,1,True,template_scaled,planner_debate
llm,896,weight_init,,1,True,template_scaled,planner_debate
llm,896,mir_operator:RMSNormOp,RMSNormOp,2,True,template_scaled,planner_debate
llm,896,inter_operator_dispatch,,7,True,template_scaled,planner_debate
llm,896,mir_operator:AddOp,AddOp,1,True,template_scaled,planner_debate
llm,896,mir_operator:LinearOp,LinearOp,3,True,template_scaled,planner_debate
llm,896,mir_operator:ViewOp,ViewOp,1,True,template_scaled,planner_debate
llm,896,mir_operator:TransposeOp,TransposeOp,1,True,template_scaled,planner_debate
llm,896,pre_d2h_alloc,,1,True,template_scaled,planner_debate
llm,896,d2h_stage,,1,True,template_scaled,planner_debate
llm,896,checksum_complete,,1,True,template_scaled,planner_debate
dag,,iteration_tail_sync,,1,True,template_scaled,planner_debate+react_tool
