target,process,expected_instances_per_iter,observed_instances_per_iter,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,scaled_err_pct,template_absolute_share_pct,observed_share_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,host_input_generate,10,10.0,85335914.5,95462558.4,100831170.6,-15.4,-5.3,70.71,74.68,0.0,0.0,
react_moa_mcts,adapter_dispatch,10,10.0,11893337.5,13304696.3,11788235.3,0.9,12.9,9.85,8.73,0.0,0.0,
react_moa_mcts,mir_operator:RMSNormOp,20,20.0,5363139.0,5999572.1,4871810.5,10.1,23.1,4.44,3.61,374225.0,388765.8,-3.7
react_moa_mcts,mir_operator:LinearOp,30,30.0,3326620.5,3721384.0,3351879.0,-0.8,11.0,2.76,2.48,554217.0,579982.2,-4.4
react_moa_mcts,token_preprocess_cpu,10,10.0,3090624.5,3457382.8,2955900.9,4.6,17.0,2.56,2.19,0.0,0.0,
react_moa_mcts,h2d_stage,10,10.0,2508778.5,2806490.3,2008429.9,24.9,39.7,2.08,1.49,1406311.0,1066731.3,31.8
react_moa_mcts,d2h_stage,10,10.0,2078658.5,2325328.8,1635581.4,27.1,42.2,1.72,1.21,1510016.5,1104382.7,36.7
react_moa_mcts,weight_init,10,10.0,1652394.0,1848480.3,1411128.2,17.1,31.0,1.37,1.05,68310.5,68133.2,0.3
react_moa_mcts,mir_operator:TransposeOp,10,10.0,1291946.5,1445259.2,1200873.4,7.6,20.4,1.07,0.89,120552.0,125426.1,-3.9
react_moa_mcts,mir_operator:AddOp,10,10.0,1041359.5,1164935.6,1024957.7,1.6,13.7,0.86,0.76,19520.0,22733.7,-14.1
react_moa_mcts,checksum_complete,10,10.0,771710.5,863287.9,654465.7,17.9,31.9,0.64,0.48,0.0,0.0,
react_moa_mcts,mir_operator:ViewOp,10,10.0,755173.0,844787.9,715823.6,5.5,18.0,0.63,0.53,0.0,0.0,
react_moa_mcts,inter_operator_dispatch,70,70.0,567507.5,634852.5,562986.3,0.8,12.8,0.47,0.42,0.0,0.0,
react_moa_mcts,dag_schedule_gap,11,11.0,475271.5,531671.0,1485719.9,-68.0,-64.2,0.39,1.1,0.0,0.0,
react_moa_mcts,agent_tool_execute_cpu,1,1.0,338470.0,378635.6,324736.5,4.2,16.6,0.28,0.24,0.0,0.0,
react_moa_mcts,pre_d2h_alloc,10,10.0,138629.5,155080.4,129166.4,7.3,20.1,0.11,0.1,0.0,0.0,
react_moa_mcts,iteration_tail_sync,1,1.0,62922.5,70389.4,61927.0,1.6,13.7,0.05,0.05,0.0,0.0,
