call_kind,matrix_size,process,op_type,template_source,samples,host_ns_median,host_ns_p90,gpu_ns_median
dag,,dag_schedule_gap,,planner_debate+react_tool,180,43206.5,1213548.0,0.0
dag,,iteration_tail_sync,,planner_debate+react_tool,40,62922.5,78264.0,0.0
llm,1024,adapter_dispatch,,planner_debate,60,1186366.5,1351748.0,0.0
llm,1024,checksum_complete,,planner_debate,60,78232.5,98808.0,0.0
llm,1024,d2h_stage,,planner_debate,60,219117.5,224082.0,162019.0
llm,1024,h2d_stage,,planner_debate,60,262858.5,295287.0,151029.5
llm,1024,host_input_generate,,planner_debate,60,9148350.0,12006396.0,0.0
llm,1024,inter_operator_dispatch,,planner_debate,420,8091.0,12491.0,0.0
llm,1024,mir_operator:AddOp,AddOp,planner_debate,60,104327.0,122542.0,2048.0
llm,1024,mir_operator:LinearOp,LinearOp,planner_debate,180,109502.0,159791.0,19677.0
llm,1024,mir_operator:RMSNormOp,RMSNormOp,planner_debate,120,270176.5,324400.0,19229.5
llm,1024,mir_operator:TransposeOp,TransposeOp,planner_debate,60,129329.0,145979.0,12381.5
llm,1024,mir_operator:ViewOp,ViewOp,planner_debate,60,75864.5,93777.0,0.0
llm,1024,pre_d2h_alloc,,planner_debate,60,13916.0,15682.0,0.0
llm,1024,token_preprocess_cpu,,planner_debate,60,313924.5,360431.0,0.0
llm,1024,weight_init,,planner_debate,60,166527.5,226788.0,7071.0
llm,768,adapter_dispatch,,react_tool,40,1229312.5,1315119.0,0.0
llm,768,checksum_complete,,react_tool,40,70027.5,74025.0,0.0
llm,768,d2h_stage,,react_tool,40,144755.5,151599.0,90206.5
llm,768,h2d_stage,,react_tool,40,179949.0,195905.0,81264.0
llm,768,host_input_generate,,react_tool,40,5093904.5,5136725.0,0.0
llm,768,inter_operator_dispatch,,react_tool,280,7819.0,10331.0,0.0
llm,768,mir_operator:AddOp,AddOp,react_tool,40,101140.0,112812.0,1440.0
llm,768,mir_operator:LinearOp,LinearOp,react_tool,120,119817.0,154861.0,12765.0
llm,768,mir_operator:RMSNormOp,RMSNormOp,react_tool,80,247699.5,287908.0,15709.5
llm,768,mir_operator:TransposeOp,TransposeOp,react_tool,40,127297.0,137953.0,9406.0
llm,768,mir_operator:ViewOp,ViewOp,react_tool,40,72548.5,87675.0,0.0
llm,768,pre_d2h_alloc,,react_tool,40,13856.0,14702.0,0.0
llm,768,token_preprocess_cpu,,react_tool,40,237513.5,336034.0,0.0
llm,768,weight_init,,react_tool,40,149558.5,169438.0,4991.5
llm,896,adapter_dispatch,,planner_debate,40,1173093.0,1227033.0,0.0
llm,896,checksum_complete,,planner_debate,40,75823.0,87588.0,0.0
llm,896,d2h_stage,,planner_debate,40,180963.0,198519.0,123658.0
llm,896,h2d_stage,,planner_debate,40,225961.5,243153.0,116811.0
llm,896,host_input_generate,,planner_debate,40,7055210.0,9929449.0,0.0
llm,896,inter_operator_dispatch,,planner_debate,280,8525.5,12556.0,0.0
llm,896,mir_operator:AddOp,AddOp,planner_debate,40,105603.5,137436.0,1696.0
llm,896,mir_operator:LinearOp,LinearOp,planner_debate,120,113040.5,157764.0,14558.0
llm,896,mir_operator:RMSNormOp,RMSNormOp,planner_debate,80,272458.0,363842.0,17567.0
llm,896,mir_operator:TransposeOp,TransposeOp,planner_debate,40,130017.5,154753.0,12094.0
llm,896,mir_operator:ViewOp,ViewOp,planner_debate,40,75708.5,91817.0,0.0
llm,896,pre_d2h_alloc,,planner_debate,40,13445.5,15817.0,0.0
llm,896,token_preprocess_cpu,,planner_debate,40,341715.0,380024.0,0.0
llm,896,weight_init,,planner_debate,40,170615.5,184692.0,6751.0
tool,256,agent_tool_execute_cpu,,planner_debate+react_tool,40,338470.0,373494.0,0.0
