target,call_id,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts_x3_L,<dag>,1728821.0,1729969.1,4402486.1,-60.7,0.0,0.0,
react_moa_mcts_x3_L,react-plan#r0,118230641.5,118309160.0,115598764.8,2.3,48442090.5,48296550.1,0.3
react_moa_mcts_x3_L,moa-map0#r0,238807405.5,238966000.7,235950763.0,1.2,121185061.0,121903819.9,-0.6
react_moa_mcts_x3_L,moa-map1#r0,238807405.5,238966000.7,237013731.1,0.8,121185061.0,121452793.5,-0.2
react_moa_mcts_x3_L,moa-map2#r0,238807405.5,238966000.7,237399330.1,0.6,121185061.0,121802598.1,-0.5
react_moa_mcts_x3_L,mcts-root#r0,238807405.5,238966000.7,239845753.1,-0.4,121185061.0,121467657.6,-0.2
react_moa_mcts_x3_L,react-tool#r0,355411.5,355647.5,307900.6,15.4,0.0,0.0,
react_moa_mcts_x3_L,mcts-actor0#r0,238807405.5,238966000.7,239704564.5,-0.4,121185061.0,121497662.1,-0.3
react_moa_mcts_x3_L,mcts-actor1#r0,238807405.5,238966000.7,238690732.5,0.0,121185061.0,121628445.1,-0.4
react_moa_mcts_x3_L,moa-reduce#r0,238807405.5,238966000.7,242396498.4,-1.5,121185061.0,121666391.2,-0.4
react_moa_mcts_x3_L,react-answer#r0,178432672.0,178551171.5,176754712.1,0.9,86455926.0,86354298.6,0.1
react_moa_mcts_x3_L,mcts-critic#r0,238807405.5,238966000.7,237431053.6,0.6,121185061.0,121708814.0,-0.4
react_moa_mcts_x3_L,react-plan#r1,118230641.5,118309160.0,118406794.2,-0.1,48442090.5,48148346.9,0.6
react_moa_mcts_x3_L,moa-map0#r1,238807405.5,238966000.7,242478309.1,-1.5,121185061.0,121688532.5,-0.4
react_moa_mcts_x3_L,moa-map1#r1,238807405.5,238966000.7,241722547.9,-1.2,121185061.0,122138791.2,-0.8
react_moa_mcts_x3_L,moa-map2#r1,238807405.5,238966000.7,239562524.0,-0.3,121185061.0,121647912.5,-0.4
react_moa_mcts_x3_L,mcts-root#r1,238807405.5,238966000.7,240810727.4,-0.8,121185061.0,121792288.0,-0.5
react_moa_mcts_x3_L,react-tool#r1,355411.5,355647.5,289235.0,22.9,0.0,0.0,
react_moa_mcts_x3_L,mcts-actor0#r1,238807405.5,238966000.7,239994481.6,-0.5,121185061.0,121526781.8,-0.3
react_moa_mcts_x3_L,mcts-actor1#r1,238807405.5,238966000.7,238076275.0,0.3,121185061.0,121611563.6,-0.4
react_moa_mcts_x3_L,moa-reduce#r1,238807405.5,238966000.7,237364050.4,0.6,121185061.0,121801404.8,-0.5
react_moa_mcts_x3_L,react-answer#r1,178432672.0,178551171.5,176080777.8,1.3,86455926.0,86720990.5,-0.3
react_moa_mcts_x3_L,mcts-critic#r1,238807405.5,238966000.7,239695874.8,-0.4,121185061.0,121660881.0,-0.4
react_moa_mcts_x3_L,react-plan#r2,118230641.5,118309160.0,116322013.8,1.6,48442090.5,48161550.1,0.6
react_moa_mcts_x3_L,moa-map0#r2,238807405.5,238966000.7,236628350.6,0.9,121185061.0,121175459.1,0.0
react_moa_mcts_x3_L,moa-map1#r2,238807405.5,238966000.7,242056428.6,-1.3,121185061.0,121195675.1,-0.0
react_moa_mcts_x3_L,moa-map2#r2,238807405.5,238966000.7,241605094.8,-1.2,121185061.0,121474272.8,-0.2
react_moa_mcts_x3_L,mcts-root#r2,238807405.5,238966000.7,241697487.8,-1.2,121185061.0,121610013.4,-0.3
react_moa_mcts_x3_L,react-tool#r2,355411.5,355647.5,326099.5,9.0,0.0,0.0,
react_moa_mcts_x3_L,mcts-actor0#r2,238807405.5,238966000.7,243509141.0,-1.9,121185061.0,121871293.2,-0.6
react_moa_mcts_x3_L,mcts-actor1#r2,238807405.5,238966000.7,237630630.0,0.5,121185061.0,121622674.2,-0.4
react_moa_mcts_x3_L,moa-reduce#r2,238807405.5,238966000.7,236441502.2,1.0,121185061.0,121741152.9,-0.5
react_moa_mcts_x3_L,react-answer#r2,178432672.0,178551171.5,176565423.8,1.1,86455926.0,86651235.1,-0.2
react_moa_mcts_x3_L,mcts-critic#r2,238807405.5,238966000.7,235801863.5,1.3,121185061.0,121363988.5,-0.1
