call_kind,matrix_size,process,op_type,instances_per_iter,covered,source,template_source_workload
dag,,dag_schedule_gap,,33,True,template_scaled,planner_debate_L+react_tool_L
llm,3072,adapter_dispatch,,3,True,template_scaled,react_tool_L
llm,3072,token_preprocess_cpu,,3,True,template_scaled,react_tool_L
llm,3072,host_input_generate,,3,True,template_scaled,react_tool_L
llm,3072,h2d_stage,,3,True,template_scaled,react_tool_L
llm,3072,weight_init,,3,True,template_scaled,react_tool_L
llm,3072,mir_operator:RMSNormOp,RMSNormOp,6,True,template_scaled,react_tool_L
llm,3072,inter_operator_dispatch,,21,True,template_scaled,react_tool_L
llm,3072,mir_operator:AddOp,AddOp,3,True,template_scaled,react_tool_L
llm,3072,mir_operator:LinearOp,LinearOp,9,True,template_scaled,react_tool_L
llm,3072,mir_operator:ViewOp,ViewOp,3,True,template_scaled,react_tool_L
llm,3072,mir_operator:TransposeOp,TransposeOp,3,True,template_scaled,react_tool_L
llm,3072,pre_d2h_alloc,,3,True,template_scaled,react_tool_L
llm,3072,d2h_stage,,3,True,template_scaled,react_tool_L
llm,3072,checksum_complete,,3,True,template_scaled,react_tool_L
llm,4096,adapter_dispatch,,24,True,template_scaled,planner_debate_L
llm,4096,token_preprocess_cpu,,24,True,template_scaled,planner_debate_L
llm,4096,host_input_generate,,24,True,template_scaled,planner_debate_L
llm,4096,h2d_stage,,24,True,template_scaled,planner_debate_L
llm,4096,weight_init,,24,True,template_scaled,planner_debate_L
llm,4096,mir_operator:RMSNormOp,RMSNormOp,48,True,template_scaled,planner_debate_L
llm,4096,inter_operator_dispatch,,168,True,template_scaled,planner_debate_L
llm,4096,mir_operator:AddOp,AddOp,24,True,template_scaled,planner_debate_L
llm,4096,mir_operator:LinearOp,LinearOp,72,True,template_scaled,planner_debate_L
llm,4096,mir_operator:ViewOp,ViewOp,24,True,template_scaled,planner_debate_L
llm,4096,mir_operator:TransposeOp,TransposeOp,24,True,template_scaled,planner_debate_L
llm,4096,pre_d2h_alloc,,24,True,template_scaled,planner_debate_L
llm,4096,d2h_stage,,24,True,template_scaled,planner_debate_L
llm,4096,checksum_complete,,24,True,template_scaled,planner_debate_L
tool,256,agent_tool_execute_cpu,,3,True,template_scaled,planner_debate_L+react_tool_L
llm,3584,adapter_dispatch,,3,True,template_scaled,planner_debate_L
llm,3584,token_preprocess_cpu,,3,True,template_scaled,planner_debate_L
llm,3584,host_input_generate,,3,True,template_scaled,planner_debate_L
llm,3584,h2d_stage,,3,True,template_scaled,planner_debate_L
llm,3584,weight_init,,3,True,template_scaled,planner_debate_L
llm,3584,mir_operator:RMSNormOp,RMSNormOp,6,True,template_scaled,planner_debate_L
llm,3584,inter_operator_dispatch,,21,True,template_scaled,planner_debate_L
llm,3584,mir_operator:AddOp,AddOp,3,True,template_scaled,planner_debate_L
llm,3584,mir_operator:LinearOp,LinearOp,9,True,template_scaled,planner_debate_L
llm,3584,mir_operator:ViewOp,ViewOp,3,True,template_scaled,planner_debate_L
llm,3584,mir_operator:TransposeOp,TransposeOp,3,True,template_scaled,planner_debate_L
llm,3584,pre_d2h_alloc,,3,True,template_scaled,planner_debate_L
llm,3584,d2h_stage,,3,True,template_scaled,planner_debate_L
llm,3584,checksum_complete,,3,True,template_scaled,planner_debate_L
dag,,iteration_tail_sync,,1,True,template_scaled,planner_debate_L+react_tool_L
