call_kind,matrix_size,process,op_type,template_source,samples,host_ns_median,host_ns_p90,gpu_ns_median
dag,,dag_schedule_gap,,planner_debate_L+react_tool_L,72,50633.0,981828.0,0.0
dag,,iteration_tail_sync,,planner_debate_L+react_tool_L,16,57932.0,73135.0,0.0
llm,3072,adapter_dispatch,,react_tool_L,16,1205451.0,1457715.0,0.0
llm,3072,checksum_complete,,react_tool_L,16,85259.5,91903.0,0.0
llm,3072,d2h_stage,,react_tool_L,16,907077.0,952893.0,837491.0
llm,3072,h2d_stage,,react_tool_L,16,962788.5,974811.0,805187.5
llm,3072,host_input_generate,,react_tool_L,16,66353476.0,67391662.0,0.0
llm,3072,inter_operator_dispatch,,react_tool_L,112,9516.5,16434.0,0.0
llm,3072,mir_operator:AddOp,AddOp,react_tool_L,16,569181.0,581078.0,323781.5
llm,3072,mir_operator:LinearOp,LinearOp,react_tool_L,48,11534083.5,11613572.0,11420017.5
llm,3072,mir_operator:RMSNormOp,RMSNormOp,react_tool_L,32,4307525.0,4580061.0,4052549.0
llm,3072,mir_operator:TransposeOp,TransposeOp,react_tool_L,16,4202558.0,4416897.0,4081585.0
llm,3072,mir_operator:ViewOp,ViewOp,react_tool_L,16,154554.5,170450.0,0.0
llm,3072,pre_d2h_alloc,,react_tool_L,16,20659.0,24116.0,0.0
llm,3072,token_preprocess_cpu,,react_tool_L,16,292476.0,366279.0,0.0
llm,3072,weight_init,,react_tool_L,16,193245.0,197938.0,28895.0
llm,3584,adapter_dispatch,,planner_debate_L,16,915969.5,951801.0,0.0
llm,3584,checksum_complete,,planner_debate_L,16,89158.0,100634.0,0.0
llm,3584,d2h_stage,,planner_debate_L,16,1186324.0,1212155.0,1119066.5
llm,3584,h2d_stage,,planner_debate_L,16,1218020.0,1275615.0,1054253.0
llm,3584,host_input_generate,,planner_debate_L,16,88615164.0,90101839.0,0.0
llm,3584,inter_operator_dispatch,,planner_debate_L,112,12681.0,21518.0,0.0
llm,3584,mir_operator:AddOp,AddOp,planner_debate_L,16,583845.0,611112.0,431873.0
llm,3584,mir_operator:LinearOp,LinearOp,planner_debate_L,48,20144282.0,20790344.0,19992817.0
llm,3584,mir_operator:RMSNormOp,RMSNormOp,planner_debate_L,32,9323771.0,9754048.0,9051102.5
llm,3584,mir_operator:TransposeOp,TransposeOp,planner_debate_L,16,5869652.0,6274792.0,5730367.0
llm,3584,mir_operator:ViewOp,ViewOp,planner_debate_L,16,164905.0,183924.0,0.0
llm,3584,pre_d2h_alloc,,planner_debate_L,16,21922.0,32053.0,0.0
llm,3584,token_preprocess_cpu,,planner_debate_L,16,386657.5,403104.0,0.0
llm,3584,weight_init,,planner_debate_L,16,211900.0,279799.0,39710.5
llm,4096,adapter_dispatch,,planner_debate_L,24,961559.5,1423989.0,0.0
llm,4096,checksum_complete,,planner_debate_L,24,89204.0,101727.0,0.0
llm,4096,d2h_stage,,planner_debate_L,24,1512056.0,1587614.0,1449791.5
llm,4096,h2d_stage,,planner_debate_L,24,1537911.0,1612533.0,1383506.0
llm,4096,host_input_generate,,planner_debate_L,24,114168184.0,117049947.0,0.0
llm,4096,inter_operator_dispatch,,planner_debate_L,168,14996.0,25224.0,0.0
llm,4096,mir_operator:AddOp,AddOp,planner_debate_L,24,758066.0,792417.0,644761.5
llm,4096,mir_operator:LinearOp,LinearOp,planner_debate_L,72,26372972.0,27137451.0,26171352.0
llm,4096,mir_operator:RMSNormOp,RMSNormOp,planner_debate_L,48,16258717.5,16532079.0,15963450.5
llm,4096,mir_operator:TransposeOp,TransposeOp,planner_debate_L,24,7332896.5,7605803.0,7212687.0
llm,4096,mir_operator:ViewOp,ViewOp,planner_debate_L,24,169110.5,191476.0,0.0
llm,4096,pre_d2h_alloc,,planner_debate_L,24,21905.5,25263.0,0.0
llm,4096,token_preprocess_cpu,,planner_debate_L,24,316625.0,387978.0,0.0
llm,4096,weight_init,,planner_debate_L,24,198564.5,219908.0,53358.0
tool,256,agent_tool_execute_cpu,,planner_debate_L+react_tool_L,16,355411.5,393404.0,0.0
