lineage,workload,process,instances,cumulative_host_ns,share_pct,selected,median_ns,p90_ns,max_ns,mad_ns,gpu_owning
base,react_tool,host_input_generate,40,209911710.0,56.26,True,5093904.5,5136725.0,8194767.0,25883.5,False
base,react_tool,adapter_dispatch,40,49043627.0,13.14,True,1229312.5,1315119.0,1813024.0,72756.0,False
base,react_tool,dag_schedule_gap,60,25172754.0,6.75,False,61983.0,1213548.0,1244536.0,52118.5,False
base,react_tool,mir_operator:RMSNormOp,80,20041529.0,5.37,False,247699.5,287908.0,298271.0,20409.0,True
base,react_tool,mir_operator:LinearOp,120,15899088.0,4.26,False,119817.0,154861.0,853409.0,11369.0,True
base,react_tool,token_preprocess_cpu,40,9484938.0,2.54,False,237513.5,336034.0,356139.0,81757.5,False
base,react_tool,h2d_stage,40,6920198.0,1.85,False,179949.0,195905.0,317136.0,6408.5,True
base,react_tool,agent_tool_execute_cpu,20,6382657.0,1.71,False,324128.5,344222.0,366488.0,22167.5,False
base,react_tool,weight_init,40,5908746.0,1.58,False,149558.5,169438.0,177829.0,6814.0,True
base,react_tool,d2h_stage,40,5491935.0,1.47,False,144755.5,151599.0,241618.0,3047.0,True
base,react_tool,mir_operator:TransposeOp,40,5093801.0,1.37,False,127297.0,137953.0,162854.0,5316.0,True
base,react_tool,mir_operator:AddOp,40,4155918.0,1.11,False,101140.0,112812.0,161804.0,2072.0,True
base,react_tool,mir_operator:ViewOp,40,3021809.0,0.81,False,72548.5,87675.0,138412.0,2268.0,False
base,react_tool,checksum_complete,40,2716238.0,0.73,False,70027.5,74025.0,83890.0,2547.5,False
base,react_tool,inter_operator_dispatch,280,2306427.0,0.62,False,7819.0,10331.0,26109.0,831.5,False
base,react_tool,iteration_tail_sync,20,1044465.0,0.28,False,49537.5,67435.0,78264.0,3079.0,False
base,react_tool,pre_d2h_alloc,40,539770.0,0.14,False,13856.0,14702.0,18747.0,579.0,False
base,planner_debate,host_input_generate,100,922181036.0,69.9,True,9087162.5,11985030.0,16050981.0,832914.5,False
base,planner_debate,adapter_dispatch,100,123846691.0,9.39,False,1175876.0,1317598.0,2230748.0,21382.0,False
base,planner_debate,mir_operator:RMSNormOp,200,55676489.0,4.22,False,271766.5,334257.0,481426.0,26421.5,True
base,planner_debate,mir_operator:LinearOp,300,36880538.0,2.8,False,110519.5,158994.0,340985.0,14279.5,True
base,planner_debate,dag_schedule_gap,120,30606805.0,2.32,False,39229.5,1211068.0,2250080.0,13930.0,False
base,planner_debate,token_preprocess_cpu,100,30574035.0,2.32,False,331966.5,370758.0,420653.0,27379.0,False
base,planner_debate,h2d_stage,100,24936536.0,1.89,False,256654.5,280453.0,663932.0,24185.0,True
base,planner_debate,d2h_stage,100,19930285.0,1.51,False,217647.5,221549.0,441233.0,15483.0,True
base,planner_debate,weight_init,100,17358345.0,1.32,False,168676.0,201700.0,293863.0,10673.0,True
base,planner_debate,mir_operator:TransposeOp,100,13430059.0,1.02,False,129437.5,148878.0,221822.0,3848.0,True
base,planner_debate,mir_operator:AddOp,100,11077291.0,0.84,False,104637.5,123537.0,184226.0,3325.0,True
base,planner_debate,mir_operator:ViewOp,100,8373273.0,0.63,False,75783.5,92459.0,440153.0,2086.5,False
base,planner_debate,checksum_complete,100,7896728.0,0.6,False,76081.0,91899.0,150063.0,4819.5,False
base,planner_debate,agent_tool_execute_cpu,20,7089556.0,0.54,False,350298.5,393922.0,422485.0,14270.0,False
base,planner_debate,inter_operator_dispatch,700,6513842.0,0.49,False,8219.0,12556.0,46444.0,1139.5,False
base,planner_debate,pre_d2h_alloc,100,1420993.0,0.11,False,13845.5,15795.0,40770.0,965.0,False
base,planner_debate,iteration_tail_sync,20,1399924.0,0.11,False,68240.0,82733.0,85430.0,4734.0,False
base,react_moa_mcts,host_input_generate,200,2016623412.0,74.68,True,9845223.0,11968407.0,13125448.0,2050899.5,False
base,react_moa_mcts,adapter_dispatch,200,235764706.0,8.73,False,1114569.5,1276264.0,2009508.0,31614.5,False
base,react_moa_mcts,mir_operator:RMSNormOp,400,97436210.0,3.61,False,233961.0,285019.0,443756.0,16230.0,True
base,react_moa_mcts,mir_operator:LinearOp,600,67037580.0,2.48,False,102990.5,140718.0,322429.0,9250.5,True
