lineage,workload,iteration,launch_order,call_id,process,op_index,kind,family,gpu_ns,launch_latency_ns,gpu_start_rel_us
base,react_tool,7,1,plan,h2d_stage,,memcpy,memcpy,81040,15271,144088.6
base,react_tool,7,2,plan,weight_init,,kernel,rng_init,3552,82571,144332.8
base,react_tool,7,3,plan,weight_init,,kernel,elementwise_binary,1471,37949,144337.0
base,react_tool,7,4,plan,mir_operator:RMSNormOp,6,kernel,copy,3583,9280,144408.2
base,react_tool,7,5,plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,2111,8468,144432.6
base,react_tool,7,6,plan,mir_operator:RMSNormOp,6,kernel,reduce,3135,8421,144458.0
base,react_tool,7,7,plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1183,7758,144479.1
base,react_tool,7,8,plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1215,8279,144499.4
base,react_tool,7,9,plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,2944,7740,144520.4
base,react_tool,7,10,plan,mir_operator:RMSNormOp,6,kernel,copy,1728,7121,144542.3
base,react_tool,7,11,plan,mir_operator:AddOp,7,kernel,elementwise_binary,1440,9246,144664.3
base,react_tool,7,12,plan,mir_operator:RMSNormOp,8,kernel,copy,3199,10159,144767.7
base,react_tool,7,13,plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,2112,21512,144801.9
base,react_tool,7,14,plan,mir_operator:RMSNormOp,8,kernel,reduce,2880,7897,144826.4
base,react_tool,7,15,plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1120,8592,144846.8
base,react_tool,7,16,plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1183,7210,144864.1
base,react_tool,7,17,plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,2943,7610,144883.8
base,react_tool,7,18,plan,mir_operator:RMSNormOp,8,kernel,copy,1727,6933,144904.3
base,react_tool,7,19,plan,mir_operator:LinearOp,10,memset,memset,416,13267,145060.8
base,react_tool,7,20,plan,mir_operator:LinearOp,10,kernel,gemm,12414,9746,145069.4
base,react_tool,7,21,plan,mir_operator:LinearOp,11,memset,memset,416,7878,145190.8
