lineage,workload,iteration,call_id,call_kind,process,op_index,start_rel_us,end_rel_us,host_ns,gpu_work_ns,selected
base,react_tool,7,,dag,dag_schedule_gap,,0.0,10.4,10388,0,False
base,react_tool,7,plan,llm,adapter_dispatch,,10.4,1192.5,1182076,0,True
base,react_tool,7,plan,llm,token_preprocess_cpu,,1192.5,1548.6,356139,0,False
base,react_tool,7,plan,llm,host_input_generate,,1548.6,6621.3,5072648,0,True
base,react_tool,7,plan,llm,h2d_stage,,6621.3,6799.5,178289,81040,False
base,react_tool,7,plan,llm,weight_init,,6799.5,6948.1,148570,5023,False
base,react_tool,7,plan,llm,mir_operator:RMSNormOp,6,6948.1,7222.6,274469,15899,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7222.6,7232.7,10121,0,False
base,react_tool,7,plan,llm,mir_operator:AddOp,7,7232.7,7330.6,97919,1440,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7330.6,7338.0,7380,0,False
base,react_tool,7,plan,llm,mir_operator:RMSNormOp,8,7338.0,7583.8,245823,15164,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7583.8,7592.2,8367,0,False
base,react_tool,7,plan,llm,mir_operator:LinearOp,10,7592.2,7742.1,149913,12830,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7742.1,7750.0,7866,0,False
base,react_tool,7,plan,llm,mir_operator:LinearOp,11,7750.0,7869.6,119637,12733,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7869.6,7876.8,7210,0,False
base,react_tool,7,plan,llm,mir_operator:LinearOp,12,7876.8,7986.4,109566,12798,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,7986.4,7994.4,8023,0,False
base,react_tool,7,plan,llm,mir_operator:ViewOp,13,7994.4,8076.9,82449,0,False
base,react_tool,7,plan,llm,inter_operator_dispatch,,8076.9,8082.8,5991,0,False
base,react_tool,7,plan,llm,mir_operator:TransposeOp,14,8082.8,8216.0,133159,9342,False
base,react_tool,7,plan,llm,pre_d2h_alloc,,8216.0,8229.8,13842,0,False
base,react_tool,7,plan,llm,d2h_stage,,8229.8,8374.8,144954,90510,False
base,react_tool,7,plan,llm,checksum_complete,,8374.8,8457.3,82478,0,False
base,react_tool,7,,dag,dag_schedule_gap,,8457.3,9632.5,1175197,0,False
base,react_tool,7,lookup,tool,agent_tool_execute_cpu,,9632.5,9975.3,342817,0,False
base,react_tool,7,,dag,dag_schedule_gap,,9975.3,10044.2,68890,0,False
base,react_tool,7,answer,llm,adapter_dispatch,,10044.2,11380.9,1336761,0,True
base,react_tool,7,answer,llm,token_preprocess_cpu,,11380.9,11529.7,148789,0,False
base,react_tool,7,answer,llm,host_input_generate,,11529.7,16603.1,5073350,0,True
base,react_tool,7,answer,llm,h2d_stage,,16603.1,16781.4,178352,82448,False
base,react_tool,7,answer,llm,weight_init,,16781.4,16929.6,148130,5022,False
base,react_tool,7,answer,llm,mir_operator:RMSNormOp,6,16929.6,17190.4,260854,15708,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17190.4,17200.5,10108,0,False
base,react_tool,7,answer,llm,mir_operator:AddOp,7,17200.5,17300.2,99722,1440,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17300.2,17307.3,7049,0,False
base,react_tool,7,answer,llm,mir_operator:RMSNormOp,8,17307.3,17555.0,247664,15548,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17555.0,17563.7,8723,0,False
base,react_tool,7,answer,llm,mir_operator:LinearOp,10,17563.7,17716.0,152288,12765,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17716.0,17723.7,7763,0,False
base,react_tool,7,answer,llm,mir_operator:LinearOp,11,17723.7,17838.2,114432,12670,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17838.2,17846.7,8526,0,False
base,react_tool,7,answer,llm,mir_operator:LinearOp,12,17846.7,17970.1,123425,12702,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,17970.1,17977.7,7570,0,False
base,react_tool,7,answer,llm,mir_operator:ViewOp,13,17977.7,18051.2,73496,0,False
base,react_tool,7,answer,llm,inter_operator_dispatch,,18051.2,18057.0,5825,0,False
base,react_tool,7,answer,llm,mir_operator:TransposeOp,14,18057.0,18184.3,127263,9375,False
base,react_tool,7,answer,llm,pre_d2h_alloc,,18184.3,18197.7,13458,0,False
base,react_tool,7,answer,llm,d2h_stage,,18197.7,18342.6,144912,90222,False
base,react_tool,7,answer,llm,checksum_complete,,18342.6,18426.5,83890,0,False
base,react_tool,7,,dag,iteration_tail_sync,,18426.5,18485.6,59082,0,False
base,planner_debate,12,,dag,dag_schedule_gap,,0.0,15.1,15066,0,False
base,planner_debate,12,planner-seed,llm,adapter_dispatch,,15.1,1203.1,1188076,0,False
base,planner_debate,12,planner-seed,llm,token_preprocess_cpu,,1203.1,1554.2,351071,0,False
base,planner_debate,12,planner-seed,llm,host_input_generate,,1554.2,8904.7,7350442,0,True
base,planner_debate,12,planner-seed,llm,h2d_stage,,8904.7,9135.8,231158,117515,False
