lineage,workload,process,selected,share_pct,resource_status,reason,family,sm_pct,tensor_pct,dram_active_pct,dram_bw_pct_peak,l2_pct,occupancy_pct,waves_per_sm,hw_source_workload
base,react_tool,dag_schedule_gap,False,6.75,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_tool,adapter_dispatch,True,13.14,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_tool,token_preprocess_cpu,False,2.54,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_tool,host_input_generate,True,56.26,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,react_tool,h2d_stage,False,1.85,not_collected_memcpy,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms",memcpy,,,,,,,,react_tool
base,react_tool,weight_init,False,1.58,profiled,"underutilised: SM 44 %, DRAM 1 %, L2 13 %, occ 68 %",rng_init,44.0,0.0,2.22,0.0,12.81,67.78,1.0,react_tool
base,react_tool,weight_init,False,1.58,profiled,"underutilised: SM 2 %, DRAM 40 %, L2 19 %, occ 25 %",elementwise_binary,2.27,0.0,40.01,0.0,18.85,25.59,0.38,react_tool
base,react_tool,mir_operator:RMSNormOp,False,5.37,profiled,"latency/launch-bound: 0.38 waves per SM, no unit above 30 % of peak",copy,2.01,0.0,39.25,0.0,22.01,29.69,0.38,react_tool
base,react_tool,mir_operator:RMSNormOp,False,5.37,profiled,"underutilised: SM 2 %, DRAM 55 %, L2 25 %, occ 25 %",elementwise_unary,0.82,0.0,27.42,0.0,13.11,16.81,0.19,react_tool
base,react_tool,mir_operator:RMSNormOp,False,5.37,profiled,"underutilised: SM 3 %, DRAM 44 %, L2 17 %, occ 33 %",reduce,2.63,0.0,43.36,0.0,17.06,33.23,0.12,react_tool
base,react_tool,mir_operator:RMSNormOp,False,5.37,profiled,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak",elementwise_binary,6.53,0.0,25.81,0.0,13.39,38.47,0.75,react_tool
base,react_tool,inter_operator_dispatch,False,0.62,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
