lineage,workload,global_rank,process,cumulative_host_ns,selected
scaled,react_tool_L,1,host_input_generate,1075201359.0,True
scaled,react_tool_L,2,mir_operator:LinearOp,549072341.0,True
scaled,react_tool_L,3,mir_operator:RMSNormOp,140118330.0,False
scaled,react_tool_L,4,mir_operator:TransposeOp,68069529.0,False
scaled,react_tool_L,5,adapter_dispatch,19059661.0,False
scaled,react_tool_L,6,h2d_stage,15375750.0,False
scaled,react_tool_L,7,d2h_stage,14643739.0,False
scaled,react_tool_L,8,mir_operator:AddOp,9188195.0,False
scaled,react_tool_L,9,dag_schedule_gap,8483405.0,False
scaled,react_tool_L,10,token_preprocess_cpu,4827834.0,False
scaled,react_tool_L,11,weight_init,3145783.0,False
scaled,react_tool_L,12,agent_tool_execute_cpu,2680322.0,False
scaled,react_tool_L,13,mir_operator:ViewOp,2502904.0,False
scaled,react_tool_L,14,checksum_complete,1363692.0,False
scaled,react_tool_L,15,inter_operator_dispatch,1206230.0,False
scaled,react_tool_L,16,iteration_tail_sync,454006.0,False
scaled,react_tool_L,17,pre_d2h_alloc,332012.0,False
scaled,planner_debate_L,1,host_input_generate,4155143030.0,True
scaled,planner_debate_L,2,mir_operator:LinearOp,2878961113.0,True
scaled,planner_debate_L,3,mir_operator:RMSNormOp,1082436898.0,True
scaled,planner_debate_L,4,mir_operator:TransposeOp,270576622.0,False
scaled,planner_debate_L,5,h2d_stage,58037774.0,False
scaled,planner_debate_L,6,d2h_stage,55809185.0,False
scaled,planner_debate_L,7,adapter_dispatch,41655787.0,False
scaled,planner_debate_L,8,mir_operator:AddOp,27947331.0,False
scaled,planner_debate_L,9,token_preprocess_cpu,13462585.0,False
scaled,planner_debate_L,10,dag_schedule_gap,9240380.0,False
scaled,planner_debate_L,11,weight_init,8571735.0,False
scaled,planner_debate_L,12,mir_operator:ViewOp,6781219.0,False
scaled,planner_debate_L,13,inter_operator_dispatch,4294947.0,False
scaled,planner_debate_L,14,checksum_complete,3626570.0,False
scaled,planner_debate_L,15,agent_tool_execute_cpu,3014585.0,False
scaled,planner_debate_L,16,pre_d2h_alloc,893990.0,False
scaled,planner_debate_L,17,iteration_tail_sync,545201.0,False
scaled,react_moa_mcts_x3_L,1,host_input_generate,25652331944.0,True
scaled,react_moa_mcts_x3_L,2,mir_operator:LinearOp,17490508356.0,True
scaled,react_moa_mcts_x3_L,3,mir_operator:RMSNormOp,6903717022.0,True
scaled,react_moa_mcts_x3_L,4,mir_operator:TransposeOp,1665680274.0,False
scaled,react_moa_mcts_x3_L,5,h2d_stage,352661291.0,False
scaled,react_moa_mcts_x3_L,6,d2h_stage,341434015.0,False
scaled,react_moa_mcts_x3_L,7,adapter_dispatch,207585749.0,False
scaled,react_moa_mcts_x3_L,8,mir_operator:AddOp,164547592.0,False
scaled,react_moa_mcts_x3_L,9,token_preprocess_cpu,78080473.0,False
scaled,react_moa_mcts_x3_L,10,weight_init,45079911.0,False
scaled,react_moa_mcts_x3_L,11,mir_operator:ViewOp,37665310.0,False
scaled,react_moa_mcts_x3_L,12,dag_schedule_gap,34610726.0,False
scaled,react_moa_mcts_x3_L,13,inter_operator_dispatch,21733144.0,False
scaled,react_moa_mcts_x3_L,14,checksum_complete,19829452.0,False
scaled,react_moa_mcts_x3_L,15,agent_tool_execute_cpu,7385881.0,False
scaled,react_moa_mcts_x3_L,16,pre_d2h_alloc,5035078.0,False
scaled,react_moa_mcts_x3_L,17,iteration_tail_sync,609163.0,False
