lineage,workload,process,instances,cumulative_host_ns,share_pct,selected,median_ns,p90_ns,max_ns,mad_ns,gpu_owning
scaled,react_tool_L,host_input_generate,16,1075201359.0,56.13,True,66353476.0,67391662.0,85877474.0,867398.5,False
scaled,react_tool_L,mir_operator:LinearOp,48,549072341.0,28.66,True,11534083.5,11613572.0,11736838.0,103410.0,True
scaled,react_tool_L,mir_operator:RMSNormOp,32,140118330.0,7.31,False,4307525.0,4580061.0,4932295.0,80025.0,True
scaled,react_tool_L,mir_operator:TransposeOp,16,68069529.0,3.55,False,4202558.0,4416897.0,4525181.0,83229.0,True
scaled,react_tool_L,adapter_dispatch,16,19059661.0,0.99,False,1205451.0,1457715.0,1483513.0,248081.0,False
scaled,react_tool_L,h2d_stage,16,15375750.0,0.8,False,962788.5,974811.0,999541.0,11844.0,True
scaled,react_tool_L,d2h_stage,16,14643739.0,0.76,False,907077.0,952893.0,1118670.0,25138.0,True
scaled,react_tool_L,mir_operator:AddOp,16,9188195.0,0.48,False,569181.0,581078.0,742503.0,10446.0,True
scaled,react_tool_L,dag_schedule_gap,24,8483405.0,0.44,False,69304.0,995371.0,1017477.0,56457.0,False
scaled,react_tool_L,token_preprocess_cpu,16,4827834.0,0.25,False,292476.0,366279.0,398987.0,48654.0,False
scaled,react_tool_L,weight_init,16,3145783.0,0.16,False,193245.0,197938.0,252449.0,3198.5,True
scaled,react_tool_L,agent_tool_execute_cpu,8,2680322.0,0.14,False,325819.0,356606.0,377153.0,13063.0,False
scaled,react_tool_L,mir_operator:ViewOp,16,2502904.0,0.13,False,154554.5,170450.0,189933.0,6300.5,False
scaled,react_tool_L,checksum_complete,16,1363692.0,0.07,False,85259.5,91903.0,92717.0,3238.0,False
scaled,react_tool_L,inter_operator_dispatch,112,1206230.0,0.06,False,9516.5,16434.0,23067.0,2705.0,False
scaled,react_tool_L,iteration_tail_sync,8,454006.0,0.02,False,56872.0,58131.0,64341.0,1892.5,False
scaled,react_tool_L,pre_d2h_alloc,16,332012.0,0.02,False,20659.0,24116.0,26030.0,1856.0,False
scaled,planner_debate_L,host_input_generate,40,4155143030.0,48.2,True,110979848.5,116869847.0,117808646.0,5980048.5,False
scaled,planner_debate_L,mir_operator:LinearOp,120,2878961113.0,33.39,True,26025762.5,27060561.0,27768337.0,1043309.0,True
scaled,planner_debate_L,mir_operator:RMSNormOp,80,1082436898.0,12.56,True,16034141.5,16495806.0,16602684.0,467026.5,True
