lineage,workload,process,iteration,call_id,op_index,host_ns,median_ns,threshold_ns,excess_ns,classification,cuda_api_top,gpu_work_ns
scaled,react_tool_L,dag_schedule_gap,0,,,981828,69304.0,238675,912524,warm_or_first_iteration,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,1,,,976769,69304.0,238675,907465,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,2,,,1017477,69304.0,238675,948173,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,3,,,995371,69304.0,238675,926067,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,4,,,998619,69304.0,238675,929315,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,5,,,871435,69304.0,238675,802131,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,6,,,999122,69304.0,238675,929818,sporadic,cudaEventRecord,0
scaled,react_tool_L,dag_schedule_gap,7,,,982073,69304.0,238675,912769,sporadic,cudaEventRecord,0
scaled,react_tool_L,host_input_generate,6,answer,,85877474,66353476.0,69671150,19523998,sporadic,cudaEventQuery,0
scaled,react_tool_L,weight_init,4,answer,,208886,193245.0,202907,15641,sporadic,cudaLaunchKernel,28927
scaled,react_tool_L,weight_init,6,answer,,252449,193245.0,202907,59204,sporadic,cudaLaunchKernel,28831
scaled,react_tool_L,mir_operator:RMSNormOp,1,answer,6,4580061,4307525.0,4547600,272536,sporadic,cudaEventSynchronize,4172975
scaled,react_tool_L,mir_operator:RMSNormOp,3,answer,6,4793401,4307525.0,4547600,485876,sporadic,cudaEventSynchronize,4528514
scaled,react_tool_L,mir_operator:RMSNormOp,4,plan,6,4644389,4307525.0,4547600,336864,sporadic,cudaEventSynchronize,4376138
scaled,react_tool_L,mir_operator:RMSNormOp,6,answer,6,4932295,4307525.0,4547600,624770,sporadic,cudaLaunchKernel,4146057
scaled,react_tool_L,mir_operator:RMSNormOp,6,answer,8,4841657,4307525.0,4547600,534132,sporadic,cudaLaunchKernel,4010292
scaled,react_tool_L,inter_operator_dispatch,1,plan,,23067,9516.5,17632,13550,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,2,plan,,21798,9516.5,17632,12282,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,3,answer,,21097,9516.5,17632,11580,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,3,answer,,21117,9516.5,17632,11600,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,4,plan,,18903,9516.5,17632,9386,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,4,answer,,18145,9516.5,17632,8628,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,4,answer,,18011,9516.5,17632,8494,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,5,plan,,17687,9516.5,17632,8170,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,5,answer,,18536,9516.5,17632,9020,sporadic,,0
scaled,react_tool_L,inter_operator_dispatch,6,answer,,19617,9516.5,17632,10100,sporadic,,0
scaled,react_tool_L,mir_operator:AddOp,6,answer,7,742503,569181.0,600519,173322,sporadic,cudaLaunchKernel,324309
scaled,react_tool_L,mir_operator:ViewOp,1,plan,13,180520,154554.5,173456,25966,sporadic,cudaEventRecord,0
scaled,react_tool_L,mir_operator:ViewOp,3,plan,13,189933,154554.5,173456,35378,sporadic,cudaEventRecord,0
scaled,react_tool_L,mir_operator:TransposeOp,7,answer,14,4525181,4202558.0,4452245,322623,sporadic,cudaEventSynchronize,4399943
scaled,react_tool_L,d2h_stage,7,plan,,1118670,907077.0,982491,211593,sporadic,cudaEventSynchronize,1053755
scaled,react_tool_L,agent_tool_execute_cpu,5,lookup,,377153,325819.0,365008,51334,sporadic,,0
