lineage,workload,iteration,call_id,call_kind,process,op_index,start_rel_us,end_rel_us,host_ns,gpu_work_ns,selected
scaled,react_tool_L,5,,dag,dag_schedule_gap,,0.0,12.4,12419,0,False
scaled,react_tool_L,5,plan,llm,adapter_dispatch,,12.4,897.3,884930,0,False
scaled,react_tool_L,5,plan,llm,token_preprocess_cpu,,897.3,1295.3,397944,0,False
scaled,react_tool_L,5,plan,llm,host_input_generate,,1295.3,67300.5,66005240,0,True
scaled,react_tool_L,5,plan,llm,h2d_stage,,67300.5,68249.2,948669,805060,False
scaled,react_tool_L,5,plan,llm,weight_init,,68249.2,68434.1,184897,28831,False
scaled,react_tool_L,5,plan,llm,mir_operator:RMSNormOp,6,68434.1,72740.2,4306089,4049394,False
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,72740.2,72757.9,17687,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:AddOp,7,72757.9,73325.6,567721,323412,False
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,73325.6,73333.5,7881,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:RMSNormOp,8,73333.5,77600.0,4266488,4055161,False
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,77600.0,77609.4,9406,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:LinearOp,10,77609.4,89194.2,11584846,11440145,True
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,89194.2,89202.2,7964,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:LinearOp,11,89202.2,100708.4,11506260,11419090,True
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,100708.4,100715.2,6773,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:LinearOp,12,100715.2,111924.9,11209666,11121052,True
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,111924.9,111939.4,14503,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:ViewOp,13,111939.4,112077.1,137690,0,False
scaled,react_tool_L,5,plan,llm,inter_operator_dispatch,,112077.1,112082.1,4981,0,False
scaled,react_tool_L,5,plan,llm,mir_operator:TransposeOp,14,112082.1,116303.5,4221468,4107728,False
scaled,react_tool_L,5,plan,llm,pre_d2h_alloc,,116303.5,116327.6,24116,0,False
scaled,react_tool_L,5,plan,llm,d2h_stage,,116327.6,117237.6,909949,796836,False
scaled,react_tool_L,5,plan,llm,checksum_complete,,117237.6,117313.3,75758,0,False
scaled,react_tool_L,5,,dag,dag_schedule_gap,,117313.3,118184.8,871435,0,False
scaled,react_tool_L,5,lookup,tool,agent_tool_execute_cpu,,118184.8,118561.9,377153,0,False
scaled,react_tool_L,5,,dag,dag_schedule_gap,,118561.9,118628.4,66466,0,False
scaled,react_tool_L,5,answer,llm,adapter_dispatch,,118628.4,120032.3,1403906,0,False
scaled,react_tool_L,5,answer,llm,token_preprocess_cpu,,120032.3,120283.6,251293,0,False
scaled,react_tool_L,5,answer,llm,host_input_generate,,120283.6,187245.2,66961619,0,True
scaled,react_tool_L,5,answer,llm,h2d_stage,,187245.2,188218.5,973249,819140,False
scaled,react_tool_L,5,answer,llm,weight_init,,188218.5,188410.0,191508,28991,False
scaled,react_tool_L,5,answer,llm,mir_operator:RMSNormOp,6,188410.0,192730.8,4320796,4049648,False
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,192730.8,192749.3,18536,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:AddOp,7,192749.3,193331.1,581799,325490,False
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,193331.1,193338.2,7097,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:RMSNormOp,8,193338.2,197640.7,4302527,4088245,False
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,197640.7,197650.6,9857,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:LinearOp,10,197650.6,209257.2,11606650,11457937,True
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,209257.2,209266.1,8852,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:LinearOp,11,209266.1,220802.1,11536016,11446640,True
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,220802.1,220809.6,7520,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:LinearOp,12,220809.6,232246.7,11437110,11341684,True
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,232246.7,232263.2,16434,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:ViewOp,13,232263.2,232419.7,156565,0,False
scaled,react_tool_L,5,answer,llm,inter_operator_dispatch,,232419.7,232425.1,5324,0,False
scaled,react_tool_L,5,answer,llm,mir_operator:TransposeOp,14,232425.1,236832.0,4406933,4277258,False
scaled,react_tool_L,5,answer,llm,pre_d2h_alloc,,236832.0,236852.8,20844,0,False
scaled,react_tool_L,5,answer,llm,d2h_stage,,236852.8,237726.6,873729,813348,False
scaled,react_tool_L,5,answer,llm,checksum_complete,,237726.6,237818.5,91903,0,False
scaled,react_tool_L,5,,dag,iteration_tail_sync,,237818.5,237874.8,56341,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,0.0,14.0,13984,0,False
scaled,planner_debate_L,1,planner-seed,llm,adapter_dispatch,,14.0,956.2,942250,0,False
scaled,planner_debate_L,1,planner-seed,llm,token_preprocess_cpu,,956.2,1280.2,323953,0,False
scaled,planner_debate_L,1,planner-seed,llm,host_input_generate,,1280.2,92870.6,91590388,0,True
scaled,planner_debate_L,1,planner-seed,llm,h2d_stage,,92870.6,94384.2,1513669,1088123,False
scaled,planner_debate_L,1,planner-seed,llm,weight_init,,94384.2,94880.9,496662,39134,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:RMSNormOp,6,94880.9,104359.1,9478206,9135500,True
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,104359.1,104400.9,41740,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:AddOp,7,104400.9,105012.0,611112,443600,False
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,105012.0,105032.1,20147,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:RMSNormOp,8,105032.1,114240.9,9208799,8968946,True
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,114240.9,114257.8,16879,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:LinearOp,10,114257.8,134335.7,20077935,19876960,True
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,134335.7,134365.7,29935,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:LinearOp,11,134365.7,154828.6,20462926,20352977,True
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,154828.6,154846.3,17702,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:LinearOp,12,154846.3,175405.5,20559172,20436396,True
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,175405.5,175423.0,17501,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:ViewOp,13,175423.0,175606.9,183924,0,False
scaled,planner_debate_L,1,planner-seed,llm,inter_operator_dispatch,,175606.9,175613.0,6085,0,False
scaled,planner_debate_L,1,planner-seed,llm,mir_operator:TransposeOp,14,175613.0,181420.6,5807595,5651104,False
scaled,planner_debate_L,1,planner-seed,llm,pre_d2h_alloc,,181420.6,181443.8,23274,0,False
scaled,planner_debate_L,1,planner-seed,llm,d2h_stage,,181443.8,182600.6,1156774,1097275,False
scaled,planner_debate_L,1,planner-seed,llm,checksum_complete,,182600.6,182710.1,109461,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,182710.1,182759.3,49235,0,False
scaled,planner_debate_L,1,critic-a,llm,adapter_dispatch,,182759.3,183723.4,964101,0,False
scaled,planner_debate_L,1,critic-a,llm,token_preprocess_cpu,,183723.4,184133.5,410053,0,False
scaled,planner_debate_L,1,critic-a,llm,host_input_generate,,184133.5,301399.7,117266219,0,True
scaled,planner_debate_L,1,critic-a,llm,h2d_stage,,301399.7,303012.2,1612533,1454447,False
scaled,planner_debate_L,1,critic-a,llm,weight_init,,303012.2,303230.2,217990,53246,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:RMSNormOp,6,303230.2,319371.9,16141693,15840520,True
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,319371.9,319395.8,23940,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:AddOp,7,319395.8,320183.3,787476,643147,False
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,320183.3,320193.0,9698,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:RMSNormOp,8,320193.0,336230.1,16037078,15808687,True
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,336230.1,336240.5,10413,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:LinearOp,10,336240.5,362220.8,25980305,25779261,True
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,362220.8,362241.2,20347,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:LinearOp,11,362241.2,388081.9,25840785,25675040,True
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,388081.9,388098.4,16508,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:LinearOp,12,388098.4,414565.5,26467063,26225838,True
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,414565.5,414591.8,26272,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:ViewOp,13,414591.8,414783.3,191476,0,False
scaled,planner_debate_L,1,critic-a,llm,inter_operator_dispatch,,414783.3,414789.3,5999,0,False
scaled,planner_debate_L,1,critic-a,llm,mir_operator:TransposeOp,14,414789.3,422175.8,7386494,7237486,False
scaled,planner_debate_L,1,critic-a,llm,pre_d2h_alloc,,422175.8,422198.4,22633,0,False
scaled,planner_debate_L,1,critic-a,llm,d2h_stage,,422198.4,423680.2,1481831,1420816,False
scaled,planner_debate_L,1,critic-a,llm,checksum_complete,,423680.2,423772.7,92440,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,423772.7,423824.9,52202,0,False
scaled,planner_debate_L,1,critic-b,llm,adapter_dispatch,,423824.9,425007.3,1182479,0,False
scaled,planner_debate_L,1,critic-b,llm,token_preprocess_cpu,,425007.3,425327.1,319731,0,False
scaled,planner_debate_L,1,critic-b,llm,host_input_generate,,425327.1,539562.8,114235763,0,True
scaled,planner_debate_L,1,critic-b,llm,h2d_stage,,539562.8,541084.1,1521227,1366546,False
scaled,planner_debate_L,1,critic-b,llm,weight_init,,541084.1,541282.2,198133,53662,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:RMSNormOp,6,541282.2,557696.7,16414542,16131299,True
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,557696.7,557711.1,14350,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:AddOp,7,557711.1,558453.3,742267,644170,False
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,558453.3,558471.1,17782,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:RMSNormOp,8,558471.1,574839.3,16368154,16140614,True
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,574839.3,574858.5,19167,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:LinearOp,10,574858.5,600954.9,26096409,25799450,True
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,600954.9,600979.7,24845,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:LinearOp,11,600979.7,628071.4,27091649,26893848,True
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,628071.4,628085.1,13774,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:LinearOp,12,628085.1,655416.1,27330925,27154768,True
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,655416.1,655445.9,29866,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:ViewOp,13,655445.9,655628.0,182056,0,False
scaled,planner_debate_L,1,critic-b,llm,inter_operator_dispatch,,655628.0,655648.5,20528,0,False
scaled,planner_debate_L,1,critic-b,llm,mir_operator:TransposeOp,14,655648.5,662967.4,7318922,7172654,False
scaled,planner_debate_L,1,critic-b,llm,pre_d2h_alloc,,662967.4,662989.3,21876,0,False
scaled,planner_debate_L,1,critic-b,llm,d2h_stage,,662989.3,664470.1,1480777,1423505,False
scaled,planner_debate_L,1,critic-b,llm,checksum_complete,,664470.1,664558.5,88452,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,664558.5,665563.5,1004920,0,False
scaled,planner_debate_L,1,planner-tool,tool,agent_tool_execute_cpu,,665563.5,665956.9,393404,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,665956.9,666024.4,67506,0,False
scaled,planner_debate_L,1,critic-merge,llm,adapter_dispatch,,666024.4,667433.9,1409576,0,False
scaled,planner_debate_L,1,critic-merge,llm,token_preprocess_cpu,,667433.9,667701.0,267037,0,False
scaled,planner_debate_L,1,critic-merge,llm,host_input_generate,,667701.0,780081.3,112380313,0,True
scaled,planner_debate_L,1,critic-merge,llm,h2d_stage,,780081.3,781640.3,1558964,1398961,False
scaled,planner_debate_L,1,critic-merge,llm,weight_init,,781640.3,781835.2,194999,52894,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:RMSNormOp,6,781835.2,798278.6,16443362,16181829,True
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,798278.6,798301.1,22485,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:AddOp,7,798301.1,799072.5,771379,640201,False
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,799072.5,799081.9,9420,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:RMSNormOp,8,799081.9,815340.7,16258805,16033219,True
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,815340.7,815351.6,10881,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:LinearOp,10,815351.6,841753.1,26401527,26179565,True
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,841753.1,841776.8,23738,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:LinearOp,11,841776.8,868156.8,26379958,26217677,True
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,868156.8,868169.5,12653,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:LinearOp,12,868169.5,894636.2,26466759,26333128,True
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,894636.2,894652.3,16064,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:ViewOp,13,894652.3,894810.8,158542,0,False
scaled,planner_debate_L,1,critic-merge,llm,inter_operator_dispatch,,894810.8,894816.2,5373,0,False
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:TransposeOp,14,894816.2,902133.5,7317309,7178766,False
scaled,planner_debate_L,1,critic-merge,llm,pre_d2h_alloc,,902133.5,902157.4,23942,0,False
scaled,planner_debate_L,1,critic-merge,llm,d2h_stage,,902157.4,903751.2,1593770,1511661,False
scaled,planner_debate_L,1,critic-merge,llm,checksum_complete,,903751.2,903852.9,101727,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,903852.9,903910.8,57829,0,False
scaled,planner_debate_L,1,planner-final,llm,adapter_dispatch,,903910.8,905026.1,1115317,0,False
scaled,planner_debate_L,1,planner-final,llm,token_preprocess_cpu,,905026.1,905386.1,360049,0,False
scaled,planner_debate_L,1,planner-final,llm,host_input_generate,,905386.1,990543.0,85156884,0,True
scaled,planner_debate_L,1,planner-final,llm,h2d_stage,,990543.0,991747.3,1204318,1052540,False
scaled,planner_debate_L,1,planner-final,llm,weight_init,,991747.3,991962.6,215262,40446,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:RMSNormOp,6,991962.6,1001306.2,9343556,9051759,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1001306.2,1001319.1,12924,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:AddOp,7,1001319.1,1001902.2,583151,432176,False
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1001902.2,1001909.7,7448,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:RMSNormOp,8,1001909.7,1011654.7,9745060,9531777,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1011654.7,1011663.9,9206,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:LinearOp,10,1011663.9,1031727.0,20063041,19911650,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1031727.0,1031735.8,8810,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:LinearOp,11,1031735.8,1051971.4,20235585,20131769,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1051971.4,1051994.0,22585,0,False
