workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
planner_debate,decode_head,1305,11745,872050201.0,9.89,322680876.0,0.66,668237.7
planner_debate,decode_layer01,1305,74385,274968238.0,3.12,1625554026.0,3.34,210703.6
planner_debate,decode_layer19,1305,74385,274567756.0,3.11,1591476082.0,3.27,210396.7
planner_debate,decode_layer02,1305,74385,274431241.0,3.11,1612454245.0,3.31,210292.1
planner_debate,decode_layer26,1305,74385,274260762.0,3.11,1595248456.0,3.28,210161.5
planner_debate,decode_layer09,1305,74385,274191925.0,3.11,1597853745.0,3.28,210108.8
planner_debate,decode_layer17,1305,74385,274085422.0,3.11,1592850363.0,3.27,210027.1
planner_debate,decode_layer03,1305,74385,274058547.0,3.11,1600545415.0,3.29,210006.5
planner_debate,decode_layer08,1305,74385,274038533.0,3.11,1594860886.0,3.28,209991.2
planner_debate,decode_layer10,1305,74385,273983304.0,3.11,1597076348.0,3.28,209948.9
planner_debate,decode_layer00,1305,74385,273880913.0,3.11,1696887261.0,3.49,209870.4
planner_debate,decode_layer12,1305,74385,273799120.0,3.11,1597651566.0,3.28,209807.8
planner_debate,decode_layer25,1305,74385,273783297.0,3.11,1591334677.0,3.27,209795.6
planner_debate,decode_layer06,1305,74385,273694782.0,3.1,1601641087.0,3.29,209727.8
planner_debate,decode_layer18,1305,74385,273594375.0,3.1,1596095260.0,3.28,209650.9
planner_debate,decode_layer11,1305,74385,273535635.0,3.1,1595456776.0,3.28,209605.9
planner_debate,decode_layer15,1305,74385,273502753.0,3.1,1599897096.0,3.29,209580.7
planner_debate,decode_layer16,1305,74385,273347368.0,3.1,1592861384.0,3.27,209461.6
planner_debate,decode_layer23,1305,74385,273198691.0,3.1,1593058940.0,3.27,209347.7
planner_debate,decode_layer20,1305,74385,273118107.0,3.1,1598245366.0,3.28,209285.9
planner_debate,decode_layer04,1305,74385,273109977.0,3.1,1597579625.0,3.28,209279.7
planner_debate,decode_layer22,1305,74385,273025978.0,3.1,1597075860.0,3.28,209215.3
planner_debate,decode_layer07,1305,74385,272983374.0,3.1,1602555380.0,3.29,209182.7
planner_debate,decode_layer27,1305,74385,272980241.0,3.1,1594561674.0,3.28,209180.3
planner_debate,decode_layer24,1305,74385,272916404.0,3.1,1596712986.0,3.28,209131.3
planner_debate,decode_layer14,1305,74385,272822201.0,3.09,1595760759.0,3.28,209059.2
planner_debate,decode_layer13,1305,74385,272752068.0,3.09,1594175604.0,3.28,209005.4
planner_debate,decode_layer05,1305,74385,272573859.0,3.09,1598930210.0,3.29,208868.9
planner_debate,decode_layer21,1305,74385,272506595.0,3.09,1599345638.0,3.29,208817.3
planner_debate,prefill_head,15,135,29776700.0,0.34,3855845.0,0.01,1985113.3
planner_debate,call_overhead,15,13200,17752590.0,0.2,0.0,0.0,1183506.0
planner_debate,decode_sample,1305,1305,9948946.0,0.11,808569823.0,1.66,7623.7
planner_debate,prefill_layer14,15,861,8384090.0,0.1,19171181.0,0.04,558939.3
planner_debate,prefill_layer01,15,861,8164409.0,0.09,20369511.0,0.04,544293.9
planner_debate,prefill_layer26,15,861,8160568.0,0.09,19074065.0,0.04,544037.9
planner_debate,prefill_layer02,15,861,8140089.0,0.09,20031654.0,0.04,542672.6
planner_debate,prefill_layer15,15,861,8124310.0,0.09,19275499.0,0.04,541620.7
planner_debate,prefill_layer05,15,861,8094549.0,0.09,19185751.0,0.04,539636.6
planner_debate,prefill_layer03,15,861,8075504.0,0.09,19715496.0,0.04,538366.9
planner_debate,prefill_layer13,15,861,8049777.0,0.09,19136209.0,0.04,536651.8
planner_debate,prefill_layer07,15,861,8043985.0,0.09,19135531.0,0.04,536265.7
planner_debate,prefill_layer10,15,861,8039727.0,0.09,18838706.0,0.04,535981.8
planner_debate,prefill_layer25,15,861,8034609.0,0.09,19097629.0,0.04,535640.6
planner_debate,prefill_layer22,15,861,8030207.0,0.09,20187488.0,0.04,535347.1
planner_debate,prefill_layer11,15,861,8029746.0,0.09,18925722.0,0.04,535316.4
planner_debate,prefill_layer04,15,861,8024079.0,0.09,19126332.0,0.04,534938.6
planner_debate,prefill_layer24,15,861,8019090.0,0.09,19154820.0,0.04,534606.0
planner_debate,prefill_layer12,15,861,7993872.0,0.09,19042439.0,0.04,532924.8
planner_debate,prefill_layer20,15,861,7982007.0,0.09,19281049.0,0.04,532133.8
planner_debate,prefill_layer17,15,861,7970365.0,0.09,19389559.0,0.04,531357.7
planner_debate,prefill_layer16,15,861,7954583.0,0.09,19059847.0,0.04,530305.5
planner_debate,prefill_layer08,15,861,7938419.0,0.09,18985006.0,0.04,529227.9
planner_debate,prefill_layer21,15,861,7937009.0,0.09,19542067.0,0.04,529133.9
planner_debate,prefill_layer18,15,861,7932149.0,0.09,19317336.0,0.04,528809.9
planner_debate,prefill_layer23,15,861,7930159.0,0.09,19091560.0,0.04,528677.3
planner_debate,prefill_layer19,15,861,7930069.0,0.09,18998675.0,0.04,528671.3
planner_debate,prefill_layer09,15,861,7927054.0,0.09,19010881.0,0.04,528470.3
planner_debate,prefill_layer00,15,861,7926261.0,0.09,23049141.0,0.05,528417.4
planner_debate,prefill_layer27,15,861,7921998.0,0.09,19271540.0,0.04,528133.2
planner_debate,prefill_layer06,15,861,7917043.0,0.09,19089559.0,0.04,527802.9
planner_debate,decode_embed,1305,1305,2542065.0,0.03,75410624.0,0.15,1947.9
planner_debate,prefill_sample,15,15,128322.0,0.0,28949448.0,0.06,8554.8
planner_debate,prefill_embed,15,15,33536.0,0.0,1434400.0,0.0,2235.7
