workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
react_tool,decode_head,330,2970,219940668.0,9.98,75968568.0,0.65,666486.9
react_tool,decode_layer17,330,18810,69077808.0,3.14,381795943.0,3.26,209326.7
react_tool,decode_layer07,330,18810,68879739.0,3.13,381796539.0,3.26,208726.5
react_tool,decode_layer02,330,18810,68837159.0,3.12,385461962.0,3.29,208597.5
react_tool,decode_layer22,330,18810,68763974.0,3.12,379514554.0,3.24,208375.7
react_tool,decode_layer12,330,18810,68661357.0,3.12,382414841.0,3.27,208064.7
react_tool,decode_layer06,330,18810,68599135.0,3.11,382474404.0,3.27,207876.2
react_tool,decode_layer20,330,18810,68589212.0,3.11,379643628.0,3.24,207846.1
react_tool,decode_layer03,330,18810,68522590.0,3.11,383487695.0,3.28,207644.2
react_tool,decode_layer26,330,18810,68511168.0,3.11,382071901.0,3.26,207609.6
react_tool,decode_layer11,330,18810,68476436.0,3.11,381850636.0,3.26,207504.4
react_tool,decode_layer05,330,18810,68462361.0,3.11,382669201.0,3.27,207461.7
react_tool,decode_layer21,330,18810,68437157.0,3.11,380474237.0,3.25,207385.3
react_tool,decode_layer19,330,18810,68317136.0,3.1,381064688.0,3.26,207021.6
react_tool,decode_layer23,330,18810,68309280.0,3.1,379759921.0,3.25,206997.8
react_tool,decode_layer04,330,18810,68309139.0,3.1,383014002.0,3.27,206997.4
react_tool,decode_layer08,330,18810,68263223.0,3.1,382355034.0,3.27,206858.3
react_tool,decode_layer15,330,18810,68212305.0,3.1,381524061.0,3.26,206704.0
react_tool,decode_layer24,330,18810,68162641.0,3.09,380524633.0,3.25,206553.5
react_tool,decode_layer18,330,18810,68142060.0,3.09,381336533.0,3.26,206491.1
react_tool,decode_layer25,330,18810,68114443.0,3.09,386603639.0,3.3,206407.4
react_tool,decode_layer00,330,18810,68084392.0,3.09,406155598.0,3.47,206316.3
react_tool,decode_layer09,330,18810,68072944.0,3.09,381855576.0,3.26,206281.6
react_tool,decode_layer13,330,18810,68007335.0,3.09,380591191.0,3.25,206082.8
react_tool,decode_layer01,330,18810,67915404.0,3.08,388129200.0,3.32,205804.3
react_tool,decode_layer27,330,18810,67900118.0,3.08,384573824.0,3.29,205757.9
react_tool,decode_layer16,330,18810,67869937.0,3.08,380807812.0,3.25,205666.5
react_tool,decode_layer14,330,18810,67707625.0,3.07,380740925.0,3.25,205174.6
react_tool,decode_layer10,330,18810,67561960.0,3.07,381092166.0,3.26,204733.2
react_tool,prefill_head,6,54,5608833.0,0.25,1487888.0,0.01,934805.5
react_tool,call_overhead,6,3360,4334202.0,0.2,0.0,0.0,722367.0
react_tool,prefill_layer00,6,357,2381739.0,0.11,9614779.0,0.08,396956.5
react_tool,decode_sample,330,330,2373071.0,0.11,205979953.0,1.76,7191.1
react_tool,prefill_layer12,6,357,2220682.0,0.1,7555590.0,0.06,370113.7
react_tool,prefill_layer27,6,357,2215338.0,0.1,7359151.0,0.06,369223.0
react_tool,prefill_layer25,6,357,2207664.0,0.1,7317597.0,0.06,367944.0
react_tool,prefill_layer06,6,357,2128299.0,0.1,7421709.0,0.06,354716.5
react_tool,prefill_layer13,6,357,2119915.0,0.1,7477272.0,0.06,353319.2
react_tool,prefill_layer07,6,357,2115914.0,0.1,7289954.0,0.06,352652.3
react_tool,prefill_layer19,6,357,2091820.0,0.09,7297394.0,0.06,348636.7
react_tool,prefill_layer01,6,357,2087818.0,0.09,8780404.0,0.08,347969.7
react_tool,prefill_layer18,6,357,2013354.0,0.09,7416130.0,0.06,335559.0
react_tool,prefill_layer26,6,357,2000043.0,0.09,7351367.0,0.06,333340.5
react_tool,prefill_layer10,6,357,1997355.0,0.09,7492243.0,0.06,332892.5
react_tool,prefill_layer20,6,357,1995498.0,0.09,7257500.0,0.06,332583.0
react_tool,prefill_layer08,6,357,1990442.0,0.09,7390294.0,0.06,331740.3
react_tool,prefill_layer02,6,357,1982921.0,0.09,7924819.0,0.07,330486.8
react_tool,prefill_layer16,6,357,1978121.0,0.09,7397318.0,0.06,329686.8
react_tool,prefill_layer23,6,357,1977963.0,0.09,7178228.0,0.06,329660.5
react_tool,prefill_layer09,6,357,1977897.0,0.09,7439965.0,0.06,329649.5
react_tool,prefill_layer21,6,357,1977288.0,0.09,7259642.0,0.06,329548.0
react_tool,prefill_layer22,6,357,1976236.0,0.09,7284328.0,0.06,329372.7
react_tool,prefill_layer04,6,357,1976108.0,0.09,7762648.0,0.07,329351.3
react_tool,prefill_layer24,6,357,1975242.0,0.09,7274844.0,0.06,329207.0
react_tool,prefill_layer17,6,357,1975175.0,0.09,7383036.0,0.06,329195.8
react_tool,prefill_layer14,6,357,1973996.0,0.09,7362367.0,0.06,328999.3
react_tool,prefill_layer15,6,357,1973415.0,0.09,7519859.0,0.06,328902.5
react_tool,prefill_layer03,6,357,1971883.0,0.09,7934807.0,0.07,328647.2
react_tool,prefill_layer05,6,357,1969834.0,0.09,7503434.0,0.06,328305.7
react_tool,prefill_layer11,6,357,1969804.0,0.09,7518765.0,0.06,328300.7
react_tool,decode_embed,330,330,627396.0,0.03,17329844.0,0.15,1901.2
react_tool,prefill_sample,6,6,50272.0,0.0,5292797.0,0.05,8378.7
react_tool,prefill_embed,6,6,10528.0,0.0,597919.0,0.01,1754.7
