workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_tool,measured,answer,0,prefill_embed,,3,1770.7,1792,1696,1824,54.4,101126.3,101540,93204,108635,1,1.8,other
react_tool,measured,answer,1,prefill_layer00,,3,397080,368994,366850,455396,41244.9,1750816,1745217,1725869,1781362,59,22.7,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,2,prefill_layer01,,3,344535.7,344577,344194,344836,263.7,1615757,1614658,1612756,1619857,59,21.3,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,3,prefill_layer02,,3,346636,344482,344417,351009,3092.3,1341776,1345208,1329839,1350281,59,25.8,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,4,prefill_layer03,,3,342103.7,342371,341538,342402,400.2,1307115.3,1311318,1295911,1314117,59,26.2,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,5,prefill_layer04,,3,345474.7,345316,344897,346211,548.0,1286002.7,1282529,1280562,1294917,59,26.9,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,6,prefill_layer05,ve,3,342871.7,342723,342403,343489,455.6,1191081,1170779,1127635,1274829,59,28.8,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,7,prefill_layer06,ve,3,396578,352418,344834,492482,67885.0,1182467.7,1176957,1114494,1255952,59,33.5,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,8,prefill_layer07,ve,3,392705.3,358849,344226,475041,58525.4,1166686.7,1175289,1124935,1199836,59,33.7,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,9,prefill_layer08,,3,348151,343970,342849,357634,6721.1,1204652.3,1191682,1159448,1262827,59,28.9,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,10,prefill_layer09,me,3,344065.7,343969,343842,344386,232.4,1192321,1183343,1129160,1264460,59,28.9,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,11,prefill_layer10,me,3,346220.3,346145,345665,346851,487.1,1194490,1209372,1121032,1253066,59,29.0,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,12,prefill_layer11,me,3,342967.3,342915,342561,343426,355.1,1241719.3,1218047,1212693,1294418,59,27.6,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,13,prefill_layer12,de,3,384738.3,346500,345217,462498,54986.9,1262840.3,1254692,1253645,1280184,59,30.5,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,14,prefill_layer13,de,3,347788.7,344419,343170,355777,5671.6,1256174,1245358,1242979,1280185,59,27.7,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,15,prefill_layer14,,3,344098,344034,343618,344642,420.5,1243069,1242974,1209083,1277150,59,27.7,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,16,prefill_layer15,,3,343510.7,343362,343265,343905,281.6,1297704.3,1270936,1260556,1361621,59,26.5,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,17,prefill_layer16,,3,344663,344449,344258,345282,444.6,1258824,1270212,1189809,1316451,59,27.4,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,18,prefill_layer17,,3,345697.3,345793,345154,346145,410.2,1230405,1216965,1183036,1291214,59,28.1,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,19,prefill_layer18,,3,356439,346625,346402,376290,14037.1,1246793.3,1268111,1202132,1270137,59,28.6,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
react_tool,measured,answer,20,prefill_layer19,,3,383949.3,344353,344322,463173,56019.6,1223780,1219526,1186504,1265310,59,31.4,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce
