workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate,planner-seed,adapter_dispatch,,,,3,4653,4243,9018,0,0,,,0
planner_debate,planner-seed,token_preprocess_cpu,,,,3,1543857,1182543,1610228,0,0,,,0
planner_debate,planner-seed,host_input_generate,,,,3,133426,120392,144747,0,5237,cudaEventQuery,,0
planner_debate,planner-seed,h2d_stage,,,,3,112258,102943,115397,448,39629,cudaEventRecordWithFlags,memcpy,0
planner_debate,planner-seed,weight_init,,,,3,173874,163875,179039,0,2838,cudaEventDestroy,,0
planner_debate,planner-seed,mir_operator:prefill_embed,0,prefill_embed,,3,96240,91233,98808,1888,17384,cudaLaunchKernel,other,1
planner_debate,planner-seed,inter_operator_dispatch,,,,6693,23245,17618,7407849,0,0,cudaLaunchKernel,concat|copy|elementwise_binary|elementwise_other|gemv,0.32
planner_debate,planner-seed,mir_operator:prefill_layer00,1,prefill_layer00,,3,1560573,1547759,1605975,416387,361930,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
planner_debate,planner-seed,mir_operator:prefill_layer01,2,prefill_layer01,,3,1407341,1386572,1419251,418274,326909,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
planner_debate,planner-seed,mir_operator:prefill_layer02,3,prefill_layer02,,3,1380955,1341231,1418297,418851,328866,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
planner_debate,planner-seed,mir_operator:prefill_layer03,4,prefill_layer03,,3,1377065,1316713,1410982,418435,331080,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
planner_debate,planner-seed,mir_operator:prefill_layer04,5,prefill_layer04,,3,1345648,1260539,1384784,417571,319230,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
planner_debate,planner-seed,mir_operator:prefill_layer05,6,prefill_layer05,ve,3,1326355,1285871,1467754,417699,315313,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,59
