workload,process,family,instances,gpu_ns_total,gpu_share_pct
planner_debate,mir_operator:decode_head,gemv,1305,857462891,9.73
planner_debate,mir_operator:decode_layer26,gemv,9135,163051165,1.85
planner_debate,mir_operator:decode_layer19,gemv,9135,163027330,1.85
planner_debate,mir_operator:decode_layer09,gemv,9135,163023581,1.85
planner_debate,mir_operator:decode_layer01,gemv,9135,162866266,1.85
planner_debate,mir_operator:decode_layer06,gemv,9135,162650576,1.84
planner_debate,mir_operator:decode_layer17,gemv,9135,162622587,1.84
planner_debate,mir_operator:decode_layer08,gemv,9135,162574629,1.84
planner_debate,mir_operator:decode_layer03,gemv,9135,162441031,1.84
planner_debate,mir_operator:decode_layer04,gemv,9135,162402956,1.84
planner_debate,mir_operator:decode_layer25,gemv,9135,162391462,1.84
planner_debate,mir_operator:decode_layer12,gemv,9135,162357496,1.84
planner_debate,mir_operator:decode_layer00,gemv,9135,162349832,1.84
planner_debate,mir_operator:decode_layer02,gemv,9135,162309600,1.84
planner_debate,mir_operator:decode_layer11,gemv,9135,162218333,1.84
planner_debate,mir_operator:decode_layer18,gemv,9135,162177646,1.84
planner_debate,mir_operator:decode_layer15,gemv,9135,162155381,1.84
planner_debate,mir_operator:decode_layer20,gemv,9135,162082799,1.84
planner_debate,mir_operator:decode_layer14,gemv,9135,162004198,1.84
planner_debate,mir_operator:decode_layer22,gemv,9135,161976346,1.84
planner_debate,mir_operator:decode_layer07,gemv,9135,161944131,1.84
planner_debate,mir_operator:decode_layer16,gemv,9135,161786617,1.84
planner_debate,mir_operator:decode_layer10,gemv,9135,161740148,1.83
planner_debate,mir_operator:decode_layer27,gemv,9135,161690938,1.83
planner_debate,mir_operator:decode_layer05,gemv,9135,161661922,1.83
planner_debate,mir_operator:decode_layer13,gemv,9135,161655183,1.83
planner_debate,mir_operator:decode_layer21,gemv,9135,161648402,1.83
planner_debate,mir_operator:decode_layer23,gemv,9135,161632500,1.83
planner_debate,mir_operator:decode_layer24,gemv,9135,161560514,1.83
planner_debate,mir_operator:decode_layer02,elementwise_binary,22185,33306944,0.38
