workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_moa_mcts,react-plan,adapter_dispatch,,,,3,4663,3904,5187,0,0,,,0
react_moa_mcts,react-plan,token_preprocess_cpu,,,,3,767771,747951,844205,0,0,,,0
react_moa_mcts,react-plan,host_input_generate,,,,3,114157,112601,124740,0,5292,cudaEventQuery,,0
react_moa_mcts,react-plan,h2d_stage,,,,3,104533,103898,112347,384,35879,cudaEventRecordWithFlags,memcpy,0
react_moa_mcts,react-plan,weight_init,,,,3,181646,134028,183468,0,2308,cudaEventDestroy,,0
react_moa_mcts,react-plan,mir_operator:prefill_embed,0,prefill_embed,,3,95211,76907,102368,1760,15651,cudaLaunchKernel,other,1
react_moa_mcts,react-plan,inter_operator_dispatch,,,,7251,20854,17670,3300731,0,0,cudaLaunchKernel,concat|copy|elementwise_binary|elementwise_other|gemv,0.32
react_moa_mcts,react-plan,mir_operator:prefill_layer00,1,prefill_layer00,,3,1498049,1348425,1515768,328866,333701,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer01,2,prefill_layer01,,3,1358875,1244760,1365521,326979,313341,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer02,3,prefill_layer02,,3,1305755,1291907,1313717,325858,300440,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer03,4,prefill_layer03,,3,1296582,1274994,1311007,325444,299378,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer04,5,prefill_layer04,,3,1274158,1263277,1305551,327329,301800,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer05,6,prefill_layer05,ve,3,1269169,1262467,1318156,322593,290446,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer06,7,prefill_layer06,ve,3,1294715,1268097,1305247,326018,298158,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
react_moa_mcts,react-plan,mir_operator:prefill_layer07,8,prefill_layer07,ve,3,1302764,1260205,1317572,325602,298643,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|reduce,59
