workload,process,family,instances,gpu_ns_total,gpu_share_pct
react_moa_mcts,mir_operator:decode_head,gemv,2550,1674286414,9.7
react_moa_mcts,mir_operator:decode_layer13,gemv,17850,317710774,1.84
react_moa_mcts,mir_operator:decode_layer17,gemv,17850,317533080,1.84
react_moa_mcts,mir_operator:decode_layer25,gemv,17850,317365929,1.84
react_moa_mcts,mir_operator:decode_layer09,gemv,17850,317224768,1.84
react_moa_mcts,mir_operator:decode_layer24,gemv,17850,317037785,1.84
react_moa_mcts,mir_operator:decode_layer26,gemv,17850,317035864,1.84
react_moa_mcts,mir_operator:decode_layer06,gemv,17850,316878151,1.84
react_moa_mcts,mir_operator:decode_layer04,gemv,17850,316849374,1.83
react_moa_mcts,mir_operator:decode_layer10,gemv,17850,316832727,1.83
react_moa_mcts,mir_operator:decode_layer05,gemv,17850,316786839,1.83
react_moa_mcts,mir_operator:decode_layer21,gemv,17850,316750130,1.83
react_moa_mcts,mir_operator:decode_layer11,gemv,17850,316618412,1.83
react_moa_mcts,mir_operator:decode_layer27,gemv,17850,316532759,1.83
react_moa_mcts,mir_operator:decode_layer01,gemv,17850,316501659,1.83
react_moa_mcts,mir_operator:decode_layer12,gemv,17850,316448193,1.83
react_moa_mcts,mir_operator:decode_layer07,gemv,17850,316406130,1.83
react_moa_mcts,mir_operator:decode_layer02,gemv,17850,316399244,1.83
react_moa_mcts,mir_operator:decode_layer19,gemv,17850,316323294,1.83
react_moa_mcts,mir_operator:decode_layer03,gemv,17850,316136357,1.83
react_moa_mcts,mir_operator:decode_layer18,gemv,17850,316129930,1.83
react_moa_mcts,mir_operator:decode_layer22,gemv,17850,316069462,1.83
react_moa_mcts,mir_operator:decode_layer15,gemv,17850,316041749,1.83
react_moa_mcts,mir_operator:decode_layer23,gemv,17850,315986149,1.83
react_moa_mcts,mir_operator:decode_layer08,gemv,17850,315873612,1.83
react_moa_mcts,mir_operator:decode_layer00,gemv,17850,315872680,1.83
react_moa_mcts,mir_operator:decode_layer20,gemv,17850,315535848,1.83
react_moa_mcts,mir_operator:decode_layer16,gemv,17850,315293624,1.83
react_moa_mcts,mir_operator:decode_layer14,gemv,17850,315135874,1.83
react_moa_mcts,mir_operator:prefill_head,gemm,30,66330661,0.38
react_moa_mcts,mir_operator:decode_layer09,elementwise_binary,43350,65089111,0.38
react_moa_mcts,mir_operator:decode_layer12,elementwise_binary,43350,64871188,0.38
react_moa_mcts,mir_operator:decode_layer17,elementwise_binary,43350,64766771,0.38
react_moa_mcts,mir_operator:decode_layer02,elementwise_binary,43350,64762651,0.38
react_moa_mcts,mir_operator:decode_layer13,elementwise_binary,43350,64757309,0.38
react_moa_mcts,mir_operator:decode_layer22,elementwise_binary,43350,64710534,0.37
react_moa_mcts,mir_operator:decode_layer18,elementwise_binary,43350,64700977,0.37
react_moa_mcts,mir_operator:decode_layer27,elementwise_binary,43350,64628992,0.37
react_moa_mcts,mir_operator:decode_layer03,elementwise_binary,43350,64621257,0.37
react_moa_mcts,mir_operator:decode_layer24,elementwise_binary,43350,64615457,0.37
react_moa_mcts,mir_operator:decode_layer11,elementwise_binary,43350,64614347,0.37
react_moa_mcts,mir_operator:decode_layer01,elementwise_binary,43350,64529769,0.37
react_moa_mcts,mir_operator:decode_layer23,elementwise_binary,43350,64507136,0.37
react_moa_mcts,mir_operator:decode_layer06,elementwise_binary,43350,64458582,0.37
react_moa_mcts,mir_operator:decode_layer26,elementwise_binary,43350,64451376,0.37
react_moa_mcts,mir_operator:decode_layer16,elementwise_binary,43350,64449329,0.37
react_moa_mcts,mir_operator:decode_layer07,elementwise_binary,43350,64433142,0.37
react_moa_mcts,mir_operator:decode_layer08,elementwise_binary,43350,64416593,0.37
react_moa_mcts,mir_operator:decode_layer19,elementwise_binary,43350,64391570,0.37
react_moa_mcts,mir_operator:decode_layer10,elementwise_binary,43350,64313762,0.37
react_moa_mcts,mir_operator:decode_layer20,elementwise_binary,43350,64301902,0.37
react_moa_mcts,mir_operator:decode_layer25,elementwise_binary,43350,64264426,0.37
react_moa_mcts,mir_operator:decode_layer14,elementwise_binary,43350,64258000,0.37
react_moa_mcts,mir_operator:decode_layer21,elementwise_binary,43350,64233098,0.37
react_moa_mcts,mir_operator:decode_layer04,elementwise_binary,43350,64221942,0.37
react_moa_mcts,mir_operator:decode_layer00,elementwise_binary,43350,64186572,0.37
react_moa_mcts,mir_operator:decode_layer05,elementwise_binary,43350,64181956,0.37
react_moa_mcts,mir_operator:decode_layer15,elementwise_binary,43350,64113425,0.37
