workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_moa_mcts,inter_operator_dispatch,79950,3404999753,3.85,42589.1,34606899,0.2,197883591,5.8,25800,1.0
react_moa_mcts,mir_operator:decode_layer00,2550,3084831203,3.48,1209737.7,534514136,3.1,719594782,23.3,145350,17.3
react_moa_mcts,mir_operator:decode_layer01,2550,2961556914,3.34,1161394.9,534995463,3.1,703228673,23.7,145350,18.1
react_moa_mcts,mir_operator:decode_layer02,2550,2935320489,3.32,1151106.1,535190578,3.1,698283878,23.8,145350,18.2
react_moa_mcts,mir_operator:decode_layer03,2550,2923258216,3.3,1146375.8,535003287,3.1,695522649,23.8,145350,18.3
react_moa_mcts,mir_operator:decode_layer04,2550,2920930864,3.3,1145463.1,534200636,3.09,698014171,23.9,145350,18.3
react_moa_mcts,mir_operator:decode_layer05,2550,2913709739,3.29,1142631.3,534373284,3.09,696560625,23.9,145350,18.3
react_moa_mcts,mir_operator:decode_layer14,2550,2910735629,3.29,1141465.0,532307346,3.08,702140344,24.1,145350,18.3
react_moa_mcts,mir_operator:decode_layer26,2550,2909708114,3.29,1141062.0,535042708,3.1,697229905,24.0,145350,18.4
react_moa_mcts,mir_operator:decode_layer09,2550,2909034887,3.29,1140798.0,535794584,3.1,695066356,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer06,2550,2907811399,3.28,1140318.2,534891417,3.1,692728257,23.8,145350,18.4
react_moa_mcts,mir_operator:decode_layer07,2550,2907271629,3.28,1140106.5,534638777,3.1,694345294,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer22,2550,2907072106,3.28,1140028.3,533894630,3.09,695550786,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer25,2550,2907052936,3.28,1140020.8,535200132,3.1,697416622,24.0,145350,18.4
react_moa_mcts,mir_operator:decode_layer08,2550,2904595545,3.28,1139057.1,533274680,3.09,693998916,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer24,2550,2903618095,3.28,1138673.8,535875889,3.1,692153239,23.8,145350,18.5
react_moa_mcts,mir_operator:decode_layer27,2550,2903040179,3.28,1138447.1,534299659,3.09,692547984,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer10,2550,2902953605,3.28,1138413.2,534413318,3.09,691809281,23.8,145350,18.4
react_moa_mcts,mir_operator:decode_layer23,2550,2902227309,3.28,1138128.4,534033386,3.09,691637536,23.8,145350,18.4
react_moa_mcts,mir_operator:decode_layer15,2550,2900484926,3.28,1137445.1,533049153,3.09,691300444,23.8,145350,18.4
react_moa_mcts,mir_operator:decode_layer21,2550,2899870163,3.28,1137204.0,533577547,3.09,693083129,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer11,2550,2899401837,3.27,1137020.3,535395483,3.1,693818635,23.9,145350,18.5
react_moa_mcts,mir_operator:decode_layer19,2550,2899243342,3.27,1136958.2,533862437,3.09,692823849,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer13,2550,2898786526,3.27,1136779.0,536179380,3.11,695184531,24.0,145350,18.5
react_moa_mcts,mir_operator:decode_layer17,2550,2898512372,3.27,1136671.5,536116127,3.1,693792602,23.9,145350,18.5
react_moa_mcts,mir_operator:decode_layer18,2550,2897509935,3.27,1136278.4,535031679,3.1,692515765,23.9,145350,18.5
react_moa_mcts,mir_operator:decode_layer16,2550,2897221604,3.27,1136165.3,533417506,3.09,691596647,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_layer12,2550,2896683881,3.27,1135954.5,535835264,3.1,690635388,23.8,145350,18.5
react_moa_mcts,mir_operator:decode_layer20,2550,2896173275,3.27,1135754.2,532918986,3.09,690997755,23.9,145350,18.4
react_moa_mcts,mir_operator:decode_sample,2550,1594831629,1.8,625424.2,19444001,0.11,1480496219,92.8,2550,1.2
react_moa_mcts,mir_operator:decode_head,2550,575941371,0.65,225859.4,1702542577,9.86,115035288,20.0,22950,295.6
react_moa_mcts,mir_operator:decode_embed,2550,129622450,0.15,50832.3,4997353,0.03,30659814,23.7,2550,3.9
react_moa_mcts,mir_operator:prefill_sample,30,65350697,0.07,2178356.6,248066,0.0,63871829,97.7,30,0.4
react_moa_mcts,token_preprocess_cpu,30,42253275,0.05,1408442.5,0,0.0,0,0.0,0,0.0
react_moa_mcts,mir_operator:prefill_layer00,30,41976606,0.05,1399220.2,16641073,0.1,9896304,23.6,1725,39.6
react_moa_mcts,pre_d2h_alloc,30,41910798,0.05,1397026.6,22304,0.0,1185137,2.8,0,0.1
react_moa_mcts,mir_operator:prefill_layer01,30,38910317,0.04,1297010.6,16896547,0.1,9234646,23.7,1725,43.4
react_moa_mcts,mir_operator:prefill_layer02,30,38217027,0.04,1273900.9,16694732,0.1,9075354,23.7,1725,43.7
react_moa_mcts,mir_operator:prefill_layer03,30,37829874,0.04,1260995.8,16904271,0.1,9011471,23.8,1725,44.7
react_moa_mcts,mir_operator:prefill_layer24,30,37825339,0.04,1260844.6,16819668,0.1,9358453,24.7,1725,44.5
react_moa_mcts,mir_operator:prefill_layer16,30,37622797,0.04,1254093.2,16685008,0.1,9247219,24.6,1725,44.3
react_moa_mcts,mir_operator:prefill_layer09,30,37585406,0.04,1252846.9,16784569,0.1,9017384,24.0,1725,44.7
react_moa_mcts,mir_operator:prefill_layer04,30,37578026,0.04,1252600.9,16886771,0.1,8974288,23.9,1725,44.9
react_moa_mcts,mir_operator:prefill_layer08,30,37534587,0.04,1251152.9,16765850,0.1,9049592,24.1,1725,44.7
react_moa_mcts,mir_operator:prefill_layer10,30,37533071,0.04,1251102.4,17175579,0.1,8994902,24.0,1725,45.8
react_moa_mcts,mir_operator:prefill_layer12,30,37520871,0.04,1250695.7,16863764,0.1,9004537,24.0,1725,44.9
react_moa_mcts,mir_operator:prefill_layer14,30,37511643,0.04,1250388.1,16857883,0.1,8981522,23.9,1725,44.9
react_moa_mcts,mir_operator:prefill_layer07,30,37487315,0.04,1249577.2,16735416,0.1,9009238,24.0,1725,44.6
react_moa_mcts,mir_operator:prefill_layer15,30,37448214,0.04,1248273.8,16918325,0.1,8984099,24.0,1725,45.2
react_moa_mcts,mir_operator:prefill_layer13,30,37396837,0.04,1246561.2,16783727,0.1,8972875,24.0,1725,44.9
react_moa_mcts,mir_operator:prefill_layer17,30,37324001,0.04,1244133.4,16929591,0.1,8940494,24.0,1725,45.4
react_moa_mcts,mir_operator:prefill_layer25,30,37316765,0.04,1243892.2,16747027,0.1,8986284,24.1,1725,44.9
react_moa_mcts,mir_operator:prefill_layer18,30,37315099,0.04,1243836.6,16663624,0.1,9010534,24.1,1725,44.7
react_moa_mcts,mir_operator:prefill_layer26,30,37287635,0.04,1242921.2,16824306,0.1,8956847,24.0,1725,45.1
react_moa_mcts,mir_operator:prefill_layer27,30,37284644,0.04,1242821.5,16703951,0.1,8933385,24.0,1725,44.8
react_moa_mcts,mir_operator:prefill_layer05,30,37269127,0.04,1242304.2,16628309,0.1,8947007,24.0,1725,44.6
react_moa_mcts,mir_operator:prefill_layer11,30,37255639,0.04,1241854.6,16740719,0.1,9011253,24.2,1725,44.9
react_moa_mcts,mir_operator:prefill_layer06,30,37249134,0.04,1241637.8,16925223,0.1,8910007,23.9,1725,45.4
react_moa_mcts,mir_operator:prefill_layer23,30,37236434,0.04,1241214.5,17259891,0.1,8954415,24.0,1725,46.4
react_moa_mcts,mir_operator:prefill_layer19,30,37214689,0.04,1240489.6,17168573,0.1,8954394,24.1,1725,46.1
react_moa_mcts,mir_operator:prefill_layer20,30,37200240,0.04,1240008.0,16750897,0.1,8965584,24.1,1725,45.0
react_moa_mcts,mir_operator:prefill_layer21,30,37164541,0.04,1238818.0,16675238,0.1,8957858,24.1,1725,44.9
react_moa_mcts,mir_operator:prefill_layer22,30,37027705,0.04,1234256.8,16780146,0.1,8919702,24.1,1725,45.3
react_moa_mcts,mir_operator:prefill_head,30,7370152,0.01,245671.7,67051466,0.39,1435836,19.5,270,909.8
react_moa_mcts,dag_schedule_gap,33,6431520,0.01,194894.5,0,0.0,206177,3.2,0,0.0
react_moa_mcts,weight_init,30,4765585,0.01,158852.8,0,0.0,60674,1.3,0,0.0
react_moa_mcts,d2h_stage,30,3867544,0.0,128918.1,26912,0.0,1128129,29.2,0,0.7
react_moa_mcts,host_input_generate,30,3857664,0.0,128588.8,0,0.0,144161,3.7,0,0.0
react_moa_mcts,h2d_stage,30,3161690,0.0,105389.7,14688,0.0,1148988,36.3,0,0.5
react_moa_mcts,mir_operator:prefill_embed,30,2649782,0.0,88326.1,68352,0.0,491964,18.6,30,2.6
react_moa_mcts,checksum_complete,30,1416880,0.0,47229.3,0,0.0,83611,5.9,0,0.0
react_moa_mcts,agent_tool_execute_cpu,3,1084654,0.0,361551.3,0,0.0,0,0.0,0,0.0
react_moa_mcts,iteration_tail_sync,3,388752,0.0,129584.0,0,0.0,57699,14.8,0,0.0
react_moa_mcts,adapter_dispatch,30,167069,0.0,5569.0,0,0.0,0,0.0,0,0.0
