workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,15940591803,15940607985,16182,0,0,0,0,0,0,,16182,
react_tool,measured,0,plan,llm,adapter_dispatch,,,,gap_between_markers,15940607985,15940611858,3873,0,0,0,0,0,0,,3873,
react_tool,measured,0,plan,llm,token_preprocess_cpu,,,,host_event,15940611858,15941844264,1232406,0,0,0,0,0,0,,1232406,
react_tool,measured,0,plan,llm,host_input_generate,,,,gap_between_markers,15941844264,15941958090,113826,0,0,0,0,5310,2,cudaEventQuery,108516,
react_tool,measured,0,plan,llm,h2d_stage,,,,host_event,15941958090,15942076787,118697,384,384,0,1,43578,10,cudaMemcpyAsync,75119,memcpy
react_tool,measured,0,plan,llm,weight_init,,,,gap_between_markers,15942076787,15942239750,162963,0,0,0,0,2338,3,cudaEventDestroy,160625,
react_tool,measured,0,plan,llm,mir_operator:prefill_embed,0,prefill_embed,,nvtx_range,15942239750,15942336876,97126,1696,1696,1,0,17164,1,cudaLaunchKernel,79962,other
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15942336876,15942813447,476571,13888,13888,10,0,79798,10,cudaLaunchKernel,396773,concat|copy|elementwise_binary|elementwise_other|gemv
react_tool,measured,0,plan,llm,mir_operator:prefill_layer00,1,prefill_layer00,,nvtx_range,15942813447,15944321653,1508206,433314,433314,60,2,367419,67,cudaLaunchKernel,1140787,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15944321653,15944346045,24392,0,0,0,0,0,0,,24392,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer01,2,prefill_layer01,,nvtx_range,15944346045,15945704135,1358090,313856,313856,60,2,318088,67,cudaLaunchKernel,1040002,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15945704135,15945728569,24434,0,0,0,0,0,0,,24434,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer02,3,prefill_layer02,,nvtx_range,15945728569,15947064971,1336402,314786,314786,60,2,318093,67,cudaLaunchKernel,1018309,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15947064971,15947088152,23181,0,0,0,0,0,0,,23181,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer03,4,prefill_layer03,,nvtx_range,15947088152,15948417410,1329258,315009,315009,60,2,313135,67,cudaLaunchKernel,1016123,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15948417410,15948439506,22096,0,0,0,0,0,0,,22096,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer04,5,prefill_layer04,,nvtx_range,15948439506,15949731417,1291911,312098,312098,60,2,310748,67,cudaLaunchKernel,981163,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15949731417,15949752325,20908,0,0,0,0,0,0,,20908,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer05,6,prefill_layer05,ve,nvtx_range,15949752325,15951074583,1322258,313281,313281,60,2,319527,67,cudaLaunchKernel,1002731,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15951074583,15951096103,21520,0,0,0,0,0,0,,21520,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer06,7,prefill_layer06,ve,nvtx_range,15951096103,15952353392,1257289,312768,312768,60,2,306262,67,cudaLaunchKernel,951027,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15952353392,15952373282,19890,0,0,0,0,0,0,,19890,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer07,8,prefill_layer07,ve,nvtx_range,15952373282,15953568585,1195303,312673,312673,60,2,291791,67,cudaLaunchKernel,903512,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15953568585,15953587742,19157,0,0,0,0,0,0,,19157,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer08,9,prefill_layer08,,nvtx_range,15953587742,15954762897,1175155,316417,316417,60,2,289305,67,cudaLaunchKernel,885850,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15954762897,15954782609,19712,0,0,0,0,0,0,,19712,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer09,10,prefill_layer09,me,nvtx_range,15954782609,15955962543,1179934,317025,317025,60,2,287018,67,cudaLaunchKernel,892916,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15955962543,15955981948,19405,0,0,0,0,0,0,,19405,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer10,11,prefill_layer10,me,nvtx_range,15955981948,15957159517,1177569,313378,313378,60,2,290684,67,cudaLaunchKernel,886885,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15957159517,15957178523,19006,0,0,0,0,0,0,,19006,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer11,12,prefill_layer11,me,nvtx_range,15957178523,15958366559,1188036,313090,313090,60,2,288541,67,cudaLaunchKernel,899495,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15958366559,15958385469,18910,0,0,0,0,0,0,,18910,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer12,13,prefill_layer12,de,nvtx_range,15958385469,15959580769,1195300,314721,314721,60,2,291727,67,cudaLaunchKernel,903573,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15959580769,15959600191,19422,0,0,0,0,0,0,,19422,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer13,14,prefill_layer13,de,nvtx_range,15959600191,15960793378,1193187,442305,442305,60,2,293609,67,cudaLaunchKernel,899578,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,15960793378,15960812363,18985,0,0,0,0,0,0,,18985,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer14,15,prefill_layer14,,nvtx_range,15960812363,15962032003,1219640,313570,313570,60,2,295223,67,cudaLaunchKernel,924417,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
