workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_tool,plan,adapter_dispatch,,,,3,4706,3873,4876,0,0,,,0
react_tool,plan,token_preprocess_cpu,,,,3,755795,712819,1232406,0,0,,,0
react_tool,plan,host_input_generate,,,,3,111217,107102,113826,0,4728,cudaEventQuery,,0
react_tool,plan,h2d_stage,,,,3,106045,105745,118697,384,37528,cudaMemcpyAsync,memcpy,0
react_tool,plan,weight_init,,,,3,162963,144263,178732,0,2180,cudaEventDestroy,,0
react_tool,plan,mir_operator:prefill_embed,0,prefill_embed,,3,97126,94892,102522,1696,17164,cudaLaunchKernel,other,1
react_tool,plan,inter_operator_dispatch,,,,4461,20385,17019,2596546,0,0,cudaLaunchKernel,concat|copy|elementwise_binary|elementwise_other|gemv,0.32
react_tool,plan,mir_operator:prefill_layer00,1,prefill_layer00,,3,1479259,1374866,1508206,433314,367419,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer01,2,prefill_layer01,,3,1313264,1261779,1358090,314210,311076,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer02,3,prefill_layer02,,3,1292849,1270240,1336402,314465,310194,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer03,4,prefill_layer03,,3,1329258,1322387,1361816,315073,318471,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer04,5,prefill_layer04,,3,1294209,1291911,1318520,313633,319057,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer05,6,prefill_layer05,ve,3,1321941,1285992,1322258,313633,319527,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer06,7,prefill_layer06,ve,3,1274369,1257289,1342648,312768,319122,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer07,8,prefill_layer07,ve,3,1269377,1195303,1325214,312673,302875,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
react_tool,plan,mir_operator:prefill_layer08,9,prefill_layer08,,3,1286911,1175155,1314271,315011,309145,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,60
