workload,process,family,instances,gpu_ns_total,gpu_share_pct
react_tool,mir_operator:decode_head,gemv,330,216165030,9.81
react_tool,mir_operator:decode_layer07,gemv,2310,41549204,1.89
react_tool,mir_operator:decode_layer17,gemv,2310,41424559,1.88
react_tool,mir_operator:decode_layer06,gemv,2310,41361902,1.88
react_tool,mir_operator:decode_layer20,gemv,2310,41339679,1.88
react_tool,mir_operator:decode_layer26,gemv,2310,41312498,1.88
react_tool,mir_operator:decode_layer05,gemv,2310,41266976,1.87
react_tool,mir_operator:decode_layer02,gemv,2310,41238587,1.87
react_tool,mir_operator:decode_layer03,gemv,2310,41225804,1.87
react_tool,mir_operator:decode_layer19,gemv,2310,41196633,1.87
react_tool,mir_operator:decode_layer22,gemv,2310,41176815,1.87
react_tool,mir_operator:decode_layer11,gemv,2310,41150782,1.87
react_tool,mir_operator:decode_layer12,gemv,2310,41146503,1.87
react_tool,mir_operator:decode_layer21,gemv,2310,41122349,1.87
react_tool,mir_operator:decode_layer08,gemv,2310,41118714,1.87
react_tool,mir_operator:decode_layer15,gemv,2310,41116249,1.87
react_tool,mir_operator:decode_layer04,gemv,2310,41110985,1.87
react_tool,mir_operator:decode_layer23,gemv,2310,41055665,1.86
react_tool,mir_operator:decode_layer24,gemv,2310,41007753,1.86
react_tool,mir_operator:decode_layer25,gemv,2310,40996317,1.86
react_tool,mir_operator:decode_layer18,gemv,2310,40905865,1.86
react_tool,mir_operator:decode_layer27,gemv,2310,40886072,1.86
react_tool,mir_operator:decode_layer00,gemv,2310,40852651,1.85
react_tool,mir_operator:decode_layer01,gemv,2310,40846598,1.85
react_tool,mir_operator:decode_layer16,gemv,2310,40831770,1.85
react_tool,mir_operator:decode_layer13,gemv,2310,40814030,1.85
react_tool,mir_operator:decode_layer09,gemv,2310,40781766,1.85
react_tool,mir_operator:decode_layer10,gemv,2310,40665475,1.85
react_tool,mir_operator:decode_layer14,gemv,2310,40627447,1.84
react_tool,mir_operator:decode_layer02,elementwise_binary,5610,8406016,0.38
react_tool,mir_operator:decode_layer06,elementwise_binary,5610,8354897,0.38
react_tool,mir_operator:decode_layer22,elementwise_binary,5610,8353465,0.38
react_tool,mir_operator:decode_layer17,elementwise_binary,5610,8322863,0.38
