workload,matrix_size,process,matched_kernel_family,kernel_family_instance_count,ncu_status,ncu_profiled_kernel_names,first_launch_order,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,l2_throughput_pct,l2_hit_rate_pct,achieved_occupancy_pct,waves_per_sm,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
planner_debate,,,elementwise_other,27,profiled,"void <unnamed>::elementwise_kernel_with_index<int, at::arang",2,0.02,0.0,1.71,0.0,3.78,89.3,8.29,0.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,,,copy,27,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,3,0.02,0.0,1.56,0.0,3.48,89.03,8.03,0.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,,,gemv,9,profiled,"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGem",4,0.79,0.0,0.4,0.0,2.72,95.68,16.26,0.03,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
planner_debate,,,concat,9,profiled,void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::Opaqu,5,7.82,0.0,2.64,0.0,4.78,80.62,65.87,1.33,,,"underutilised: SM 8 %, DRAM 3 %, L2 5 %, occ 73 %"
planner_debate,,,elementwise_binary,18,profiled,"void at::vectorized_elementwise_kernel<4, at::AUnaryFunctor<",7,0.25,0.0,7.52,0.0,3.45,58.4,8.02,0.03,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
planner_debate,1024,mir_operator:prefill_embed,other,3,profiled,"void at::vectorized_gather_kernel<16, long>(char *, char *, ",116785,5.81,0.0,9.84,0.0,32.09,92.73,49.89,0.67,,,"underutilised: SM 6 %, DRAM 10 %, L2 32 %, occ 50 %"
planner_debate,1024,mir_operator:prefill_layer00,copy,24,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,116796,8.29,0.0,44.95,0.0,27.91,53.41,50.6,0.83,,,"underutilised: SM 20 %, DRAM 34 %, L2 32 %, occ 64 %"
planner_debate,1024,mir_operator:prefill_layer00,elementwise_unary,24,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",116797,0.77,0.0,25.21,0.0,11.96,61.8,14.67,0.15,,,DRAM-bandwidth-bound
planner_debate,1024,mir_operator:prefill_layer00,reduce,12,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",116798,6.41,0.0,49.85,0.0,19.26,13.64,44.82,0.34,,,"underutilised: SM 2 %, DRAM 49 %, L2 18 %, occ 33 %"
planner_debate,1024,mir_operator:prefill_layer00,elementwise_binary,51,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",116799,16.47,0.0,38.7,0.0,22.86,55.95,65.68,1.17,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,1024,mir_operator:prefill_layer00,gemm,21,profiled,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn,116804,37.04,41.73,31.53,0.0,66.48,90.82,13.94,1.0,,,tensor-core compute-bound
planner_debate,1024,mir_operator:prefill_layer00,elementwise_other,21,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",116824,13.61,0.0,59.19,0.0,23.36,38.84,51.19,0.67,,,"underutilised: SM 14 %, DRAM 31 %, L2 18 %, occ 53 %"
planner_debate,1024,mir_operator:prefill_layer00,concat,12,profiled,void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::Opaqu,116825,28.39,0.0,20.27,0.0,12.42,53.55,69.86,1.33,,,"underutilised: SM 39 %, DRAM 26 %, L2 16 %, occ 76 %"
planner_debate,1024,mir_operator:prefill_layer00,attention,6,profiled,void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne,116835,22.4,12.17,31.69,0.0,26.49,54.89,33.78,1.89,,,"underutilised: SM 18 %, DRAM 19 %, L2 30 %, occ 8 %"
planner_debate,1024,mir_operator:prefill_layer01,copy,24,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,116854,4.1,0.0,45.23,0.0,27.56,51.48,50.54,0.83,,,"underutilised: SM 20 %, DRAM 35 %, L2 32 %, occ 64 %"
planner_debate,1024,mir_operator:prefill_layer01,elementwise_unary,24,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",116855,0.79,0.0,24.93,0.0,16.71,52.64,14.54,0.15,,,DRAM-bandwidth-bound
planner_debate,1024,mir_operator:prefill_layer01,reduce,12,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",116856,6.54,0.0,50.99,0.0,20.02,13.46,44.36,0.34,,,"underutilised: SM 2 %, DRAM 50 %, L2 20 %, occ 33 %"
planner_debate,1024,mir_operator:prefill_layer01,elementwise_binary,51,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",116857,16.6,0.0,38.87,0.0,22.85,56.35,65.44,1.17,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,1024,mir_operator:prefill_layer01,gemm,21,profiled,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn,116862,37.1,41.44,30.73,0.0,67.3,90.83,13.76,1.0,,,tensor-core compute-bound
planner_debate,1024,mir_operator:prefill_layer01,elementwise_other,21,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",116882,13.48,0.0,59.47,0.0,23.53,39.53,51.28,0.67,,,"underutilised: SM 13 %, DRAM 31 %, L2 18 %, occ 56 %"
planner_debate,1024,mir_operator:prefill_layer01,concat,12,profiled,void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::Opaqu,116883,27.6,0.0,19.89,0.0,12.32,53.52,70.12,1.33,,,"underutilised: SM 37 %, DRAM 28 %, L2 17 %, occ 76 %"
planner_debate,1024,mir_operator:prefill_layer01,attention,6,profiled,void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne,116893,22.46,12.01,41.38,0.0,28.19,54.8,33.7,1.89,,,"underutilised: SM 18 %, DRAM 19 %, L2 29 %, occ 8 %"
planner_debate,1024,mir_operator:prefill_layer02,copy,24,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,116912,8.38,0.0,45.18,0.0,28.56,52.22,50.41,0.83,,,"underutilised: SM 20 %, DRAM 35 %, L2 32 %, occ 64 %"
planner_debate,1024,mir_operator:prefill_layer02,elementwise_unary,24,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",116913,0.77,0.0,26.18,0.0,12.49,61.52,14.51,0.15,,,DRAM-bandwidth-bound
planner_debate,1024,mir_operator:prefill_layer02,reduce,12,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",116914,6.55,0.0,51.63,0.0,20.3,13.49,44.6,0.34,,,"underutilised: SM 2 %, DRAM 51 %, L2 20 %, occ 33 %"
planner_debate,1024,mir_operator:prefill_layer02,elementwise_binary,51,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",116915,16.42,0.0,39.31,0.0,22.65,56.07,65.24,1.17,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,1024,mir_operator:prefill_layer02,gemm,21,profiled,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn,116920,38.34,41.5,31.07,0.0,67.21,90.83,13.93,1.0,,,tensor-core compute-bound
planner_debate,1024,mir_operator:prefill_layer02,elementwise_other,21,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",116940,13.6,0.0,60.73,0.0,24.1,38.84,51.07,0.67,,,"latency/launch-bound: 0.67 waves per SM, no unit above 30 % of peak"
