target,call_id,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,<dag>,1036567.5,1000383.8,2273424.0,-54.4,0.0,0.0,
react_moa_mcts,react-plan,2683925479.0,2590237161.2,2675373266.7,0.3,498901634.0,508882717.0,-2.0
react_moa_mcts,moa-map0,3206002835.0,3094090259.6,3115890932.3,2.9,591552008.0,600034375.7,-1.4
react_moa_mcts,moa-map1,3419319569.0,3299960704.2,3290971832.0,3.9,630265928.0,640959539.7,-1.7
react_moa_mcts,moa-map2,3099344468.0,2991155037.4,3006334172.7,3.1,572195048.0,582507061.0,-1.8
react_moa_mcts,mcts-root,3028238890.0,2922531555.8,2921390875.3,3.7,559290408.0,573305117.7,-2.4
react_moa_mcts,react-tool,290996.5,280838.6,361551.3,-19.5,0.0,0.0,
react_moa_mcts,mcts-actor0,3170450046.0,3059778518.9,3053355873.3,3.8,585099688.0,600346565.7,-2.5
react_moa_mcts,mcts-actor1,2886027734.0,2785284592.8,2792846723.3,3.3,533481128.0,547347448.3,-2.5
react_moa_mcts,moa-reduce,3312661202.0,3197025481.9,3183471462.3,4.1,610908968.0,627829046.7,-2.7
react_moa_mcts,react-answer,2746258625.5,2650394432.2,2589744630.3,6.0,492120559.0,498661922.3,-1.3
react_moa_mcts,mcts-critic,3028238890.0,2922531555.8,2882255778.7,5.1,559290408.0,575979795.3,-2.9
