call_kind,matrix_size,process,op_type,instances_per_iter,covered,source,template_source_workload
dag,,dag_schedule_gap,,11,True,template_scaled,planner_debate+react_tool
llm,768,adapter_dispatch,,1,True,template_scaled,react_tool
llm,768,token_preprocess_cpu,,1,True,template_scaled,react_tool
llm,768,host_input_generate,,1,True,template_scaled,react_tool
llm,768,h2d_stage,,1,True,template_scaled,react_tool
llm,768,weight_init,,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_embed,prefill_embed,1,True,template_scaled,react_tool
llm,768,inter_operator_dispatch,,2417,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer00,prefill_layer00,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer01,prefill_layer01,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer02,prefill_layer02,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer03,prefill_layer03,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer04,prefill_layer04,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer05,prefill_layer05,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer06,prefill_layer06,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer07,prefill_layer07,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer08,prefill_layer08,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer09,prefill_layer09,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer10,prefill_layer10,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer11,prefill_layer11,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer12,prefill_layer12,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer13,prefill_layer13,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer14,prefill_layer14,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer15,prefill_layer15,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer16,prefill_layer16,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer17,prefill_layer17,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer18,prefill_layer18,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer19,prefill_layer19,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer20,prefill_layer20,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer21,prefill_layer21,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer22,prefill_layer22,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer23,prefill_layer23,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer24,prefill_layer24,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer25,prefill_layer25,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer26,prefill_layer26,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_layer27,prefill_layer27,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_head,prefill_head,1,True,template_scaled,react_tool
llm,768,mir_operator:prefill_sample,prefill_sample,1,True,template_scaled,react_tool
llm,768,mir_operator:decode_embed,decode_embed,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer00,decode_layer00,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer01,decode_layer01,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer02,decode_layer02,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer03,decode_layer03,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer04,decode_layer04,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer05,decode_layer05,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer06,decode_layer06,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer07,decode_layer07,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer08,decode_layer08,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer09,decode_layer09,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer10,decode_layer10,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer11,decode_layer11,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer12,decode_layer12,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer13,decode_layer13,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer14,decode_layer14,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer15,decode_layer15,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer16,decode_layer16,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer17,decode_layer17,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer18,decode_layer18,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer19,decode_layer19,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer20,decode_layer20,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer21,decode_layer21,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer22,decode_layer22,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer23,decode_layer23,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer24,decode_layer24,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer25,decode_layer25,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer26,decode_layer26,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_layer27,decode_layer27,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_head,decode_head,77,True,template_scaled,react_tool
llm,768,mir_operator:decode_sample,decode_sample,77,True,template_scaled,react_tool
llm,768,pre_d2h_alloc,,1,True,template_scaled,react_tool
llm,768,d2h_stage,,1,True,template_scaled,react_tool
llm,768,checksum_complete,,1,True,template_scaled,react_tool
llm,1024,adapter_dispatch,,8,True,template_scaled,planner_debate
llm,1024,token_preprocess_cpu,,8,True,template_scaled,planner_debate
llm,1024,host_input_generate,,8,True,template_scaled,planner_debate
llm,1024,h2d_stage,,8,True,template_scaled,planner_debate
llm,1024,weight_init,,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_embed,prefill_embed,8,True,template_scaled,planner_debate
llm,1024,inter_operator_dispatch,,21878,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer00,prefill_layer00,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer01,prefill_layer01,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer02,prefill_layer02,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer03,prefill_layer03,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer04,prefill_layer04,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer05,prefill_layer05,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer06,prefill_layer06,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer07,prefill_layer07,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer08,prefill_layer08,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer09,prefill_layer09,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer10,prefill_layer10,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer11,prefill_layer11,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer12,prefill_layer12,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer13,prefill_layer13,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer14,prefill_layer14,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer15,prefill_layer15,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer16,prefill_layer16,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer17,prefill_layer17,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer18,prefill_layer18,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer19,prefill_layer19,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer20,prefill_layer20,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer21,prefill_layer21,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer22,prefill_layer22,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer23,prefill_layer23,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer24,prefill_layer24,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer25,prefill_layer25,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer26,prefill_layer26,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_layer27,prefill_layer27,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_head,prefill_head,8,True,template_scaled,planner_debate
llm,1024,mir_operator:prefill_sample,prefill_sample,8,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_embed,decode_embed,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer00,decode_layer00,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer01,decode_layer01,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer02,decode_layer02,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer03,decode_layer03,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer04,decode_layer04,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer05,decode_layer05,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer06,decode_layer06,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer07,decode_layer07,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer08,decode_layer08,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer09,decode_layer09,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer10,decode_layer10,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer11,decode_layer11,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer12,decode_layer12,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer13,decode_layer13,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer14,decode_layer14,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer15,decode_layer15,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer16,decode_layer16,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer17,decode_layer17,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer18,decode_layer18,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer19,decode_layer19,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer20,decode_layer20,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer21,decode_layer21,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer22,decode_layer22,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer23,decode_layer23,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer24,decode_layer24,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer25,decode_layer25,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer26,decode_layer26,698,True,template_scaled,planner_debate
llm,1024,mir_operator:decode_layer27,decode_layer27,698,True,template_scaled,planner_debate
