target,process,expected_instances_per_iter,observed_instances_per_iter,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,scaled_err_pct,template_absolute_share_pct,observed_share_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,mir_operator:decode_layer00,850,850.0,1086832696.5,1048894412.5,1028277067.7,5.7,2.0,3.55,3.48,175572064.5,178171378.7,-1.5
react_moa_mcts,mir_operator:decode_layer01,850,850.0,1045039510.5,1008560109.5,987185638.0,5.9,2.2,3.42,3.34,174982348.0,178331821.0,-1.9
react_moa_mcts,mir_operator:decode_layer02,850,850.0,1036297013.5,1000122788.6,978440163.0,5.9,2.2,3.39,3.32,174909236.0,178396859.3,-2.0
react_moa_mcts,mir_operator:decode_layer03,850,850.0,1031522963.5,995515387.3,974419405.3,5.9,2.2,3.37,3.3,174745720.5,178334429.0,-2.0
react_moa_mcts,mir_operator:decode_layer04,850,850.0,1029488593.0,993552031.0,973643621.3,5.7,2.0,3.37,3.3,174961817.5,178066878.7,-1.7
react_moa_mcts,mir_operator:decode_layer05,850,850.0,1028916547.0,992999953.5,971236579.7,5.9,2.2,3.36,3.29,174868525.0,178124428.0,-1.8
react_moa_mcts,mir_operator:decode_layer08,850,850.0,1028732192.0,992822033.8,968198515.0,6.3,2.5,3.36,3.28,174857360.0,177758226.7,-1.6
react_moa_mcts,mir_operator:decode_layer06,850,850.0,1028671724.0,992763676.6,969270466.3,6.1,2.4,3.36,3.28,175208003.0,178297139.0,-1.7
react_moa_mcts,mir_operator:decode_layer11,850,850.0,1028006135.5,992121321.9,966467279.0,6.4,2.7,3.36,3.27,174781095.0,178465161.0,-2.1
react_moa_mcts,mir_operator:decode_layer09,850,850.0,1027412658.0,991548561.0,969678295.7,6.0,2.3,3.36,3.29,175033932.0,178598194.7,-2.0
react_moa_mcts,mir_operator:decode_layer10,850,850.0,1027194897.5,991338402.0,967651201.7,6.2,2.4,3.36,3.28,174705696.5,178137772.7,-1.9
react_moa_mcts,mir_operator:decode_layer20,850,850.0,1027031513.5,991180721.2,965391091.7,6.4,2.7,3.36,3.27,175058045.0,177639662.0,-1.5
react_moa_mcts,mir_operator:decode_layer07,850,850.0,1026846345.5,991002016.9,969090543.0,6.0,2.3,3.36,3.28,174893105.5,178212925.7,-1.9
