lineage,workload,global_rank,process,cumulative_host_ns,selected
llm,react_tool,1,mir_operator:decode_layer*,10723784344.0,True
llm,react_tool,2,inter_operator_dispatch,442627732.0,False
llm,react_tool,3,mir_operator:prefill_layer*,211765444.0,False
llm,react_tool,4,mir_operator:decode_sample,205979953.0,False
llm,react_tool,5,mir_operator:decode_head,75968568.0,False
llm,react_tool,6,mir_operator:decode_embed,17329844.0,False
llm,react_tool,7,token_preprocess_cpu,6188579.0,False
llm,react_tool,8,mir_operator:prefill_sample,5292797.0,False
llm,react_tool,9,pre_d2h_alloc,4315924.0,False
llm,react_tool,10,dag_schedule_gap,2614561.0,False
llm,react_tool,11,mir_operator:prefill_head,1487888.0,False
llm,react_tool,12,weight_init,1087324.0,False
llm,react_tool,13,agent_tool_execute_cpu,824414.0,False
llm,react_tool,14,d2h_stage,820249.0,False
llm,react_tool,15,h2d_stage,742370.0,False
llm,react_tool,16,host_input_generate,737707.0,False
llm,react_tool,17,mir_operator:prefill_embed,597919.0,False
llm,react_tool,18,iteration_tail_sync,346693.0,False
llm,react_tool,19,checksum_complete,295998.0,False
llm,react_tool,20,adapter_dispatch,24779.0,False
llm,planner_debate,1,mir_operator:decode_layer*,44847746715.0,True
llm,planner_debate,2,inter_operator_dispatch,1971174799.0,False
llm,planner_debate,3,mir_operator:decode_sample,808569823.0,False
llm,planner_debate,4,mir_operator:prefill_layer*,543554253.0,False
llm,planner_debate,5,mir_operator:decode_head,322680876.0,False
llm,planner_debate,6,mir_operator:decode_embed,75410624.0,False
llm,planner_debate,7,mir_operator:prefill_sample,28949448.0,False
llm,planner_debate,8,token_preprocess_cpu,25652503.0,False
llm,planner_debate,9,pre_d2h_alloc,14806938.0,False
llm,planner_debate,10,dag_schedule_gap,4001471.0,False
llm,planner_debate,11,mir_operator:prefill_head,3855845.0,False
llm,planner_debate,12,weight_init,2668506.0,False
llm,planner_debate,13,host_input_generate,2108529.0,False
llm,planner_debate,14,d2h_stage,1958358.0,False
llm,planner_debate,15,h2d_stage,1615484.0,False
llm,planner_debate,16,mir_operator:prefill_embed,1434400.0,False
llm,planner_debate,17,agent_tool_execute_cpu,1099055.0,False
llm,planner_debate,18,checksum_complete,720875.0,False
llm,planner_debate,19,iteration_tail_sync,532560.0,False
llm,planner_debate,20,adapter_dispatch,70726.0,False
llm,react_moa_mcts,1,mir_operator:decode_layer*,81598616719.0,True
llm,react_moa_mcts,2,inter_operator_dispatch,3404999753.0,False
llm,react_moa_mcts,3,mir_operator:decode_sample,1594831629.0,False
llm,react_moa_mcts,4,mir_operator:prefill_layer*,1054123583.0,False
llm,react_moa_mcts,5,mir_operator:decode_head,575941371.0,False
llm,react_moa_mcts,6,mir_operator:decode_embed,129622450.0,False
llm,react_moa_mcts,7,mir_operator:prefill_sample,65350697.0,False
llm,react_moa_mcts,8,token_preprocess_cpu,42253275.0,False
llm,react_moa_mcts,9,pre_d2h_alloc,41910798.0,False
llm,react_moa_mcts,10,mir_operator:prefill_head,7370152.0,False
llm,react_moa_mcts,11,dag_schedule_gap,6431520.0,False
llm,react_moa_mcts,12,weight_init,4765585.0,False
llm,react_moa_mcts,13,d2h_stage,3867544.0,False
llm,react_moa_mcts,14,host_input_generate,3857664.0,False
llm,react_moa_mcts,15,h2d_stage,3161690.0,False
llm,react_moa_mcts,16,mir_operator:prefill_embed,2649782.0,False
llm,react_moa_mcts,17,checksum_complete,1416880.0,False
llm,react_moa_mcts,18,agent_tool_execute_cpu,1084654.0,False
llm,react_moa_mcts,19,iteration_tail_sync,388752.0,False
llm,react_moa_mcts,20,adapter_dispatch,167069.0,False
