lineage,workload,process,instances,cumulative_host_ns,share_pct,selected,median_ns,p90_ns,max_ns,mad_ns,gpu_owning
llm,react_tool,mir_operator:decode_layer*,9240,10723784344.0,91.63,True,1170229.5,1226848.0,6252858.0,49323.5,True
llm,react_tool,inter_operator_dispatch,10410,442627732.0,3.78,False,20386.0,39997.0,2626478.0,1342.0,True
llm,react_tool,mir_operator:prefill_layer*,168,211765444.0,1.81,False,1245330.0,1336402.0,1781362.0,49807.0,True
llm,react_tool,mir_operator:decode_sample,330,205979953.0,1.76,False,619250.0,631377.0,802604.0,5256.5,True
llm,react_tool,mir_operator:decode_head,330,75968568.0,0.65,False,229440.5,248637.0,360143.0,11851.5,True
llm,react_tool,mir_operator:decode_embed,330,17329844.0,0.15,False,52014.0,61130.0,92946.0,5456.5,True
llm,react_tool,token_preprocess_cpu,6,6188579.0,0.05,False,1157488.5,1172582.0,1232406.0,45005.5,False
llm,react_tool,mir_operator:prefill_sample,6,5292797.0,0.05,False,876885.5,992844.0,1000163.0,103876.0,True
llm,react_tool,pre_d2h_alloc,6,4315924.0,0.04,False,286950.0,320371.0,2959685.0,35484.0,True
llm,react_tool,dag_schedule_gap,9,2614561.0,0.02,False,73142.0,774181.0,848349.0,54554.0,False
llm,react_tool,mir_operator:prefill_head,6,1487888.0,0.01,False,244795.0,259323.0,268029.0,9322.0,True
llm,react_tool,weight_init,6,1087324.0,0.01,False,177358.0,194504.0,230878.0,15770.5,False
llm,react_tool,agent_tool_execute_cpu,3,824414.0,0.01,False,281698.0,281698.0,283262.0,1564.0,False
llm,react_tool,d2h_stage,6,820249.0,0.01,False,137886.0,139958.0,146052.0,5119.0,True
llm,react_tool,h2d_stage,6,742370.0,0.01,False,123623.5,136077.0,147256.0,15016.0,True
llm,react_tool,host_input_generate,6,737707.0,0.01,False,124325.0,135349.0,135389.0,11044.0,False
llm,react_tool,mir_operator:prefill_embed,6,597919.0,0.01,False,99333.0,102522.0,108635.0,3815.0,True
llm,react_tool,iteration_tail_sync,3,346693.0,0.0,False,118010.0,118010.0,118253.0,243.0,False
llm,react_tool,checksum_complete,6,295998.0,0.0,False,49243.0,50670.0,51760.0,1176.5,False
llm,react_tool,adapter_dispatch,6,24779.0,0.0,False,4078.5,4706.0,4876.0,535.5,False
llm,planner_debate,mir_operator:decode_layer*,36540,44847746715.0,92.17,True,1217949.0,1303818.0,6411022.0,47037.0,True
llm,planner_debate,inter_operator_dispatch,40905,1971174799.0,4.05,False,21625.0,44687.0,7407849.0,1808.0,True
llm,planner_debate,mir_operator:decode_sample,1305,808569823.0,1.66,False,615940.0,627880.0,811481.0,6316.0,True
llm,planner_debate,mir_operator:prefill_layer*,420,543554253.0,1.12,False,1297966.5,1390824.0,1911148.0,63179.5,True
llm,planner_debate,mir_operator:decode_head,1305,322680876.0,0.66,False,244103.0,270408.0,426949.0,14906.0,True
llm,planner_debate,mir_operator:decode_embed,1305,75410624.0,0.15,False,58275.0,66783.0,115836.0,5940.0,True
llm,planner_debate,mir_operator:prefill_sample,15,28949448.0,0.06,False,1765823.0,2686438.0,2733217.0,182347.0,True
llm,planner_debate,token_preprocess_cpu,15,25652503.0,0.05,False,1610228.0,2443510.0,2745522.0,246000.0,False
llm,planner_debate,pre_d2h_alloc,15,14806938.0,0.03,False,310247.0,563808.0,5327050.0,72213.0,True
llm,planner_debate,dag_schedule_gap,18,4001471.0,0.01,False,91048.5,830782.0,1002731.0,27084.5,False
llm,planner_debate,mir_operator:prefill_head,15,3855845.0,0.01,False,259974.0,278988.0,300413.0,19913.0,True
llm,planner_debate,weight_init,15,2668506.0,0.01,False,173874.0,206050.0,243758.0,21225.0,False
llm,planner_debate,host_input_generate,15,2108529.0,0.0,False,134189.0,179481.0,191345.0,14268.0,False
llm,planner_debate,d2h_stage,15,1958358.0,0.0,False,130695.0,143606.0,148398.0,6788.0,True
llm,planner_debate,h2d_stage,15,1615484.0,0.0,False,104954.0,128425.0,132936.0,12132.0,True
llm,planner_debate,mir_operator:prefill_embed,15,1434400.0,0.0,False,96240.0,106946.0,116815.0,9253.0,True
llm,planner_debate,agent_tool_execute_cpu,3,1099055.0,0.0,False,374294.0,374294.0,426030.0,51736.0,False
llm,planner_debate,checksum_complete,15,720875.0,0.0,False,48155.0,51998.0,56739.0,3269.0,False
llm,planner_debate,iteration_tail_sync,3,532560.0,0.0,False,187087.0,187087.0,188409.0,1322.0,False
llm,planner_debate,adapter_dispatch,15,70726.0,0.0,False,4035.0,4653.0,11435.0,510.0,False
llm,react_moa_mcts,mir_operator:decode_layer*,71400,81598616719.0,92.16,True,1147604.0,1212639.0,5066103.0,51187.0,True
llm,react_moa_mcts,inter_operator_dispatch,79950,3404999753.0,3.85,False,20900.0,39718.0,3455800.0,1360.0,True
llm,react_moa_mcts,mir_operator:decode_sample,2550,1594831629.0,1.8,False,621668.0,630985.0,821096.0,4751.0,True
llm,react_moa_mcts,mir_operator:prefill_layer*,840,1054123583.0,1.19,False,1260147.0,1336988.0,1803386.0,52393.5,True
llm,react_moa_mcts,mir_operator:decode_head,2550,575941371.0,0.65,False,225529.5,246331.0,292382.0,12119.5,True
llm,react_moa_mcts,mir_operator:decode_embed,2550,129622450.0,0.15,False,50020.0,60173.0,76982.0,5505.5,True
llm,react_moa_mcts,mir_operator:prefill_sample,30,65350697.0,0.07,False,2285767.5,2687110.0,2722880.0,342687.5,True
llm,react_moa_mcts,token_preprocess_cpu,30,42253275.0,0.05,False,1486324.0,1683826.0,2215133.0,152023.5,False
llm,react_moa_mcts,pre_d2h_alloc,30,41910798.0,0.05,False,340341.0,3696026.0,4326273.0,87389.0,True
llm,react_moa_mcts,mir_operator:prefill_head,30,7370152.0,0.01,False,244354.5,259881.0,283151.0,9584.5,True
llm,react_moa_mcts,dag_schedule_gap,33,6431520.0,0.01,False,105052.0,371105.0,935142.0,17730.0,False
llm,react_moa_mcts,weight_init,30,4765585.0,0.01,False,160027.0,183468.0,200787.0,16892.0,False
llm,react_moa_mcts,d2h_stage,30,3867544.0,0.0,False,125115.5,134177.0,200001.0,7997.0,True
llm,react_moa_mcts,host_input_generate,30,3857664.0,0.0,False,126807.5,143026.0,158417.0,10166.5,False
