workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
planner_debate,decode_head,1305,11745,867179406.0,6.91,346950827.0,0.68,664505.3
planner_debate,decode_layer00,1305,56115,313934814.0,2.5,1384791619.0,2.71,240563.1
planner_debate,decode_layer02,1305,56115,313420323.0,2.5,1321334876.0,2.59,240168.8
planner_debate,decode_layer35,1305,56115,313395715.0,2.5,1303060161.0,2.55,240150.0
planner_debate,decode_layer29,1305,56115,313370163.0,2.5,1302862011.0,2.55,240130.4
planner_debate,decode_layer01,1305,56115,313338355.0,2.5,1338061872.0,2.62,240106.0
planner_debate,decode_layer27,1305,56115,313213572.0,2.5,1307459725.0,2.56,240010.4
planner_debate,decode_layer16,1305,56115,313166926.0,2.5,1301627007.0,2.55,239974.7
planner_debate,decode_layer04,1305,56115,313121866.0,2.5,1308888140.0,2.56,239940.1
planner_debate,decode_layer03,1305,56115,313013053.0,2.49,1312763181.0,2.57,239856.7
planner_debate,decode_layer23,1305,56115,312976756.0,2.49,1302830761.0,2.55,239828.9
planner_debate,decode_layer34,1305,56115,312880363.0,2.49,1304571516.0,2.55,239755.1
planner_debate,decode_layer06,1305,56115,312879140.0,2.49,1307226945.0,2.56,239754.1
planner_debate,decode_layer09,1305,56115,312792950.0,2.49,1306709669.0,2.56,239688.1
planner_debate,decode_layer31,1305,56115,312768201.0,2.49,1305746241.0,2.56,239669.1
planner_debate,decode_layer30,1305,56115,312753765.0,2.49,1302159745.0,2.55,239658.1
planner_debate,decode_layer26,1305,56115,312748195.0,2.49,1304527200.0,2.55,239653.8
planner_debate,decode_layer07,1305,56115,312732626.0,2.49,1307560900.0,2.56,239641.9
planner_debate,decode_layer13,1305,56115,312725622.0,2.49,1302832958.0,2.55,239636.5
planner_debate,decode_layer15,1305,56115,312647253.0,2.49,1304147521.0,2.55,239576.4
planner_debate,decode_layer17,1305,56115,312603646.0,2.49,1300271881.0,2.55,239543.0
planner_debate,decode_layer19,1305,56115,312584306.0,2.49,1303444243.0,2.55,239528.2
planner_debate,decode_layer14,1305,56115,312566540.0,2.49,1304667663.0,2.55,239514.6
planner_debate,decode_layer25,1305,56115,312528409.0,2.49,1303802990.0,2.55,239485.4
planner_debate,decode_layer21,1305,56115,312516614.0,2.49,1302426852.0,2.55,239476.3
planner_debate,decode_layer11,1305,56115,312466318.0,2.49,1302378021.0,2.55,239437.8
planner_debate,decode_layer32,1305,56115,312454657.0,2.49,1304274922.0,2.55,239428.9
planner_debate,decode_layer12,1305,56115,312421303.0,2.49,1301656838.0,2.55,239403.3
planner_debate,decode_layer08,1305,56115,312391547.0,2.49,1309150734.0,2.56,239380.5
planner_debate,decode_layer05,1305,56115,312373531.0,2.49,1308659001.0,2.56,239366.7
planner_debate,decode_layer24,1305,56115,312338047.0,2.49,1302846938.0,2.55,239339.5
planner_debate,decode_layer28,1305,56115,312104155.0,2.49,1304825702.0,2.55,239160.3
planner_debate,decode_layer20,1305,56115,312044404.0,2.49,1301640662.0,2.55,239114.5
planner_debate,decode_layer33,1305,56115,312010999.0,2.49,1304717017.0,2.55,239088.9
planner_debate,decode_layer18,1305,56115,312009750.0,2.49,1302566003.0,2.55,239087.9
planner_debate,decode_layer10,1305,56115,311996728.0,2.49,1305992831.0,2.56,239078.0
planner_debate,decode_layer22,1305,56115,311920060.0,2.49,1302867724.0,2.55,239019.2
planner_debate,prefill_head,15,135,29647990.0,0.24,4174757.0,0.01,1976532.7
planner_debate,call_overhead,15,15840,22344205.0,0.18,0.0,0.0,1489613.7
planner_debate,prefill_layer17,15,675,10104769.0,0.08,16328119.0,0.03,673651.3
planner_debate,prefill_layer24,15,675,10100191.0,0.08,16597093.0,0.03,673346.1
planner_debate,prefill_layer30,15,675,10092644.0,0.08,16225488.0,0.03,672842.9
planner_debate,prefill_layer02,15,675,10077697.0,0.08,16901071.0,0.03,671846.5
planner_debate,prefill_layer12,15,675,10077084.0,0.08,16245824.0,0.03,671805.6
planner_debate,prefill_layer22,15,675,10045313.0,0.08,16519362.0,0.03,669687.5
planner_debate,prefill_layer33,15,675,10032095.0,0.08,16403416.0,0.03,668806.3
planner_debate,prefill_layer23,15,675,10014587.0,0.08,16469521.0,0.03,667639.1
planner_debate,prefill_layer08,15,675,10013535.0,0.08,16343960.0,0.03,667569.0
planner_debate,prefill_layer09,15,675,9972350.0,0.08,16260661.0,0.03,664823.3
planner_debate,prefill_layer19,15,675,9946142.0,0.08,16446450.0,0.03,663076.1
planner_debate,prefill_layer21,15,675,9940512.0,0.08,16477951.0,0.03,662700.8
planner_debate,prefill_layer01,15,675,9925945.0,0.08,17497911.0,0.03,661729.7
planner_debate,prefill_layer04,15,675,9924926.0,0.08,16420015.0,0.03,661661.7
planner_debate,prefill_layer34,15,675,9917373.0,0.08,16443407.0,0.03,661158.2
planner_debate,prefill_layer18,15,675,9915265.0,0.08,16336772.0,0.03,661017.7
planner_debate,prefill_layer16,15,675,9912349.0,0.08,16241161.0,0.03,660823.3
planner_debate,prefill_layer00,15,675,9909248.0,0.08,20225733.0,0.04,660616.5
planner_debate,prefill_layer05,15,675,9906785.0,0.08,16402603.0,0.03,660452.3
planner_debate,prefill_layer06,15,675,9899706.0,0.08,16566599.0,0.03,659980.4
planner_debate,prefill_layer32,15,675,9898526.0,0.08,16253515.0,0.03,659901.7
planner_debate,prefill_layer28,15,675,9895163.0,0.08,16396492.0,0.03,659677.5
planner_debate,prefill_layer11,15,675,9890788.0,0.08,16262135.0,0.03,659385.9
planner_debate,prefill_layer35,15,675,9883107.0,0.08,16509737.0,0.03,658873.8
planner_debate,prefill_layer20,15,675,9872212.0,0.08,16496616.0,0.03,658147.5
planner_debate,prefill_layer10,15,675,9870073.0,0.08,16258827.0,0.03,658004.9
planner_debate,prefill_layer15,15,675,9868384.0,0.08,16298080.0,0.03,657892.3
planner_debate,prefill_layer29,15,675,9867939.0,0.08,16321879.0,0.03,657862.6
planner_debate,prefill_layer31,15,675,9864597.0,0.08,16184905.0,0.03,657639.8
planner_debate,prefill_layer26,15,675,9858303.0,0.08,16336107.0,0.03,657220.2
planner_debate,prefill_layer27,15,675,9857437.0,0.08,16372871.0,0.03,657162.5
planner_debate,prefill_layer03,15,675,9855678.0,0.08,16746383.0,0.03,657045.2
planner_debate,prefill_layer14,15,675,9855677.0,0.08,16250356.0,0.03,657045.1
planner_debate,prefill_layer25,15,675,9855549.0,0.08,16421362.0,0.03,657036.6
planner_debate,prefill_layer13,15,675,9852824.0,0.08,16207438.0,0.03,656854.9
planner_debate,prefill_layer07,15,675,9852192.0,0.08,16421881.0,0.03,656812.8
planner_debate,decode_sample,1305,1305,9274666.0,0.07,803694334.0,1.57,7107.0
planner_debate,decode_embed,1305,1305,2379758.0,0.02,72944719.0,0.14,1823.6
planner_debate,prefill_sample,15,15,122083.0,0.0,29959665.0,0.06,8138.9
planner_debate,prefill_embed,15,15,34912.0,0.0,1504933.0,0.0,2327.5
