workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
react_moa_mcts,decode_head,2550,22950,1696849671.0,6.9,676423767.0,0.67,665431.2
react_moa_mcts,decode_layer03,2550,109650,612284562.0,2.49,2607053700.0,2.57,240111.6
react_moa_mcts,decode_layer26,2550,109650,612239649.0,2.49,2590167223.0,2.55,240094.0
react_moa_mcts,decode_layer31,2550,109650,612080086.0,2.49,2583057174.0,2.54,240031.4
react_moa_mcts,decode_layer34,2550,109650,612018597.0,2.49,2584786563.0,2.55,240007.3
react_moa_mcts,decode_layer24,2550,109650,611894531.0,2.49,2587864084.0,2.55,239958.6
react_moa_mcts,decode_layer00,2550,109650,611876156.0,2.49,2744673071.0,2.7,239951.4
react_moa_mcts,decode_layer21,2550,109650,611775064.0,2.49,2587403599.0,2.55,239911.8
react_moa_mcts,decode_layer19,2550,109650,611739042.0,2.49,2588303933.0,2.55,239897.7
react_moa_mcts,decode_layer07,2550,109650,611717947.0,2.49,2597278307.0,2.56,239889.4
react_moa_mcts,decode_layer27,2550,109650,611440389.0,2.49,2585969809.0,2.55,239780.5
react_moa_mcts,decode_layer15,2550,109650,611421192.0,2.49,2778715885.0,2.74,239773.0
react_moa_mcts,decode_layer14,2550,109650,611342648.0,2.49,2584996548.0,2.55,239742.2
react_moa_mcts,decode_layer13,2550,109650,611341158.0,2.49,2582446594.0,2.54,239741.6
react_moa_mcts,decode_layer10,2550,109650,611017608.0,2.48,2592281174.0,2.55,239614.7
react_moa_mcts,decode_layer04,2550,109650,610945953.0,2.48,2605833563.0,2.57,239586.6
react_moa_mcts,decode_layer23,2550,109650,610930071.0,2.48,2582063840.0,2.54,239580.4
react_moa_mcts,decode_layer01,2550,109650,610909946.0,2.48,2649234587.0,2.61,239572.5
react_moa_mcts,decode_layer28,2550,109650,610905709.0,2.48,2587136498.0,2.55,239570.9
react_moa_mcts,decode_layer16,2550,109650,610905449.0,2.48,2587124278.0,2.55,239570.8
react_moa_mcts,decode_layer12,2550,109650,610856715.0,2.48,2583357764.0,2.55,239551.7
react_moa_mcts,decode_layer20,2550,109650,610815875.0,2.48,2589460880.0,2.55,239535.6
react_moa_mcts,decode_layer09,2550,109650,610789225.0,2.48,2590054971.0,2.55,239525.2
