workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
react_tool,decode_head,330,2970,219330315.0,6.94,85423461.0,0.66,664637.3
react_tool,decode_layer32,330,14190,79384679.0,2.51,328707908.0,2.53,240559.6
react_tool,decode_layer28,330,14190,79296093.0,2.51,329621089.0,2.54,240291.2
react_tool,decode_layer01,330,14190,79232444.0,2.51,336075432.0,2.59,240098.3
react_tool,decode_layer06,330,14190,79231473.0,2.51,330181005.0,2.54,240095.4
react_tool,decode_layer25,330,14190,79218476.0,2.51,329611060.0,2.54,240056.0
react_tool,decode_layer02,330,14190,79181159.0,2.51,333421769.0,2.56,239942.9
react_tool,decode_layer09,330,14190,79115351.0,2.5,329969815.0,2.54,239743.5
react_tool,decode_layer19,330,14190,79110206.0,2.5,330837194.0,2.54,239727.9
react_tool,decode_layer15,330,14190,79085737.0,2.5,332188704.0,2.56,239653.7
react_tool,decode_layer30,330,14190,79073530.0,2.5,331274946.0,2.55,239616.8
react_tool,decode_layer34,330,14190,79055248.0,2.5,331336809.0,2.55,239561.4
react_tool,decode_layer04,330,14190,79048907.0,2.5,330158950.0,2.54,239542.1
react_tool,decode_layer17,330,14190,79036135.0,2.5,330937977.0,2.55,239503.4
react_tool,decode_layer33,330,14190,79015957.0,2.5,328752337.0,2.53,239442.3
react_tool,decode_layer26,330,14190,79011673.0,2.5,329737943.0,2.54,239429.3
react_tool,decode_layer27,330,14190,78983299.0,2.5,329787014.0,2.54,239343.3
react_tool,decode_layer00,330,14190,78968104.0,2.5,348939184.0,2.68,239297.3
react_tool,decode_layer07,330,14190,78928644.0,2.5,331426776.0,2.55,239177.7
react_tool,decode_layer22,330,14190,78924558.0,2.5,330031680.0,2.54,239165.3
react_tool,decode_layer23,330,14190,78916166.0,2.5,329665456.0,2.54,239139.9
react_tool,decode_layer08,330,14190,78906540.0,2.5,331359920.0,2.55,239110.7
react_tool,decode_layer10,330,14190,78856908.0,2.5,330666350.0,2.54,238960.3
react_tool,decode_layer12,330,14190,78853814.0,2.5,329605585.0,2.54,238951.0
react_tool,decode_layer20,330,14190,78845750.0,2.5,330702760.0,2.54,238926.5
react_tool,decode_layer16,330,14190,78823323.0,2.49,332621604.0,2.56,238858.6
react_tool,decode_layer03,330,14190,78806675.0,2.49,331113277.0,2.55,238808.1
react_tool,decode_layer11,330,14190,78805113.0,2.49,329467487.0,2.53,238803.4
react_tool,decode_layer29,330,14190,78792707.0,2.49,330237039.0,2.54,238765.8
react_tool,decode_layer14,330,14190,78762814.0,2.49,330107931.0,2.54,238675.2
react_tool,decode_layer05,330,14190,78727227.0,2.49,329920522.0,2.54,238567.4
react_tool,decode_layer13,330,14190,78575886.0,2.49,329937131.0,2.54,238108.7
react_tool,decode_layer21,330,14190,78564437.0,2.49,331784289.0,2.55,238074.1
react_tool,decode_layer31,330,14190,78521608.0,2.48,330779017.0,2.54,237944.3
react_tool,decode_layer18,330,14190,78515233.0,2.48,331790927.0,2.55,237924.9
react_tool,decode_layer35,330,14190,78465489.0,2.48,331036820.0,2.55,237774.2
react_tool,decode_layer24,330,14190,78395948.0,2.48,330936222.0,2.55,237563.5
react_tool,call_overhead,6,4032,5655170.0,0.18,0.0,0.0,942528.3
react_tool,prefill_head,6,54,5635147.0,0.18,1655017.0,0.01,939191.2
react_tool,prefill_layer15,6,270,2597010.0,0.08,6589566.0,0.05,432835.0
react_tool,prefill_layer00,6,270,2476244.0,0.08,8437528.0,0.06,412707.3
react_tool,prefill_layer25,6,270,2456912.0,0.08,6442238.0,0.05,409485.3
react_tool,prefill_layer10,6,270,2452087.0,0.08,6406664.0,0.05,408681.2
react_tool,prefill_layer07,6,270,2404400.0,0.08,6358826.0,0.05,400733.3
react_tool,prefill_layer30,6,270,2403251.0,0.08,6599161.0,0.05,400541.8
react_tool,prefill_layer06,6,270,2392053.0,0.08,6385930.0,0.05,398675.5
react_tool,prefill_layer29,6,270,2390096.0,0.08,6589506.0,0.05,398349.3
react_tool,prefill_layer22,6,270,2389265.0,0.08,6379915.0,0.05,398210.8
react_tool,prefill_layer18,6,270,2374227.0,0.08,6542250.0,0.05,395704.5
react_tool,prefill_layer27,6,270,2367568.0,0.07,6449966.0,0.05,394594.7
react_tool,prefill_layer01,6,270,2358542.0,0.07,7800541.0,0.06,393090.3
react_tool,prefill_layer35,6,270,2354770.0,0.07,6515569.0,0.05,392461.7
react_tool,prefill_layer08,6,270,2349142.0,0.07,6282310.0,0.05,391523.7
react_tool,prefill_layer11,6,270,2349039.0,0.07,6510367.0,0.05,391506.5
react_tool,prefill_layer19,6,270,2348144.0,0.07,6514045.0,0.05,391357.3
react_tool,prefill_layer21,6,270,2347414.0,0.07,6410369.0,0.05,391235.7
react_tool,prefill_layer02,6,270,2347406.0,0.07,7147213.0,0.05,391234.3
react_tool,prefill_layer17,6,270,2347061.0,0.07,6533270.0,0.05,391176.8
react_tool,prefill_layer34,6,270,2346385.0,0.07,6524943.0,0.05,391064.2
react_tool,prefill_layer03,6,270,2345356.0,0.07,6729317.0,0.05,390892.7
react_tool,prefill_layer14,6,270,2343509.0,0.07,6620747.0,0.05,390584.8
react_tool,prefill_layer26,6,270,2343252.0,0.07,6495640.0,0.05,390542.0
react_tool,prefill_layer09,6,270,2342991.0,0.07,6264684.0,0.05,390498.5
react_tool,prefill_layer24,6,270,2341234.0,0.07,6449284.0,0.05,390205.7
react_tool,prefill_layer12,6,270,2341197.0,0.07,6550744.0,0.05,390199.5
react_tool,prefill_layer28,6,270,2340691.0,0.07,6535321.0,0.05,390115.2
react_tool,prefill_layer20,6,270,2339537.0,0.07,6529427.0,0.05,389922.8
react_tool,prefill_layer33,6,270,2339025.0,0.07,6552018.0,0.05,389837.5
react_tool,prefill_layer13,6,270,2336370.0,0.07,6609217.0,0.05,389395.0
react_tool,prefill_layer32,6,270,2335891.0,0.07,6562083.0,0.05,389315.2
react_tool,prefill_layer04,6,270,2333973.0,0.07,6693400.0,0.05,388995.5
react_tool,prefill_layer23,6,270,2333619.0,0.07,6376453.0,0.05,388936.5
react_tool,prefill_layer05,6,270,2332017.0,0.07,6644983.0,0.05,388669.5
react_tool,prefill_layer16,6,270,2331438.0,0.07,6607380.0,0.05,388573.0
react_tool,prefill_layer31,6,270,2329940.0,0.07,6594002.0,0.05,388323.3
react_tool,decode_sample,330,330,2327219.0,0.07,204368993.0,1.57,7052.2
react_tool,decode_embed,330,330,603041.0,0.02,17418145.0,0.13,1827.4
react_tool,prefill_sample,6,6,49313.0,0.0,5317544.0,0.04,8218.8
react_tool,prefill_embed,6,6,10496.0,0.0,544466.0,0.0,1749.3
