workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate,planner-seed,adapter_dispatch,,,,3,7123,7083,14792,0,0,,,0
planner_debate,planner-seed,token_preprocess_cpu,,,,3,1108384,1064740,1718738,0,0,,,0
planner_debate,planner-seed,host_input_generate,,,,3,130612,129994,131109,0,5282,cudaEventQuery,,0
planner_debate,planner-seed,h2d_stage,,,,3,106245,104852,108020,448,37460,cudaEventRecordWithFlags,memcpy,0
planner_debate,planner-seed,weight_init,,,,3,202755,197528,231980,0,2747,cudaEventDestroy,,0
planner_debate,planner-seed,mir_operator:prefill_embed,0,prefill_embed,,3,98161,96356,128335,1920,20273,cudaLaunchKernel,other,1
planner_debate,planner-seed,inter_operator_dispatch,,,,8421,21281,17875,1826889,0,0,cudaLaunchKernel,concat|copy|elementwise_binary|elementwise_other|gemv,0.31
planner_debate,planner-seed,mir_operator:prefill_layer00,1,prefill_layer00,,3,1350411,1349315,1407682,502627,318179,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer01,2,prefill_layer01,,3,1208466,1191368,1221999,504036,273262,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer02,3,prefill_layer02,,3,1164841,1164022,1189504,504934,270995,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer03,4,prefill_layer03,,3,1153739,1149860,1173170,504359,262240,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer04,5,prefill_layer04,,3,1162448,1119645,1172936,505189,262696,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer05,6,prefill_layer05,ve,3,1156625,1134002,1194547,503556,268852,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer06,7,prefill_layer06,ve,3,1159522,1138953,1178997,504806,261823,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer07,8,prefill_layer07,ve,3,1159445,1115590,1174933,504774,265439,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer08,9,prefill_layer08,,3,1150505,1050755,1154968,504646,262093,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer09,10,prefill_layer09,me,3,1152160,1060651,1169781,504163,262956,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer10,11,prefill_layer10,me,3,1148347,1053549,1180601,503140,259273,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer11,12,prefill_layer11,me,3,1143462,1054522,1187308,505511,263092,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer12,13,prefill_layer12,de,3,1144765,1078664,1152394,504997,262401,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer13,14,prefill_layer13,de,3,1148288,1103393,1149058,503907,260896,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer14,15,prefill_layer14,,3,1146735,1055683,1183075,503621,260474,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer15,16,prefill_layer15,,3,1151542,1091121,1183461,505733,264597,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer16,17,prefill_layer16,,3,1160046,1078323,1187774,505350,261706,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer17,18,prefill_layer17,,3,1135695,1118368,1162138,504549,255448,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer18,19,prefill_layer18,,3,1147697,1107468,1159069,505124,258761,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer19,20,prefill_layer19,,3,1141946,1120193,1148361,503556,263239,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer20,21,prefill_layer20,,3,1143578,1114594,1156613,504901,265513,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer21,22,prefill_layer21,,3,1143261,1090876,1160544,504519,258479,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer22,23,prefill_layer22,,3,1161329,1045012,1171300,505573,265607,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer23,24,prefill_layer23,,3,1153706,1073040,1154235,504868,256891,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer24,25,prefill_layer24,,3,1149999,1095014,1160202,505893,261891,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer25,26,prefill_layer25,,3,1140094,1085646,1148803,504742,259200,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer26,27,prefill_layer26,,3,1157540,1053504,1159566,504965,259658,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer27,28,prefill_layer27,,3,1140267,1050604,1140578,503428,256924,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer28,29,prefill_layer28,,3,1120458,1115889,1145036,505027,252861,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer29,30,prefill_layer29,,3,1113875,1064542,1141152,505028,257106,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer30,31,prefill_layer30,,3,1111346,1110277,1150305,504484,254365,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer31,32,prefill_layer31,,3,1129443,1108049,1144854,503558,258117,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
planner_debate,planner-seed,mir_operator:prefill_layer32,33,prefill_layer32,,3,1123606,1111657,1151220,503973,256016,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
