workload,process,family,instances,gpu_ns_total,gpu_share_pct
planner_debate,mir_operator:decode_head,gemv,1305,852399755,6.79
planner_debate,mir_operator:decode_layer02,gemv,9135,234581928,1.87
planner_debate,mir_operator:decode_layer35,gemv,9135,234543497,1.87
planner_debate,mir_operator:decode_layer16,gemv,9135,234503302,1.87
planner_debate,mir_operator:decode_layer29,gemv,9135,234478692,1.87
planner_debate,mir_operator:decode_layer30,gemv,9135,234465778,1.87
planner_debate,mir_operator:decode_layer00,gemv,9135,234441343,1.87
planner_debate,mir_operator:decode_layer03,gemv,9135,234402601,1.87
planner_debate,mir_operator:decode_layer23,gemv,9135,234367844,1.87
planner_debate,mir_operator:decode_layer27,gemv,9135,234325486,1.87
planner_debate,mir_operator:decode_layer04,gemv,9135,234265313,1.87
planner_debate,mir_operator:decode_layer01,gemv,9135,234231108,1.87
planner_debate,mir_operator:decode_layer13,gemv,9135,234227051,1.87
planner_debate,mir_operator:decode_layer07,gemv,9135,234217845,1.87
planner_debate,mir_operator:decode_layer06,gemv,9135,234160413,1.87
planner_debate,mir_operator:decode_layer34,gemv,9135,234152875,1.87
planner_debate,mir_operator:decode_layer15,gemv,9135,234121797,1.87
planner_debate,mir_operator:decode_layer26,gemv,9135,234108589,1.87
planner_debate,mir_operator:decode_layer09,gemv,9135,234069458,1.87
planner_debate,mir_operator:decode_layer12,gemv,9135,234046006,1.87
planner_debate,mir_operator:decode_layer08,gemv,9135,234045167,1.87
planner_debate,mir_operator:decode_layer19,gemv,9135,233991343,1.87
planner_debate,mir_operator:decode_layer21,gemv,9135,233984854,1.87
planner_debate,mir_operator:decode_layer05,gemv,9135,233945922,1.86
planner_debate,mir_operator:decode_layer17,gemv,9135,233885920,1.86
planner_debate,mir_operator:decode_layer25,gemv,9135,233817093,1.86
planner_debate,mir_operator:decode_layer14,gemv,9135,233809869,1.86
planner_debate,mir_operator:decode_layer31,gemv,9135,233804394,1.86
planner_debate,mir_operator:decode_layer32,gemv,9135,233784027,1.86
planner_debate,mir_operator:decode_layer24,gemv,9135,233714467,1.86
planner_debate,mir_operator:decode_layer10,gemv,9135,233650041,1.86
planner_debate,mir_operator:decode_layer28,gemv,9135,233629834,1.86
planner_debate,mir_operator:decode_layer20,gemv,9135,233593571,1.86
planner_debate,mir_operator:decode_layer33,gemv,9135,233583367,1.86
planner_debate,mir_operator:decode_layer11,gemv,9135,233484566,1.86
planner_debate,mir_operator:decode_layer22,gemv,9135,233431884,1.86
planner_debate,mir_operator:decode_layer18,gemv,9135,233303683,1.86
planner_debate,mir_operator:prefill_head,gemm,15,29292692,0.23
planner_debate,mir_operator:decode_layer00,elementwise_binary,14355,20194726,0.16
planner_debate,mir_operator:decode_layer04,elementwise_binary,14355,20148988,0.16
planner_debate,mir_operator:decode_layer14,elementwise_binary,14355,20145024,0.16
planner_debate,mir_operator:decode_layer16,elementwise_binary,14355,20144949,0.16
planner_debate,mir_operator:decode_layer29,elementwise_binary,14355,20126308,0.16
planner_debate,mir_operator:decode_layer11,elementwise_binary,14355,20120643,0.16
planner_debate,mir_operator:decode_layer19,elementwise_binary,14355,20119591,0.16
planner_debate,mir_operator:decode_layer31,elementwise_binary,14355,20115426,0.16
planner_debate,mir_operator:decode_layer01,elementwise_binary,14355,20114226,0.16
planner_debate,mir_operator:decode_layer06,elementwise_binary,14355,20101169,0.16
planner_debate,mir_operator:decode_layer23,elementwise_binary,14355,20099535,0.16
planner_debate,mir_operator:decode_layer15,elementwise_binary,14355,20084055,0.16
planner_debate,mir_operator:decode_layer27,elementwise_binary,14355,20083071,0.16
planner_debate,mir_operator:decode_layer18,elementwise_binary,14355,20082504,0.16
planner_debate,mir_operator:decode_layer26,elementwise_binary,14355,20082406,0.16
planner_debate,mir_operator:decode_layer22,elementwise_binary,14355,20081774,0.16
planner_debate,mir_operator:decode_layer02,elementwise_binary,14355,20059618,0.16
planner_debate,mir_operator:decode_layer24,elementwise_binary,14355,20056361,0.16
planner_debate,mir_operator:decode_layer34,elementwise_binary,14355,20051877,0.16
planner_debate,mir_operator:decode_layer03,elementwise_binary,14355,20051201,0.16
planner_debate,mir_operator:decode_layer35,elementwise_binary,14355,20048821,0.16
planner_debate,mir_operator:decode_layer25,elementwise_binary,14355,20043752,0.16
planner_debate,mir_operator:decode_layer09,elementwise_binary,14355,20031530,0.16
planner_debate,mir_operator:decode_layer17,elementwise_binary,14355,20029106,0.16
planner_debate,mir_operator:decode_layer33,elementwise_binary,14355,20024580,0.16
planner_debate,mir_operator:decode_layer07,elementwise_binary,14355,20012120,0.16
planner_debate,mir_operator:decode_layer20,elementwise_binary,14355,20009956,0.16
planner_debate,mir_operator:decode_layer13,elementwise_binary,14355,19998502,0.16
planner_debate,mir_operator:decode_layer08,elementwise_binary,14355,19995987,0.16
planner_debate,mir_operator:decode_layer32,elementwise_binary,14355,19986905,0.16
planner_debate,mir_operator:decode_layer12,elementwise_binary,14355,19980549,0.16
planner_debate,mir_operator:decode_layer05,elementwise_binary,14355,19976573,0.16
planner_debate,mir_operator:decode_layer28,elementwise_binary,14355,19951387,0.16
planner_debate,mir_operator:decode_layer21,elementwise_binary,14355,19946594,0.16
planner_debate,mir_operator:decode_layer10,elementwise_binary,14355,19905614,0.16
planner_debate,mir_operator:decode_layer30,elementwise_binary,14355,19887166,0.16
planner_debate,mir_operator:decode_layer00,concat,7830,13588451,0.11
planner_debate,mir_operator:decode_layer11,concat,7830,13571483,0.11
planner_debate,mir_operator:decode_layer32,concat,7830,13566381,0.11
planner_debate,mir_operator:decode_layer31,concat,7830,13547959,0.11
planner_debate,mir_operator:decode_layer01,concat,7830,13541948,0.11
planner_debate,mir_operator:decode_layer04,concat,7830,13537537,0.11
planner_debate,mir_operator:decode_layer02,concat,7830,13536914,0.11
planner_debate,mir_operator:decode_layer21,concat,7830,13535097,0.11
planner_debate,mir_operator:decode_layer18,concat,7830,13509757,0.11
planner_debate,mir_operator:decode_layer29,concat,7830,13509136,0.11
planner_debate,mir_operator:decode_layer23,concat,7830,13469476,0.11
planner_debate,mir_operator:decode_layer10,concat,7830,13462212,0.11
planner_debate,mir_operator:decode_layer27,concat,7830,13454160,0.11
planner_debate,mir_operator:decode_layer35,concat,7830,13453821,0.11
planner_debate,mir_operator:decode_layer19,concat,7830,13448114,0.11
planner_debate,mir_operator:decode_layer28,concat,7830,13437411,0.11
planner_debate,mir_operator:decode_layer17,concat,7830,13436071,0.11
planner_debate,mir_operator:decode_layer25,concat,7830,13433468,0.11
planner_debate,mir_operator:decode_layer34,concat,7830,13429501,0.11
planner_debate,mir_operator:decode_layer09,concat,7830,13427459,0.11
planner_debate,mir_operator:decode_layer06,concat,7830,13426205,0.11
planner_debate,mir_operator:decode_layer16,concat,7830,13425000,0.11
planner_debate,mir_operator:decode_layer26,concat,7830,13414787,0.11
planner_debate,mir_operator:decode_layer12,concat,7830,13407213,0.11
planner_debate,mir_operator:decode_layer08,concat,7830,13402105,0.11
planner_debate,mir_operator:decode_layer13,concat,7830,13397403,0.11
planner_debate,mir_operator:decode_layer20,concat,7830,13390769,0.11
planner_debate,mir_operator:decode_layer14,concat,7830,13389546,0.11
planner_debate,mir_operator:decode_layer05,concat,7830,13387104,0.11
planner_debate,mir_operator:decode_layer24,concat,7830,13386724,0.11
planner_debate,mir_operator:decode_layer07,concat,7830,13376542,0.11
planner_debate,mir_operator:decode_layer03,concat,7830,13367598,0.11
planner_debate,mir_operator:decode_layer33,concat,7830,13352371,0.11
planner_debate,mir_operator:decode_layer15,concat,7830,13349873,0.11
planner_debate,mir_operator:decode_layer30,concat,7830,13334741,0.11
planner_debate,mir_operator:decode_layer22,concat,7830,13321023,0.11
planner_debate,mir_operator:decode_layer31,attention,2610,13113140,0.1
planner_debate,mir_operator:decode_layer02,attention,2610,13104630,0.1
planner_debate,mir_operator:decode_layer01,attention,2610,13103997,0.1
planner_debate,mir_operator:decode_layer06,attention,2610,13089142,0.1
planner_debate,mir_operator:decode_layer27,attention,2610,13066228,0.1
planner_debate,mir_operator:decode_layer34,attention,2610,13056257,0.1
planner_debate,mir_operator:decode_layer30,attention,2610,13039018,0.1
planner_debate,mir_operator:decode_layer03,attention,2610,13030379,0.1
planner_debate,mir_operator:decode_layer32,attention,2610,13029159,0.1
planner_debate,mir_operator:decode_layer00,attention,2610,13026841,0.1
planner_debate,mir_operator:decode_layer17,attention,2610,13017929,0.1
planner_debate,mir_operator:decode_layer25,attention,2610,13007720,0.1
planner_debate,mir_operator:decode_layer20,attention,2610,12999510,0.1
planner_debate,mir_operator:decode_layer11,attention,2610,12996752,0.1
planner_debate,mir_operator:decode_layer26,attention,2610,12995710,0.1
planner_debate,mir_operator:decode_layer13,attention,2610,12992905,0.1
planner_debate,mir_operator:decode_layer28,attention,2610,12989123,0.1
planner_debate,mir_operator:decode_layer07,attention,2610,12983360,0.1
planner_debate,mir_operator:decode_layer35,attention,2610,12982196,0.1
planner_debate,mir_operator:decode_layer09,attention,2610,12979092,0.1
planner_debate,mir_operator:decode_layer33,attention,2610,12978175,0.1
planner_debate,mir_operator:decode_layer05,attention,2610,12976054,0.1
planner_debate,mir_operator:decode_layer23,attention,2610,12957972,0.1
planner_debate,mir_operator:decode_layer08,attention,2610,12949500,0.1
planner_debate,mir_operator:decode_layer29,attention,2610,12946041,0.1
planner_debate,mir_operator:decode_layer24,attention,2610,12943728,0.1
planner_debate,mir_operator:decode_layer21,attention,2610,12943213,0.1
planner_debate,mir_operator:decode_layer14,attention,2610,12939058,0.1
planner_debate,mir_operator:decode_layer18,attention,2610,12929252,0.1
planner_debate,mir_operator:decode_layer22,attention,2610,12919563,0.1
planner_debate,mir_operator:decode_layer15,attention,2610,12917438,0.1
planner_debate,mir_operator:decode_layer19,attention,2610,12879504,0.1
planner_debate,mir_operator:decode_layer10,attention,2610,12871302,0.1
planner_debate,mir_operator:decode_layer12,attention,2610,12861645,0.1
planner_debate,mir_operator:decode_layer04,attention,2610,12861462,0.1
planner_debate,mir_operator:decode_layer16,attention,2610,12828820,0.1
planner_debate,mir_operator:decode_layer00,elementwise_other,9135,12013459,0.1
planner_debate,mir_operator:decode_layer11,elementwise_other,9135,11989754,0.1
planner_debate,mir_operator:decode_layer29,elementwise_other,9135,11975147,0.1
planner_debate,mir_operator:decode_layer01,elementwise_other,9135,11968978,0.1
planner_debate,mir_operator:decode_layer27,elementwise_other,9135,11960662,0.1
planner_debate,mir_operator:decode_layer21,elementwise_other,9135,11952810,0.1
planner_debate,mir_operator:decode_layer04,elementwise_other,9135,11951966,0.1
planner_debate,mir_operator:decode_layer31,elementwise_other,9135,11951899,0.1
planner_debate,mir_operator:decode_layer18,elementwise_other,9135,11950053,0.1
planner_debate,mir_operator:decode_layer14,elementwise_other,9135,11945825,0.1
planner_debate,mir_operator:decode_layer07,elementwise_other,9135,11937691,0.1
planner_debate,mir_operator:decode_layer35,elementwise_other,9135,11933907,0.1
planner_debate,mir_operator:decode_layer10,elementwise_other,9135,11930592,0.1
planner_debate,mir_operator:decode_layer17,elementwise_other,9135,11917882,0.09
planner_debate,mir_operator:decode_layer32,elementwise_other,9135,11913456,0.09
planner_debate,mir_operator:decode_layer26,elementwise_other,9135,11908501,0.09
planner_debate,mir_operator:decode_layer13,elementwise_other,9135,11902604,0.09
planner_debate,mir_operator:decode_layer03,elementwise_other,9135,11901515,0.09
planner_debate,mir_operator:decode_layer12,elementwise_other,9135,11899669,0.09
planner_debate,mir_operator:decode_layer24,elementwise_other,9135,11899213,0.09
planner_debate,mir_operator:decode_layer15,elementwise_other,9135,11898090,0.09
planner_debate,mir_operator:decode_layer19,elementwise_other,9135,11888950,0.09
planner_debate,mir_operator:decode_layer16,elementwise_other,9135,11880628,0.09
planner_debate,mir_operator:decode_layer25,elementwise_other,9135,11875055,0.09
planner_debate,mir_operator:decode_layer06,elementwise_other,9135,11865289,0.09
planner_debate,mir_operator:decode_layer08,elementwise_other,9135,11864732,0.09
planner_debate,mir_operator:decode_layer34,elementwise_other,9135,11864207,0.09
planner_debate,mir_operator:decode_layer23,elementwise_other,9135,11860311,0.09
planner_debate,mir_operator:decode_layer02,elementwise_other,9135,11858437,0.09
planner_debate,mir_operator:decode_layer20,elementwise_other,9135,11852913,0.09
planner_debate,mir_operator:decode_layer05,elementwise_other,9135,11849424,0.09
planner_debate,mir_operator:decode_layer09,elementwise_other,9135,11847380,0.09
