workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
planner_debate,inter_operator_dispatch,51465,2090788562,4.09,40625.4,22311468,0.18,147737139,7.1,15840,1.1
planner_debate,mir_operator:decode_layer00,1305,1384791619,2.71,1061143.0,313934814,2.5,299881562,21.7,56115,22.7
planner_debate,mir_operator:decode_layer01,1305,1338061872,2.62,1025334.8,313338355,2.5,294637960,22.0,56115,23.4
planner_debate,mir_operator:decode_layer02,1305,1321334876,2.59,1012517.1,313420323,2.5,294094694,22.3,56115,23.7
planner_debate,mir_operator:decode_layer03,1305,1312763181,2.57,1005948.8,313013053,2.49,291719666,22.2,56115,23.8
planner_debate,mir_operator:decode_layer08,1305,1309150734,2.56,1003180.6,312391547,2.49,291408926,22.3,56115,23.9
planner_debate,mir_operator:decode_layer04,1305,1308888140,2.56,1002979.4,313121866,2.5,290511067,22.2,56115,23.9
planner_debate,mir_operator:decode_layer05,1305,1308659001,2.56,1002803.8,312373531,2.49,291061160,22.2,56115,23.9
planner_debate,mir_operator:decode_layer07,1305,1307560900,2.56,1001962.4,312732626,2.49,292034918,22.3,56115,23.9
planner_debate,mir_operator:decode_layer27,1305,1307459725,2.56,1001884.8,313213572,2.5,290872754,22.2,56115,24.0
planner_debate,mir_operator:decode_layer06,1305,1307226945,2.56,1001706.5,312879140,2.49,290172902,22.2,56115,23.9
planner_debate,mir_operator:decode_layer09,1305,1306709669,2.56,1001310.1,312792950,2.49,291779765,22.3,56115,23.9
planner_debate,mir_operator:decode_layer10,1305,1305992831,2.56,1000760.8,311996728,2.49,290796713,22.3,56115,23.9
planner_debate,mir_operator:decode_layer31,1305,1305746241,2.56,1000571.8,312768201,2.49,292369075,22.4,56115,24.0
planner_debate,mir_operator:decode_layer28,1305,1304825702,2.55,999866.4,312104155,2.49,290762515,22.3,56115,23.9
planner_debate,mir_operator:decode_layer33,1305,1304717017,2.55,999783.2,312010999,2.49,290973695,22.3,56115,23.9
planner_debate,mir_operator:decode_layer14,1305,1304667663,2.55,999745.3,312566540,2.49,291887392,22.4,56115,24.0
planner_debate,mir_operator:decode_layer34,1305,1304571516,2.55,999671.7,312880363,2.49,291642216,22.4,56115,24.0
planner_debate,mir_operator:decode_layer26,1305,1304527200,2.55,999637.7,312748195,2.49,291842782,22.4,56115,24.0
planner_debate,mir_operator:decode_layer32,1305,1304274922,2.55,999444.4,312454657,2.49,291019520,22.3,56115,24.0
planner_debate,mir_operator:decode_layer15,1305,1304147521,2.55,999346.8,312647253,2.49,290625947,22.3,56115,24.0
planner_debate,mir_operator:decode_layer25,1305,1303802990,2.55,999082.8,312528409,2.49,290474968,22.3,56115,24.0
planner_debate,mir_operator:decode_layer19,1305,1303444243,2.55,998807.8,312584306,2.49,290672038,22.3,56115,24.0
planner_debate,mir_operator:decode_layer35,1305,1303060161,2.55,998513.5,313395715,2.5,289639360,22.2,56115,24.1
planner_debate,mir_operator:decode_layer22,1305,1302867724,2.55,998366.1,311920060,2.49,289836108,22.2,56115,23.9
planner_debate,mir_operator:decode_layer29,1305,1302862011,2.55,998361.7,313370163,2.5,289490243,22.2,56115,24.1
planner_debate,mir_operator:decode_layer24,1305,1302846938,2.55,998350.1,312338047,2.49,289691005,22.2,56115,24.0
planner_debate,mir_operator:decode_layer13,1305,1302832958,2.55,998339.4,312725622,2.49,290695332,22.3,56115,24.0
planner_debate,mir_operator:decode_layer23,1305,1302830761,2.55,998337.7,312976756,2.49,289967554,22.3,56115,24.0
planner_debate,mir_operator:decode_layer18,1305,1302566003,2.55,998134.9,312009750,2.49,290138433,22.3,56115,24.0
