workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_moa_mcts,react-plan,adapter_dispatch,,,,3,6926,4539,8894,0,0,,,0
react_moa_mcts,react-plan,token_preprocess_cpu,,,,3,860054,855268,2586906,0,0,,,0
react_moa_mcts,react-plan,host_input_generate,,,,3,115022,112430,129059,0,4858,cudaEventQuery,,0
react_moa_mcts,react-plan,h2d_stage,,,,3,105954,105924,122896,416,38259,cudaEventRecordWithFlags,memcpy,0
react_moa_mcts,react-plan,weight_init,,,,3,172319,152636,201907,0,3359,cudaEventQuery,,0
react_moa_mcts,react-plan,mir_operator:prefill_embed,0,prefill_embed,,3,86636,78431,90143,1760,15166,cudaLaunchKernel,other,1
react_moa_mcts,react-plan,inter_operator_dispatch,,,,9123,20807,17589,1521402,0,0,cudaLaunchKernel,concat|copy|elementwise_binary|elementwise_other|gemv,0.31
react_moa_mcts,react-plan,mir_operator:prefill_layer00,1,prefill_layer00,,3,1307114,1191891,1315047,434792,289832,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
react_moa_mcts,react-plan,mir_operator:prefill_layer01,2,prefill_layer01,,3,1145451,1072668,1197346,402884,249566,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
react_moa_mcts,react-plan,mir_operator:prefill_layer02,3,prefill_layer02,,3,1138467,1111856,1163240,406437,254542,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
react_moa_mcts,react-plan,mir_operator:prefill_layer03,4,prefill_layer03,,3,1128926,1097310,1150404,407528,252039,cudaLaunchKernel,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce,45
