workload,process,family,instances,gpu_ns_total,gpu_share_pct
react_moa_mcts,mir_operator:decode_head,gemv,2550,1667889944,6.78
react_moa_mcts,mir_operator:decode_layer26,gemv,17850,458568978,1.86
react_moa_mcts,mir_operator:decode_layer24,gemv,17850,458156524,1.86
react_moa_mcts,mir_operator:decode_layer03,gemv,17850,458137045,1.86
react_moa_mcts,mir_operator:decode_layer31,gemv,17850,458088956,1.86
react_moa_mcts,mir_operator:decode_layer21,gemv,17850,458021805,1.86
react_moa_mcts,mir_operator:decode_layer34,gemv,17850,457885846,1.86
react_moa_mcts,mir_operator:decode_layer19,gemv,17850,457860473,1.86
react_moa_mcts,mir_operator:decode_layer13,gemv,17850,457819646,1.86
react_moa_mcts,mir_operator:decode_layer14,gemv,17850,457689370,1.86
react_moa_mcts,mir_operator:decode_layer07,gemv,17850,457621120,1.86
react_moa_mcts,mir_operator:decode_layer00,gemv,17850,457602817,1.86
react_moa_mcts,mir_operator:decode_layer10,gemv,17850,457412471,1.86
react_moa_mcts,mir_operator:decode_layer15,gemv,17850,457386949,1.86
react_moa_mcts,mir_operator:decode_layer04,gemv,17850,457218796,1.86
react_moa_mcts,mir_operator:decode_layer30,gemv,17850,457193875,1.86
react_moa_mcts,mir_operator:decode_layer23,gemv,17850,457165735,1.86
react_moa_mcts,mir_operator:decode_layer28,gemv,17850,457142407,1.86
react_moa_mcts,mir_operator:decode_layer27,gemv,17850,457122226,1.86
react_moa_mcts,mir_operator:decode_layer01,gemv,17850,457050070,1.86
react_moa_mcts,mir_operator:decode_layer12,gemv,17850,457044612,1.86
react_moa_mcts,mir_operator:decode_layer29,gemv,17850,456970982,1.86
react_moa_mcts,mir_operator:decode_layer11,gemv,17850,456959589,1.86
react_moa_mcts,mir_operator:decode_layer20,gemv,17850,456953437,1.86
react_moa_mcts,mir_operator:decode_layer32,gemv,17850,456903662,1.86
react_moa_mcts,mir_operator:decode_layer33,gemv,17850,456899960,1.86
react_moa_mcts,mir_operator:decode_layer16,gemv,17850,456895849,1.86
react_moa_mcts,mir_operator:decode_layer09,gemv,17850,456878860,1.86
react_moa_mcts,mir_operator:decode_layer35,gemv,17850,456719315,1.86
react_moa_mcts,mir_operator:decode_layer06,gemv,17850,456631177,1.86
react_moa_mcts,mir_operator:decode_layer25,gemv,17850,456626627,1.86
react_moa_mcts,mir_operator:decode_layer02,gemv,17850,456620636,1.86
react_moa_mcts,mir_operator:decode_layer17,gemv,17850,456602671,1.86
react_moa_mcts,mir_operator:decode_layer18,gemv,17850,456480454,1.86
react_moa_mcts,mir_operator:decode_layer05,gemv,17850,456474476,1.86
react_moa_mcts,mir_operator:decode_layer08,gemv,17850,456440592,1.86
react_moa_mcts,mir_operator:decode_layer22,gemv,17850,456270365,1.86
react_moa_mcts,mir_operator:prefill_head,gemm,30,66661979,0.27
react_moa_mcts,mir_operator:decode_layer19,elementwise_binary,28050,39396498,0.16
react_moa_mcts,mir_operator:decode_layer27,elementwise_binary,28050,39375922,0.16
react_moa_mcts,mir_operator:decode_layer31,elementwise_binary,28050,39333606,0.16
react_moa_mcts,mir_operator:decode_layer07,elementwise_binary,28050,39317893,0.16
react_moa_mcts,mir_operator:decode_layer03,elementwise_binary,28050,39306949,0.16
react_moa_mcts,mir_operator:decode_layer16,elementwise_binary,28050,39301181,0.16
react_moa_mcts,mir_operator:decode_layer23,elementwise_binary,28050,39296590,0.16
react_moa_mcts,mir_operator:decode_layer32,elementwise_binary,28050,39292707,0.16
react_moa_mcts,mir_operator:decode_layer35,elementwise_binary,28050,39288460,0.16
react_moa_mcts,mir_operator:decode_layer28,elementwise_binary,28050,39279870,0.16
react_moa_mcts,mir_operator:decode_layer33,elementwise_binary,28050,39274311,0.16
react_moa_mcts,mir_operator:decode_layer06,elementwise_binary,28050,39254553,0.16
react_moa_mcts,mir_operator:decode_layer15,elementwise_binary,28050,39246663,0.16
react_moa_mcts,mir_operator:decode_layer11,elementwise_binary,28050,39230818,0.16
react_moa_mcts,mir_operator:decode_layer18,elementwise_binary,28050,39228915,0.16
react_moa_mcts,mir_operator:decode_layer04,elementwise_binary,28050,39228420,0.16
react_moa_mcts,mir_operator:decode_layer05,elementwise_binary,28050,39221459,0.16
react_moa_mcts,mir_operator:decode_layer26,elementwise_binary,28050,39210910,0.16
react_moa_mcts,mir_operator:decode_layer29,elementwise_binary,28050,39207066,0.16
react_moa_mcts,mir_operator:decode_layer22,elementwise_binary,28050,39189753,0.16
react_moa_mcts,mir_operator:decode_layer08,elementwise_binary,28050,39178689,0.16
react_moa_mcts,mir_operator:decode_layer00,elementwise_binary,28050,39178277,0.16
react_moa_mcts,mir_operator:decode_layer13,elementwise_binary,28050,39165088,0.16
react_moa_mcts,mir_operator:decode_layer09,elementwise_binary,28050,39156954,0.16
react_moa_mcts,mir_operator:decode_layer17,elementwise_binary,28050,39154812,0.16
react_moa_mcts,mir_operator:decode_layer02,elementwise_binary,28050,39145864,0.16
react_moa_mcts,mir_operator:decode_layer21,elementwise_binary,28050,39134366,0.16
react_moa_mcts,mir_operator:decode_layer25,elementwise_binary,28050,39127115,0.16
