workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_moa_mcts,inter_operator_dispatch,100590,4077096358,4.02,40531.8,43953027,0.18,291222213,7.1,30960,1.1
react_moa_mcts,mir_operator:decode_layer15,2550,2778715885,2.74,1089692.5,611421192,2.49,576880095,20.8,109650,22.0
react_moa_mcts,mir_operator:decode_layer00,2550,2744673071,2.7,1076342.4,611876156,2.49,594973624,21.7,109650,22.3
react_moa_mcts,mir_operator:decode_layer01,2550,2649234587,2.61,1038915.5,610909946,2.48,583110076,22.0,109650,23.1
react_moa_mcts,mir_operator:decode_layer02,2550,2624523785,2.59,1029225.0,610281853,2.48,580826116,22.1,109650,23.3
react_moa_mcts,mir_operator:decode_layer03,2550,2607053700,2.57,1022374.0,612284562,2.49,577491827,22.2,109650,23.5
react_moa_mcts,mir_operator:decode_layer04,2550,2605833563,2.57,1021895.5,610945953,2.48,579080599,22.2,109650,23.4
react_moa_mcts,mir_operator:decode_layer05,2550,2604910576,2.57,1021533.6,610325034,2.48,579963284,22.3,109650,23.4
react_moa_mcts,mir_operator:decode_layer06,2550,2601561334,2.56,1020220.1,610503629,2.48,578317883,22.2,109650,23.5
react_moa_mcts,mir_operator:decode_layer07,2550,2597278307,2.56,1018540.5,611717947,2.49,577204918,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer08,2550,2593254212,2.55,1016962.4,610247675,2.48,575111246,22.2,109650,23.5
react_moa_mcts,mir_operator:decode_layer10,2550,2592281174,2.55,1016580.9,611017608,2.48,577399545,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer25,2550,2590894172,2.55,1016036.9,610479746,2.48,576490304,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer26,2550,2590167223,2.55,1015751.9,612239649,2.49,574836941,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer09,2550,2590054971,2.55,1015707.8,610789225,2.48,575798596,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer20,2550,2589460880,2.55,1015474.9,610815875,2.48,576679272,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer19,2550,2588303933,2.55,1015021.2,611739042,2.49,578330179,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer24,2550,2587864084,2.55,1014848.7,611894531,2.49,577785986,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer21,2550,2587403599,2.55,1014668.1,611775064,2.49,575370549,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer28,2550,2587136498,2.55,1014563.3,610905709,2.48,575479760,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer16,2550,2587124278,2.55,1014558.5,610905449,2.48,575158069,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer30,2550,2587100915,2.55,1014549.4,610431113,2.48,575774667,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer11,2550,2586199184,2.55,1014195.8,610574981,2.48,575733748,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer27,2550,2585969809,2.55,1014105.8,611440389,2.49,573725451,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer14,2550,2584996548,2.55,1013724.1,611342648,2.49,575904171,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer34,2550,2584786563,2.55,1013641.8,612018597,2.49,576597155,22.3,109650,23.7
react_moa_mcts,mir_operator:decode_layer29,2550,2584659512,2.55,1013592.0,610633444,2.48,577031793,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer17,2550,2583563155,2.55,1013162.0,610221801,2.48,574666142,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer12,2550,2583357764,2.55,1013081.5,610856715,2.48,574881518,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer33,2550,2583332713,2.55,1013071.7,610451825,2.48,575658526,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer22,2550,2583186471,2.54,1013014.3,610153684,2.48,575262481,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer35,2550,2583094303,2.54,1012978.2,610511369,2.48,575125190,22.3,109650,23.6
react_moa_mcts,mir_operator:decode_layer31,2550,2583057174,2.54,1012963.6,612080086,2.49,574314712,22.2,109650,23.7
react_moa_mcts,mir_operator:decode_layer32,2550,2582928849,2.54,1012913.3,610732959,2.48,574169827,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer18,2550,2582618273,2.54,1012791.5,610068120,2.48,574045932,22.2,109650,23.6
react_moa_mcts,mir_operator:decode_layer13,2550,2582446594,2.54,1012724.2,611341158,2.49,574378027,22.2,109650,23.7
react_moa_mcts,mir_operator:decode_layer23,2550,2582063840,2.54,1012574.1,610930071,2.48,573367182,22.2,109650,23.7
react_moa_mcts,mir_operator:decode_sample,2550,1572640297,1.55,616721.7,18052176,0.07,1439577978,91.5,2550,1.1
react_moa_mcts,mir_operator:decode_head,2550,676423767,0.67,265264.2,1696849671,6.9,126233651,18.7,22950,250.9
react_moa_mcts,mir_operator:decode_embed,2550,141388706,0.14,55446.6,4649625,0.02,31915905,22.6,2550,3.3
react_moa_mcts,mir_operator:prefill_sample,30,69215888,0.07,2307196.3,244225,0.0,67628772,97.7,30,0.4
react_moa_mcts,token_preprocess_cpu,30,48360756,0.05,1612025.2,0,0.0,0,0.0,0,0.0
react_moa_mcts,mir_operator:prefill_layer00,30,39438157,0.04,1314605.2,21483676,0.09,8897517,22.6,1350,54.5
react_moa_mcts,mir_operator:prefill_layer01,30,35732746,0.04,1191091.5,21110994,0.09,8130035,22.8,1350,59.1
react_moa_mcts,mir_operator:prefill_layer02,30,34756536,0.03,1158551.2,21168095,0.09,7902291,22.7,1350,60.9
react_moa_mcts,mir_operator:prefill_layer23,30,34580148,0.03,1152671.6,21067393,0.09,7954124,23.0,1350,60.9
react_moa_mcts,mir_operator:prefill_layer26,30,34527422,0.03,1150914.1,21072951,0.09,7943806,23.0,1350,61.0
react_moa_mcts,mir_operator:prefill_layer24,30,34450482,0.03,1148349.4,21133346,0.09,7899523,22.9,1350,61.3
react_moa_mcts,mir_operator:prefill_layer03,30,34387674,0.03,1146255.8,21144537,0.09,7897229,23.0,1350,61.5
react_moa_mcts,mir_operator:prefill_layer25,30,34343246,0.03,1144774.9,21126648,0.09,7893735,23.0,1350,61.5
react_moa_mcts,mir_operator:prefill_layer27,30,34321733,0.03,1144057.8,21406271,0.09,7851341,22.9,1350,62.4
react_moa_mcts,mir_operator:prefill_layer28,30,34257792,0.03,1141926.4,21294577,0.09,7904434,23.1,1350,62.2
react_moa_mcts,mir_operator:prefill_layer16,30,34122971,0.03,1137432.4,21245864,0.09,7797766,22.9,1350,62.3
react_moa_mcts,mir_operator:prefill_layer04,30,34073210,0.03,1135773.7,21334010,0.09,7809291,22.9,1350,62.6
react_moa_mcts,mir_operator:prefill_layer08,30,34046862,0.03,1134895.4,21372089,0.09,7823354,23.0,1350,62.8
react_moa_mcts,mir_operator:prefill_layer29,30,34038830,0.03,1134627.7,21323930,0.09,7840023,23.0,1350,62.6
react_moa_mcts,mir_operator:prefill_layer14,30,33965832,0.03,1132194.4,21170392,0.09,7807738,23.0,1350,62.3
react_moa_mcts,mir_operator:prefill_layer07,30,33937816,0.03,1131260.5,21333370,0.09,7771804,22.9,1350,62.9
react_moa_mcts,mir_operator:prefill_layer15,30,33902547,0.03,1130084.9,21222655,0.09,7828406,23.1,1350,62.6
react_moa_mcts,mir_operator:prefill_layer13,30,33864540,0.03,1128818.0,21179445,0.09,7820571,23.1,1350,62.5
react_moa_mcts,mir_operator:prefill_layer32,30,33849947,0.03,1128331.6,21134360,0.09,7767736,22.9,1350,62.4
react_moa_mcts,mir_operator:prefill_layer09,30,33829504,0.03,1127650.1,21179488,0.09,7778136,23.0,1350,62.6
react_moa_mcts,mir_operator:prefill_layer30,30,33827317,0.03,1127577.2,21158183,0.09,7738371,22.9,1350,62.5
