workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,19154962663,19154982150,19487,0,0,0,0,0,0,,19487,
react_tool,measured,0,plan,llm,adapter_dispatch,,,,gap_between_markers,19154982150,19154986703,4553,0,0,0,0,0,0,,4553,
react_tool,measured,0,plan,llm,token_preprocess_cpu,,,,host_event,19154986703,19155867979,881276,0,0,0,0,0,0,,881276,
react_tool,measured,0,plan,llm,host_input_generate,,,,gap_between_markers,19155867979,19155967832,99853,0,0,0,0,3855,2,cudaEventQuery,95998,
react_tool,measured,0,plan,llm,h2d_stage,,,,host_event,19155967832,19156065403,97571,416,416,0,1,31520,10,cudaEventRecordWithFlags,66051,memcpy
react_tool,measured,0,plan,llm,weight_init,,,,gap_between_markers,19156065403,19156222179,156776,0,0,0,0,2319,3,cudaEventDestroy,154457,
react_tool,measured,0,plan,llm,mir_operator:prefill_embed,0,prefill_embed,,nvtx_range,19156222179,19156300567,78388,1728,1728,1,0,14946,1,cudaLaunchKernel,63442,other
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19156300567,19156756047,455480,17504,17504,12,0,77861,12,cudaLaunchKernel,377619,concat|copy|elementwise_binary|elementwise_other|gemv
react_tool,measured,0,plan,llm,mir_operator:prefill_layer00,1,prefill_layer00,,nvtx_range,19156756047,19157990922,1234875,485828,485828,45,3,270236,55,cudaLaunchKernel,964639,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19157990922,19158015492,24570,0,0,0,0,0,0,,24570,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer01,2,prefill_layer01,,nvtx_range,19158015492,19159155225,1139733,364836,364836,45,3,256681,55,cudaLaunchKernel,883052,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19159155225,19159185332,30107,0,0,0,0,0,0,,30107,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer02,3,prefill_layer02,,nvtx_range,19159185332,19160282447,1097115,366466,366466,45,3,245343,55,cudaLaunchKernel,851772,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19160282447,19160302777,20330,0,0,0,0,0,0,,20330,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer03,4,prefill_layer03,,nvtx_range,19160302777,19161344138,1041361,364001,364001,45,3,243033,55,cudaLaunchKernel,798328,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19161344138,19161372474,28336,0,0,0,0,0,0,,28336,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer04,5,prefill_layer04,,nvtx_range,19161372474,19162411630,1039156,368259,368259,45,3,233141,55,cudaLaunchKernel,806015,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19162411630,19162432504,20874,0,0,0,0,0,0,,20874,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer05,6,prefill_layer05,ve,nvtx_range,19162432504,19163504706,1072202,362977,362977,45,3,241930,55,cudaLaunchKernel,830272,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19163504706,19163525939,21233,0,0,0,0,0,0,,21233,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer06,7,prefill_layer06,ve,nvtx_range,19163525939,19164569029,1043090,362692,362692,45,3,235263,55,cudaLaunchKernel,807827,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19164569029,19164588010,18981,0,0,0,0,0,0,,18981,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer07,8,prefill_layer07,ve,nvtx_range,19164588010,19165618785,1030775,364226,364226,45,3,232666,55,cudaLaunchKernel,798109,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19165618785,19165638802,20017,0,0,0,0,0,0,,20017,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer08,9,prefill_layer08,,nvtx_range,19165638802,19166663144,1024342,365027,365027,45,3,234562,55,cudaLaunchKernel,789780,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19166663144,19166682488,19344,0,0,0,0,0,0,,19344,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer09,10,prefill_layer09,me,nvtx_range,19166682488,19167701817,1019329,364194,364194,45,3,235121,55,cudaLaunchKernel,784208,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19167701817,19167721287,19470,0,0,0,0,0,0,,19470,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer10,11,prefill_layer10,me,nvtx_range,19167721287,19168747583,1026296,362242,362242,45,3,233114,55,cudaLaunchKernel,793182,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19168747583,19168767944,20361,0,0,0,0,0,0,,20361,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer11,12,prefill_layer11,me,nvtx_range,19168767944,19169849824,1081880,365795,365795,45,3,252338,55,cudaLaunchKernel,829542,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19169849824,19169869659,19835,0,0,0,0,0,0,,19835,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer12,13,prefill_layer12,de,nvtx_range,19169869659,19170968580,1098921,364802,364802,45,3,246810,55,cudaLaunchKernel,852111,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19170968580,19170990884,22304,0,0,0,0,0,0,,22304,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer13,14,prefill_layer13,de,nvtx_range,19170990884,19172110748,1119864,362018,362018,45,3,253760,55,cudaLaunchKernel,866104,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19172110748,19172132488,21740,0,0,0,0,0,0,,21740,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer14,15,prefill_layer14,,nvtx_range,19172132488,19173244350,1111862,364258,364258,45,3,259946,55,cudaLaunchKernel,851916,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,19173244350,19173265176,20826,0,0,0,0,0,0,,20826,
react_tool,measured,0,plan,llm,mir_operator:prefill_layer15,16,prefill_layer15,,nvtx_range,19173265176,19174389408,1124232,481508,481508,45,3,261139,55,cudaLaunchKernel,863093,attention|concat|copy|elementwise_binary|elementwise_other|elementwise_unary|gemm|memset|reduce
