workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool,inter_operator_dispatch,13098,505767237,3.89,38614.1,5642562,0.18,36057357,7.1,4032,1.1
react_tool,mir_operator:decode_layer00,330,348939184,2.68,1057391.5,78968104,2.5,74678824,21.4,14190,22.6
react_tool,mir_operator:decode_layer01,330,336075432,2.59,1018410.4,79232444,2.51,73316200,21.8,14190,23.6
react_tool,mir_operator:decode_layer02,330,333421769,2.56,1010369.0,79181159,2.51,73533083,22.1,14190,23.7
react_tool,mir_operator:decode_layer16,330,332621604,2.56,1007944.3,78823323,2.49,73117472,22.0,14190,23.7
react_tool,mir_operator:decode_layer15,330,332188704,2.56,1006632.4,79085737,2.5,73321136,22.1,14190,23.8
react_tool,mir_operator:decode_layer18,330,331790927,2.55,1005427.1,78515233,2.48,72925830,22.0,14190,23.7
react_tool,mir_operator:decode_layer21,330,331784289,2.55,1005406.9,78564437,2.49,73747819,22.2,14190,23.7
react_tool,mir_operator:decode_layer07,330,331426776,2.55,1004323.6,78928644,2.5,73342081,22.1,14190,23.8
react_tool,mir_operator:decode_layer08,330,331359920,2.55,1004121.0,78906540,2.5,73897628,22.3,14190,23.8
react_tool,mir_operator:decode_layer34,330,331336809,2.55,1004050.9,79055248,2.5,72504211,21.9,14190,23.9
react_tool,mir_operator:decode_layer30,330,331274946,2.55,1003863.5,79073530,2.5,73082753,22.1,14190,23.9
react_tool,mir_operator:decode_layer03,330,331113277,2.55,1003373.6,78806675,2.49,72764897,22.0,14190,23.8
react_tool,mir_operator:decode_layer35,330,331036820,2.55,1003141.9,78465489,2.48,73121982,22.1,14190,23.7
react_tool,mir_operator:decode_layer17,330,330937977,2.55,1002842.4,79036135,2.5,72971840,22.1,14190,23.9
react_tool,mir_operator:decode_layer24,330,330936222,2.55,1002837.0,78395948,2.48,73135729,22.1,14190,23.7
react_tool,mir_operator:decode_layer19,330,330837194,2.54,1002537.0,79110206,2.5,72948966,22.0,14190,23.9
react_tool,mir_operator:decode_layer31,330,330779017,2.54,1002360.7,78521608,2.48,73267674,22.2,14190,23.7
react_tool,mir_operator:decode_layer20,330,330702760,2.54,1002129.6,78845750,2.5,72884477,22.0,14190,23.8
react_tool,mir_operator:decode_layer10,330,330666350,2.54,1002019.2,78856908,2.5,73217530,22.1,14190,23.8
react_tool,mir_operator:decode_layer29,330,330237039,2.54,1000718.3,78792707,2.49,73288430,22.2,14190,23.9
react_tool,mir_operator:decode_layer06,330,330181005,2.54,1000548.5,79231473,2.51,72844714,22.1,14190,24.0
react_tool,mir_operator:decode_layer04,330,330158950,2.54,1000481.7,79048907,2.5,72707620,22.0,14190,23.9
react_tool,mir_operator:decode_layer14,330,330107931,2.54,1000327.1,78762814,2.49,72798068,22.1,14190,23.9
react_tool,mir_operator:decode_layer22,330,330031680,2.54,1000096.0,78924558,2.5,72832620,22.1,14190,23.9
react_tool,mir_operator:decode_layer09,330,329969815,2.54,999908.5,79115351,2.5,72786386,22.1,14190,24.0
react_tool,mir_operator:decode_layer13,330,329937131,2.54,999809.5,78575886,2.49,72774785,22.1,14190,23.8
react_tool,mir_operator:decode_layer05,330,329920522,2.54,999759.2,78727227,2.49,73092131,22.2,14190,23.9
react_tool,mir_operator:decode_layer27,330,329787014,2.54,999354.6,78983299,2.5,72746106,22.1,14190,23.9
react_tool,mir_operator:decode_layer26,330,329737943,2.54,999205.9,79011673,2.5,72679861,22.0,14190,24.0
react_tool,mir_operator:decode_layer23,330,329665456,2.54,998986.2,78916166,2.5,72793333,22.1,14190,23.9
react_tool,mir_operator:decode_layer28,330,329621089,2.54,998851.8,79296093,2.51,72647963,22.0,14190,24.1
react_tool,mir_operator:decode_layer25,330,329611060,2.54,998821.4,79218476,2.51,72640957,22.0,14190,24.0
react_tool,mir_operator:decode_layer12,330,329605585,2.54,998804.8,78853814,2.5,72663802,22.0,14190,23.9
react_tool,mir_operator:decode_layer11,330,329467487,2.53,998386.3,78805113,2.49,72652391,22.1,14190,23.9
react_tool,mir_operator:decode_layer33,330,328752337,2.53,996219.2,79015957,2.5,72503019,22.1,14190,24.0
react_tool,mir_operator:decode_layer32,330,328707908,2.53,996084.6,79384679,2.51,72525378,22.1,14190,24.2
react_tool,mir_operator:decode_sample,330,204368993,1.57,619300.0,2327219,0.07,188220159,92.1,330,1.1
react_tool,mir_operator:decode_head,330,85423461,0.66,258859.0,219330315,6.94,16130534,18.9,2970,256.8
react_tool,mir_operator:decode_embed,330,17418145,0.13,52782.3,603041,0.02,4011511,23.0,330,3.5
react_tool,mir_operator:prefill_layer00,6,8437528,0.06,1406254.7,2476244,0.08,1873316,22.2,270,29.3
react_tool,mir_operator:prefill_layer01,6,7800541,0.06,1300090.2,2358542,0.07,1727515,22.1,270,30.2
react_tool,mir_operator:prefill_layer02,6,7147213,0.05,1191202.2,2347406,0.07,1588055,22.2,270,32.8
react_tool,mir_operator:prefill_layer03,6,6729317,0.05,1121552.8,2345356,0.07,1523388,22.6,270,34.9
react_tool,mir_operator:prefill_layer04,6,6693400,0.05,1115566.7,2333973,0.07,1500596,22.4,270,34.9
react_tool,mir_operator:prefill_layer05,6,6644983,0.05,1107497.2,2332017,0.07,1505946,22.7,270,35.1
react_tool,mir_operator:prefill_layer14,6,6620747,0.05,1103457.8,2343509,0.07,1506562,22.8,270,35.4
react_tool,mir_operator:prefill_layer13,6,6609217,0.05,1101536.2,2336370,0.07,1482665,22.4,270,35.4
react_tool,mir_operator:prefill_layer16,6,6607380,0.05,1101230.0,2331438,0.07,1480258,22.4,270,35.3
react_tool,mir_operator:prefill_layer30,6,6599161,0.05,1099860.2,2403251,0.08,1484867,22.5,270,36.4
react_tool,mir_operator:prefill_layer31,6,6594002,0.05,1099000.3,2329940,0.07,1483527,22.5,270,35.3
react_tool,mir_operator:prefill_layer15,6,6589566,0.05,1098261.0,2597010,0.08,1495976,22.7,270,39.4
react_tool,mir_operator:prefill_layer29,6,6589506,0.05,1098251.0,2390096,0.08,1494173,22.7,270,36.3
react_tool,mir_operator:prefill_layer32,6,6562083,0.05,1093680.5,2335891,0.07,1495417,22.8,270,35.6
react_tool,mir_operator:prefill_layer33,6,6552018,0.05,1092003.0,2339025,0.07,1484233,22.7,270,35.7
react_tool,mir_operator:prefill_layer12,6,6550744,0.05,1091790.7,2341197,0.07,1475123,22.5,270,35.7
