workload,launch_order,call_id,matrix_size,process,op_index,op_type,family,kernel_name,grid,block,ncu_status,ncu_replay_us,nsys_gpu_us,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,dram_read_bytes,dram_write_bytes,l2_throughput_pct,l2_hit_rate_pct,l1_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,waves_per_sm,registers_per_thread,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
react_tool,2,plan,768,mir_operator:prefill_embed,0,prefill_embed,other,"void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool)","(192, 1, 1)","(256, 1, 1)",profiled,2.496,1.66,2.570343,0.0,11.641425,0.0,279424.0,0.0,16.029677,84.447057,6.597822,22.378901,100.0,0.25,24.0,,,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak"
react_tool,15,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(768, 1, 1)","(128, 1, 1)",profiled,3.744,2.46,12.971548,0.0,22.504927,0.0,818560.0,0.0,21.619097,71.259095,9.696957,44.511097,100.0,0.5,31.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,16,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(384, 1, 1)","(128, 1, 1)",profiled,3.712,1.73,1.3232,0.0,43.867454,0.0,1577600.0,0.0,20.383575,51.928821,9.571149,18.064577,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 44 %, L2 20 %, occ 18 %"
react_tool,17,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(12, 1, 1)","(32, 16, 1)",profiled,7.36,4.48,0.702963,0.0,22.519531,0.0,1623424.0,0.0,8.835977,25.608816,25.709802,33.264463,100.0,0.03,26.0,,,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak"
react_tool,18,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.824,1.06,0.017049,0.0,0.315434,0.0,5504.0,0.0,0.776556,85.56224,80.545359,8.302744,100.0,0.0,32.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,19,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,1.984,1.18,0.024874,0.0,0.365691,0.0,7040.0,0.0,0.868383,86.797435,65.866209,8.15466,100.0,0.0,22.0,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
react_tool,20,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(1536, 1, 1)","(128, 1, 1)",profiled,4.032,2.43,10.847426,0.0,40.386874,0.0,1584768.0,0.0,20.582931,53.386076,10.220411,68.914613,100.0,1.0,16.0,,,"underutilised: SM 11 %, DRAM 40 %, L2 21 %, occ 69 %"
react_tool,21,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,copy,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[","(384, 1, 1)","(128, 1, 1)",profiled,3.744,1.54,1.365166,0.0,43.283006,0.0,1577856.0,0.0,16.997945,36.571501,7.00138,17.992753,100.0,0.25,30.0,,,"underutilised: SM 1 %, DRAM 43 %, L2 17 %, occ 18 %"
react_tool,22,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,elementwise_binary,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16,","(768, 1, 1)","(128, 1, 1)",profiled,3.744,2.62,12.195485,0.0,22.276182,0.0,810240.0,0.0,14.915497,64.237935,10.339792,42.413164,100.0,0.5,16.0,,,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak"
react_tool,23,plan,768,mir_operator:prefill_layer00,1,prefill_layer00,gemm,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params,"(24, 4, 1)","(128, 1, 1)",profiled,17.312,16.83,28.808373,41.732364,54.277268,0.0,9212928.0,0.0,60.802972,91.046944,41.742552,8.33067,16.666667,0.38,88.0,,,tensor-core compute-bound
