workload,matrix_size,process,matched_kernel_family,kernel_family_instance_count,ncu_status,ncu_profiled_kernel_names,first_launch_order,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,l2_throughput_pct,l2_hit_rate_pct,achieved_occupancy_pct,waves_per_sm,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
planner_debate,1024,mir_operator:prefill_embed,other,3,profiled,"void at::vectorized_gather_kernel<16, long>(char *, char *, ",113584,5.57,0.0,9.64,0.0,31.29,92.98,48.47,0.67,,,"underutilised: SM 6 %, DRAM 10 %, L2 31 %, occ 48 %"
planner_debate,1024,mir_operator:prefill_layer00,copy,12,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,113597,10.02,0.0,53.1,0.0,28.97,51.57,55.57,1.0,,,"underutilised: SM 20 %, DRAM 35 %, L2 33 %, occ 65 %"
planner_debate,1024,mir_operator:prefill_layer00,elementwise_unary,12,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",113598,0.93,0.0,31.25,0.0,14.63,63.54,23.17,0.29,,,DRAM-bandwidth-bound
planner_debate,1024,mir_operator:prefill_layer00,reduce,12,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",113599,8.43,0.0,39.79,0.0,17.04,26.92,43.08,0.34,,,"underutilised: SM 2 %, DRAM 51 %, L2 20 %, occ 33 %"
planner_debate,1024,mir_operator:prefill_layer00,elementwise_binary,33,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",113600,15.8,0.0,37.91,0.0,23.2,56.51,64.88,1.33,,,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,1024,mir_operator:prefill_layer00,gemm,21,profiled,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_relu_f2f_tn,113605,37.01,44.01,34.1,0.0,66.96,89.87,13.72,1.0,,,"underutilised: SM 33 %, DRAM 27 %, L2 53 %, occ 8 %"
planner_debate,1024,mir_operator:prefill_layer00,concat,18,profiled,void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::Opaqu,113610,17.5,0.0,7.17,0.0,5.23,59.86,68.29,1.33,,,"underutilised: SM 17 %, DRAM 5 %, L2 5 %, occ 69 %"
planner_debate,1024,mir_operator:prefill_layer00,elementwise_other,21,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",113613,5.17,0.0,61.1,0.0,24.25,49.55,50.11,0.67,,,"underutilised: SM 13 %, DRAM 30 %, L2 18 %, occ 55 %"
planner_debate,1024,mir_operator:prefill_layer00,attention,6,profiled,void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne,113624,22.37,12.24,37.23,0.0,28.17,57.39,33.69,1.89,,,"underutilised: SM 18 %, DRAM 12 %, L2 30 %, occ 8 %"
planner_debate,1024,mir_operator:prefill_layer01,copy,12,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,113645,9.69,0.0,53.33,0.0,29.18,51.69,55.03,1.0,,,"underutilised: SM 20 %, DRAM 35 %, L2 33 %, occ 64 %"
planner_debate,1024,mir_operator:prefill_layer01,elementwise_unary,12,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",113646,0.86,0.0,31.34,0.0,14.57,64.39,23.04,0.29,,,DRAM-bandwidth-bound
