call_kind,matrix_size,process,op_type,template_source,samples,host_ns_median,host_ns_p90,gpu_ns_median
dag,,dag_schedule_gap,,planner_debate+react_tool,27,79911.0,802955.0,0.0
dag,,iteration_tail_sync,,planner_debate+react_tool,6,158065.5,262012.0,0.0
llm,1024,adapter_dispatch,,planner_debate,9,5148.0,6887.0,0.0
llm,1024,checksum_complete,,planner_debate,9,47383.0,49478.0,0.0
llm,1024,d2h_stage,,planner_debate,9,155863.0,185878.0,928.0
llm,1024,h2d_stage,,planner_debate,9,110713.0,132107.0,512.0
llm,1024,host_input_generate,,planner_debate,9,143113.0,184992.0,0.0
llm,1024,inter_operator_dispatch,,planner_debate,31815,21297.0,30149.0,0.0
llm,1024,mir_operator:decode_embed,decode_embed,planner_debate,807,57215.0,61864.0,1760.0
llm,1024,mir_operator:decode_head,decode_head,planner_debate,807,267323.0,283713.0,661862.0
llm,1024,mir_operator:decode_layer00,decode_layer00,planner_debate,807,1067624.0,1106794.0,237697.0
llm,1024,mir_operator:decode_layer01,decode_layer01,planner_debate,807,1028964.0,1064715.0,237539.0
llm,1024,mir_operator:decode_layer02,decode_layer02,planner_debate,807,1016828.0,1051555.0,237442.0
llm,1024,mir_operator:decode_layer03,decode_layer03,planner_debate,807,1013879.0,1046718.0,237507.0
llm,1024,mir_operator:decode_layer04,decode_layer04,planner_debate,807,1010813.0,1043986.0,237443.0
llm,1024,mir_operator:decode_layer05,decode_layer05,planner_debate,807,1009846.0,1046096.0,237218.0
llm,1024,mir_operator:decode_layer06,decode_layer06,planner_debate,807,1008054.0,1042302.0,237440.0
llm,1024,mir_operator:decode_layer07,decode_layer07,planner_debate,807,1008745.0,1041465.0,237410.0
llm,1024,mir_operator:decode_layer08,decode_layer08,planner_debate,807,1007458.0,1041809.0,237379.0
llm,1024,mir_operator:decode_layer09,decode_layer09,planner_debate,807,1005531.0,1040408.0,237377.0
llm,1024,mir_operator:decode_layer10,decode_layer10,planner_debate,807,1003997.0,1038249.0,237474.0
llm,1024,mir_operator:decode_layer11,decode_layer11,planner_debate,807,1005746.0,1038450.0,237346.0
llm,1024,mir_operator:decode_layer12,decode_layer12,planner_debate,807,1004747.0,1037949.0,237378.0
llm,1024,mir_operator:decode_layer13,decode_layer13,planner_debate,807,1004636.0,1037082.0,237475.0
llm,1024,mir_operator:decode_layer14,decode_layer14,planner_debate,807,1004584.0,1039345.0,237250.0
llm,1024,mir_operator:decode_layer15,decode_layer15,planner_debate,807,1003725.0,1037981.0,237506.0
llm,1024,mir_operator:decode_layer16,decode_layer16,planner_debate,807,1004794.0,1039101.0,237505.0
llm,1024,mir_operator:decode_layer17,decode_layer17,planner_debate,807,1003618.0,1038699.0,237412.0
llm,1024,mir_operator:decode_layer18,decode_layer18,planner_debate,807,1005044.0,1037852.0,237314.0
llm,1024,mir_operator:decode_layer19,decode_layer19,planner_debate,807,1004884.0,1037473.0,237473.0
llm,1024,mir_operator:decode_layer20,decode_layer20,planner_debate,807,1004001.0,1036719.0,237473.0
llm,1024,mir_operator:decode_layer21,decode_layer21,planner_debate,807,1005233.0,1038342.0,237410.0
llm,1024,mir_operator:decode_layer22,decode_layer22,planner_debate,807,1002929.0,1037742.0,237411.0
llm,1024,mir_operator:decode_layer23,decode_layer23,planner_debate,807,1003425.0,1038511.0,237377.0
llm,1024,mir_operator:decode_layer24,decode_layer24,planner_debate,807,1004304.0,1039744.0,237475.0
llm,1024,mir_operator:decode_layer25,decode_layer25,planner_debate,807,1005370.0,1038071.0,237442.0
llm,1024,mir_operator:decode_layer26,decode_layer26,planner_debate,807,1003562.0,1037078.0,237505.0
llm,1024,mir_operator:decode_layer27,decode_layer27,planner_debate,807,1005471.0,1041331.0,237346.0
