lineage,workload,global_rank,process,cumulative_host_ns,selected
llm_vl,react_tool,1,mir_operator:decode_layer*,11924729929.0,True
llm_vl,react_tool,2,inter_operator_dispatch,505767237.0,False
llm_vl,react_tool,3,mir_operator:prefill_layer*,238234877.0,False
llm_vl,react_tool,4,mir_operator:decode_sample,204368993.0,False
llm_vl,react_tool,5,mir_operator:decode_head,85423461.0,False
llm_vl,react_tool,6,mir_operator:decode_embed,17418145.0,False
llm_vl,react_tool,7,token_preprocess_cpu,6356461.0,False
llm_vl,react_tool,8,mir_operator:prefill_sample,5317544.0,False
llm_vl,react_tool,9,pre_d2h_alloc,3026120.0,False
llm_vl,react_tool,10,dag_schedule_gap,2537763.0,False
llm_vl,react_tool,11,mir_operator:prefill_head,1655017.0,False
llm_vl,react_tool,12,weight_init,1151317.0,False
llm_vl,react_tool,13,d2h_stage,865311.0,False
llm_vl,react_tool,14,agent_tool_execute_cpu,859261.0,False
llm_vl,react_tool,15,host_input_generate,716609.0,False
llm_vl,react_tool,16,h2d_stage,690716.0,False
llm_vl,react_tool,17,mir_operator:prefill_embed,544466.0,False
llm_vl,react_tool,18,iteration_tail_sync,350254.0,False
llm_vl,react_tool,19,checksum_complete,277404.0,False
llm_vl,react_tool,20,adapter_dispatch,31923.0,False
llm_vl,planner_debate,1,mir_operator:decode_layer*,47095352070.0,True
llm_vl,planner_debate,2,inter_operator_dispatch,2090788562.0,False
llm_vl,planner_debate,3,mir_operator:decode_sample,803694334.0,False
llm_vl,planner_debate,4,mir_operator:prefill_layer*,595091701.0,False
llm_vl,planner_debate,5,mir_operator:decode_head,346950827.0,False
llm_vl,planner_debate,6,mir_operator:decode_embed,72944719.0,False
llm_vl,planner_debate,7,mir_operator:prefill_sample,29959665.0,False
llm_vl,planner_debate,8,token_preprocess_cpu,25843701.0,False
llm_vl,planner_debate,9,pre_d2h_alloc,8052760.0,False
llm_vl,planner_debate,10,mir_operator:prefill_head,4174757.0,False
llm_vl,planner_debate,11,dag_schedule_gap,4006012.0,False
llm_vl,planner_debate,12,weight_init,3219218.0,False
llm_vl,planner_debate,13,d2h_stage,2221086.0,False
llm_vl,planner_debate,14,host_input_generate,2159174.0,False
llm_vl,planner_debate,15,h2d_stage,1642968.0,False
llm_vl,planner_debate,16,mir_operator:prefill_embed,1504933.0,False
llm_vl,planner_debate,17,agent_tool_execute_cpu,1274159.0,False
llm_vl,planner_debate,18,iteration_tail_sync,704210.0,False
llm_vl,planner_debate,19,checksum_complete,697938.0,False
llm_vl,planner_debate,20,adapter_dispatch,87726.0,False
llm_vl,react_moa_mcts,1,mir_operator:decode_layer*,93641091499.0,True
llm_vl,react_moa_mcts,2,inter_operator_dispatch,4077096358.0,False
llm_vl,react_moa_mcts,3,mir_operator:decode_sample,1572640297.0,False
llm_vl,react_moa_mcts,4,mir_operator:prefill_layer*,1229371892.0,False
llm_vl,react_moa_mcts,5,mir_operator:decode_head,676423767.0,False
llm_vl,react_moa_mcts,6,mir_operator:decode_embed,141388706.0,False
llm_vl,react_moa_mcts,7,mir_operator:prefill_sample,69215888.0,False
llm_vl,react_moa_mcts,8,token_preprocess_cpu,48360756.0,False
llm_vl,react_moa_mcts,9,pre_d2h_alloc,11437692.0,False
llm_vl,react_moa_mcts,10,mir_operator:prefill_head,8601832.0,False
llm_vl,react_moa_mcts,11,dag_schedule_gap,5964778.0,False
llm_vl,react_moa_mcts,12,weight_init,5762074.0,False
llm_vl,react_moa_mcts,13,host_input_generate,4249406.0,False
llm_vl,react_moa_mcts,14,d2h_stage,4128765.0,False
llm_vl,react_moa_mcts,15,h2d_stage,3491315.0,False
llm_vl,react_moa_mcts,16,mir_operator:prefill_embed,2813953.0,False
llm_vl,react_moa_mcts,17,checksum_complete,1416449.0,False
llm_vl,react_moa_mcts,18,agent_tool_execute_cpu,1287152.0,False
llm_vl,react_moa_mcts,19,iteration_tail_sync,472117.0,False
llm_vl,react_moa_mcts,20,adapter_dispatch,155574.0,False
