lineage,workload,process,instances,cumulative_host_ns,share_pct,selected,median_ns,p90_ns,max_ns,mad_ns,gpu_owning
llm_vl,react_tool,mir_operator:decode_layer*,11880,11924729929.0,91.73,True,1010699.0,1038060.0,3248251.0,19441.5,True
llm_vl,react_tool,inter_operator_dispatch,13098,505767237.0,3.89,False,20555.5,28733.0,1716080.0,860.5,True
llm_vl,react_tool,mir_operator:prefill_layer*,216,238234877.0,1.83,False,1097225.5,1144618.0,1536202.0,32060.0,True
llm_vl,react_tool,mir_operator:decode_sample,330,204368993.0,1.57,False,617497.0,624624.0,817085.0,4436.5,True
llm_vl,react_tool,mir_operator:decode_head,330,85423461.0,0.66,False,257848.0,276101.0,684974.0,11042.0,True
llm_vl,react_tool,mir_operator:decode_embed,330,17418145.0,0.13,False,53941.5,59513.0,80198.0,4121.5,True
llm_vl,react_tool,token_preprocess_cpu,6,6356461.0,0.05,False,1153807.0,1182168.0,1190575.0,32564.5,False
llm_vl,react_tool,mir_operator:prefill_sample,6,5317544.0,0.04,False,888325.0,993991.0,995938.0,106297.5,True
llm_vl,react_tool,pre_d2h_alloc,6,3026120.0,0.02,False,229156.0,757181.0,1450908.0,49296.5,True
llm_vl,react_tool,dag_schedule_gap,9,2537763.0,0.02,False,71472.0,750468.0,802955.0,51985.0,False
llm_vl,react_tool,mir_operator:prefill_head,6,1655017.0,0.01,False,276844.0,287853.0,292034.0,12364.5,True
llm_vl,react_tool,weight_init,6,1151317.0,0.01,False,192971.0,204461.0,222738.0,11530.5,False
llm_vl,react_tool,d2h_stage,6,865311.0,0.01,False,129732.0,158988.0,201221.0,6913.0,True
llm_vl,react_tool,agent_tool_execute_cpu,3,859261.0,0.01,False,259943.0,259943.0,341155.0,1780.0,False
llm_vl,react_tool,host_input_generate,6,716609.0,0.01,False,121477.0,130837.0,133481.0,10676.5,False
llm_vl,react_tool,h2d_stage,6,690716.0,0.01,False,115356.0,131100.0,131709.0,15738.0,True
llm_vl,react_tool,mir_operator:prefill_embed,6,544466.0,0.0,False,89948.0,98522.0,100439.0,5650.5,True
llm_vl,react_tool,iteration_tail_sync,3,350254.0,0.0,False,106032.0,106032.0,141182.0,2992.0,False
llm_vl,react_tool,checksum_complete,6,277404.0,0.0,False,45491.5,47991.0,52413.0,2400.5,False
llm_vl,react_tool,adapter_dispatch,6,31923.0,0.0,False,4731.5,5747.0,8260.0,505.0,False
llm_vl,planner_debate,mir_operator:decode_layer*,46980,47095352070.0,92.18,True,1007919.0,1044121.0,3444186.0,24579.0,True
