lineage,workload,process,selected,share_pct,resource_status,reason,family,sm_pct,tensor_pct,dram_active_pct,dram_bw_pct_peak,l2_pct,occupancy_pct,waves_per_sm,hw_source_workload
llm_vl,react_tool,dag_schedule_gap,False,0.02,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
llm_vl,react_tool,adapter_dispatch,False,0.0,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
llm_vl,react_tool,token_preprocess_cpu,False,0.05,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
llm_vl,react_tool,host_input_generate,False,0.01,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
llm_vl,react_tool,h2d_stage,False,0.01,not_collected_memcpy,"PCIe copy; not a kernel, see w02 h2d/d2h bytes and cuda_ms",memcpy,,,,,,,,react_tool
llm_vl,react_tool,weight_init,False,0.01,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
llm_vl,react_tool,mir_operator:prefill_embed,False,0.0,profiled,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak",other,2.82,0.0,11.19,0.0,16.48,23.61,0.27,react_tool
llm_vl,react_tool,inter_operator_dispatch,False,3.89,not_collected,no w03 family row,,,,,,,,,
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak",copy,7.07,0.0,34.7,0.0,20.26,32.66,0.4,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 1 %, DRAM 44 %, L2 20 %, occ 18 %",elementwise_unary,0.67,0.0,23.53,0.0,10.92,13.03,0.12,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak",reduce,4.2,0.0,25.76,0.0,10.14,32.9,0.14,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak",elementwise_binary,10.77,0.0,23.81,0.0,15.22,43.54,0.5,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,tensor-core compute-bound,gemm,35.22,39.18,51.76,0.0,68.76,8.33,1.0,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 15 %, DRAM 2 %, L2 2 %, occ 68 %",concat,11.65,0.0,3.3,0.0,2.29,67.4,1.33,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak",elementwise_other,2.33,0.0,41.21,0.0,16.31,21.4,0.27,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.75 waves per SM, no unit above 30 % of peak",attention,15.76,8.38,28.47,0.0,18.34,24.98,0.77,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak",copy,6.88,0.0,34.92,0.0,19.74,32.41,0.4,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 1 %, DRAM 44 %, L2 21 %, occ 18 %",elementwise_unary,0.65,0.0,22.33,0.0,10.79,12.91,0.12,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak",reduce,4.29,0.0,26.3,0.0,10.35,32.55,0.14,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak",elementwise_binary,11.01,0.0,24.34,0.0,15.3,43.78,0.5,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,tensor-core compute-bound,gemm,31.76,39.24,51.98,0.0,69.04,8.33,1.0,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 14 %, DRAM 2 %, L2 2 %, occ 68 %",concat,11.69,0.0,3.36,0.0,2.34,67.63,1.33,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak",elementwise_other,2.29,0.0,41.9,0.0,16.54,21.75,0.27,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.75 waves per SM, no unit above 30 % of peak",attention,15.63,8.11,28.58,0.0,18.79,24.99,0.77,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.50 waves per SM, no unit above 30 % of peak",copy,7.01,0.0,36.08,0.0,20.08,32.74,0.4,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 1 %, DRAM 45 %, L2 21 %, occ 18 %",elementwise_unary,0.66,0.0,22.18,0.0,10.88,13.13,0.12,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.03 waves per SM, no unit above 30 % of peak",reduce,4.18,0.0,26.24,0.0,10.3,32.74,0.14,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak",elementwise_binary,10.79,0.0,24.45,0.0,15.39,42.84,0.5,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,tensor-core compute-bound,gemm,35.41,38.98,51.88,0.0,69.82,8.33,1.0,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"underutilised: SM 15 %, DRAM 2 %, L2 2 %, occ 67 %",concat,11.75,0.0,3.38,0.0,2.35,67.42,1.33,react_tool
llm_vl,react_tool,mir_operator:prefill_layer*,False,1.83,profiled,"latency/launch-bound: 0.25 waves per SM, no unit above 30 % of peak",elementwise_other,2.27,0.0,41.75,0.0,16.45,21.77,0.27,react_tool
