Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.6,117289878,16,7330617.4,23534.0,3402,29243057,12751389.6,cudaHostAlloc
19.3,104640020,112,934285.9,9218.5,5304,16478012,3266499.8,cudaLaunchKernel
19.2,104234018,102,1021902.1,820064.0,2631,6256704,1288748.8,cudaEventSynchronize
14.3,77453485,28,2766195.9,2331487.0,776423,6592031,1871447.4,cuLibraryLoadData
4.1,22432280,10,2243228.0,19090.0,12325,11270725,4690660.3,cuLaunchKernelEx
3.6,19798460,8,2474807.5,2032555.5,1586092,4015081,933092.2,cudaGetDeviceProperties
2.8,15051115,48,313564.9,141224.0,47627,3139330,512049.6,cuMemSetAccess
2.5,13659204,24,569133.5,53496.5,19103,3664583,1050146.1,cuMemCreate
2.2,12020044,256,46953.3,7072.0,6436,1821267,180439.3,cudaStreamCreateWithPriority
2.0,10891817,10,1089181.7,694415.5,4183,4041199,1489338.3,cudaDeviceSynchronize
1.9,10461343,17,615373.1,8231.0,1780,9546616,2306736.9,cudaStreamSynchronize
1.4,7562050,32,236314.1,165150.5,30600,895244,247870.6,cuMemUnmap
1.2,6365518,4,1591379.5,1538105.0,49287,3240021,1782003.1,cudaFree
0.8,4449957,22,202270.8,215200.5,6897,454553,117084.5,cudaMalloc
0.6,3165078,8,395634.8,116979.5,60151,2159118,718081.9,cuMemExportToShareableHandle
0.5,2793693,64,43651.5,10721.5,212,461161,96686.9,cuMemRelease
0.5,2584927,2,1292463.5,1292463.5,1280025,1304902,17590.7,cudaMemPoolDestroy
0.3,1592495,52,30624.9,2625.5,1027,741379,134671.3,cudaStreamWaitEvent
0.2,1319238,270,4886.1,3812.5,1011,25140,3556.8,cudaEventRecord
0.2,848761,2456,345.6,291.0,154,6513,279.1,cuGetProcAddress_v2
0.2,825060,8,103132.5,60412.0,46884,319625,93370.5,cuMemImportFromShareableHandle
0.1,630659,48,13138.7,10055.5,3653,37040,8147.7,cudaMemcpyAsync
0.1,628083,280,2243.2,1595.0,507,16905,2189.9,cudaEventCreateWithFlags
0.1,615557,70,8793.7,6122.5,3786,37103,7440.1,cudaMemsetAsync
0.1,306690,226,1357.0,1101.0,528,15804,1397.9,cudaEventDestroy
0.0,182696,140,1305.0,494.0,324,30998,3168.3,cudaThreadExchangeStreamCaptureMode
0.0,173652,30,5788.4,2920.5,1973,16250,4986.4,cudaEventQuery
0.0,160396,38,4220.9,2726.0,726,18544,4169.3,cudaStreamIsCapturing
0.0,150141,32,4691.9,4305.5,1554,10385,2772.2,cuMemAddressReserve
0.0,145082,28,5181.5,6659.0,768,9131,3320.9,cuLibraryGetKernel
0.0,145048,32,4532.8,2961.0,1581,16269,3458.4,cuMemMap
0.0,144808,10,14480.8,14149.5,5862,23087,5411.1,cudaFreeHost
0.0,96280,32,3008.8,2529.0,1394,7753,1549.8,cuMemAddressFree
0.0,87278,2,43639.0,43639.0,42630,44648,1426.9,cudaMemPoolCreate
0.0,68035,6,11339.2,7275.0,3191,25968,9644.3,cudaStreamCreateWithFlags
0.0,62447,32,1951.5,898.0,459,13653,2929.7,cuMemRetainAllocationHandle
0.0,55842,68,821.2,587.0,330,6160,852.2,cudaGetDriverEntryPoint
0.0,52103,6,8683.8,7294.0,3502,16058,5085.4,cudaStreamDestroy
0.0,31577,10,3157.7,2855.0,981,7106,1720.5,cudaStreamGetCaptureInfo_v2
0.0,27165,32,848.9,360.0,195,7214,1587.4,cuMemGetAllocationGranularity
0.0,25081,8,3135.1,3337.5,2370,3985,594.9,cuInit
0.0,12310,10,1231.0,1131.0,511,2625,633.2,cudaGetFuncBySymbol
0.0,12231,8,1528.9,269.5,223,5412,2356.6,cuModuleGetLoadingMode
0.0,4387,2,2193.5,2193.5,1858,2529,474.5,cudaMemPoolSetAttribute
