Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.4,798826244,20,39941312.2,7923.5,1479,405543658,122544073.1,cudaStreamSynchronize
22.1,350145823,50,7002916.5,36510.0,5757,55681470,12787835.9,cudaLaunchKernel
12.9,204558588,4,51139647.0,2942668.0,90864,198582388,98304395.8,cudaFree
4.8,75282918,28,2688675.6,2334911.0,764779,7367721,1876544.6,cuLibraryLoadData
2.1,32712052,256,127781.5,2595.5,1986,27879286,1742719.4,cudaStreamCreateWithPriority
0.9,14981933,16,936370.8,54475.0,16789,7454520,2428952.7,cuLaunchKernelEx
0.9,14555766,48,303245.1,137531.0,52413,2304854,439244.7,cuMemSetAccess
0.9,13863075,168,82518.3,593.5,325,13623045,1050932.3,cudaThreadExchangeStreamCaptureMode
0.8,12702561,4,3175640.3,2329971.0,1590120,6452499,2289484.2,cudaGetDeviceProperties
0.8,12650623,24,527109.3,39132.5,22311,3152032,873398.6,cuMemCreate
0.7,10671349,6,1778558.2,1765.0,816,5339166,2753257.3,cuKernelGetFunction
0.6,9594909,146,65718.6,4248.5,1194,749372,192720.6,cudaEventRecord
0.6,8817706,14,629836.1,26409.0,3571,2055634,767057.2,cudaHostAlloc
0.4,7126489,32,222702.8,115023.0,29966,708154,226283.7,cuMemUnmap
0.2,2935353,8,366919.1,93993.0,57771,2134748,717748.8,cuMemExportToShareableHandle
0.2,2480548,64,38758.6,9799.0,208,486678,97360.6,cuMemRelease
0.1,2147755,10,214775.5,195215.0,6045,778512,226007.3,cudaMalloc
0.1,2128541,2,1064270.5,1064270.5,758625,1369916,432248.0,cudaMemPoolDestroy
0.1,1633757,76,21496.8,3850.0,1056,646999,101900.2,cudaStreamWaitEvent
0.1,1306518,10,130651.8,11172.0,4915,777583,261568.1,cudaFreeHost
0.1,976437,2456,397.6,274.0,153,15510,576.3,cuGetProcAddress_v2
0.0,684619,22,31119.0,7371.0,2138,168996,50756.8,cudaEventSynchronize
0.0,571800,32,17868.8,13553.5,3715,58424,13733.7,cudaMemcpyAsync
0.0,567941,8,70992.6,52653.0,47251,123909,31027.2,cuMemImportFromShareableHandle
0.0,387994,66,5878.7,3367.5,719,32914,6107.6,cudaEventQuery
0.0,354770,125,2838.2,2020.0,506,22684,3194.7,cudaEventCreateWithFlags
0.0,278143,22,12642.9,7423.5,4720,31833,9451.5,cudaMemsetAsync
0.0,156698,32,4896.8,3961.5,1825,11351,2650.1,cuMemAddressReserve
0.0,142814,28,5100.5,6418.5,652,10515,3343.6,cuLibraryGetKernel
0.0,142717,32,4459.9,3052.5,1616,12020,2790.6,cuMemMap
0.0,124100,72,1723.6,1355.0,539,7345,1594.5,cudaEventDestroy
0.0,116650,6,19441.7,15663.0,9919,35038,10327.5,cuLaunchKernel
0.0,105983,32,3312.0,2642.0,1535,9224,1897.6,cuMemAddressFree
0.0,96882,68,1424.7,1179.5,637,10932,1348.9,cudaGetDriverEntryPoint
0.0,94194,2,47097.0,47097.0,45857,48337,1753.6,cudaMemPoolCreate
0.0,81567,26,3137.2,1658.0,536,15669,3733.7,cudaStreamIsCapturing
0.0,64990,6,10831.7,7330.0,3061,22367,8845.6,cudaStreamCreateWithFlags
0.0,62793,32,1962.3,1015.0,578,9244,2422.1,cuMemRetainAllocationHandle
0.0,58937,6,9822.8,9648.5,3615,16859,5530.1,cudaStreamDestroy
0.0,51626,16,3226.6,1861.5,1221,12440,3383.7,cudaStreamGetCaptureInfo_v2
0.0,28555,8,3569.4,3347.0,2128,6022,1234.1,cuInit
0.0,27138,32,848.1,317.0,187,7427,1724.5,cuMemGetAllocationGranularity
0.0,24280,16,1517.5,1611.0,585,2440,506.1,cudaGetFuncBySymbol
0.0,14223,8,1777.9,276.0,201,6838,2699.1,cuModuleGetLoadingMode
0.0,3520,2,1760.0,1760.0,1723,1797,52.3,cudaMemPoolSetAttribute
