# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      2      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0      0      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    1      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    1     30      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1     32      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1     33      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      1      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     97      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     96      0      0      0      0 
    1      5      5      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     65     70      0      0      0      0 
    0    100    100      0      0      0      0 
    1     76     77      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     80     89      0      0      0      0 
    0    100     97      0      0      0      0 
    1     37     37      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     62     68      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     17     19      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     46     51      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     15     14      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     56     60      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     73     79      0      0      0      0 
    0    100    100      0      0      0      0 
    1     26     30      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     87     93      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     12     11      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     30     31      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     87     89      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     22     25      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     70     79      0      0      0      0 
    0    100    100      0      0      0      0 
    1      7      8      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     84     90      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    1      0      0      0      0      0      0 
